Team,Map,ACS,K,D,A,KD_DIFF,ADR,HS%,ECON,FK,FD,KPR,DPR,APR,FKPR,FDPR,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,PL,DE,total_mult_kill,MKPR,total_clutch,CPR,jett,raze,phoenix,reyna,yoru,omen,brimstone,viper,cypher,sage,killjoy,breach,sova,skye,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,total_rounds,win_rate,ct_wr,t_wr,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR
1tap,ASCENT,200.57,12.57,16.14,2.57,-3.57,121.74,26.43,48.43,9.0,18.0,4.63,5.93,0.95,0.48,0.94,20.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,24.0,1.26,2.0,0.1,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,13.0,5.0,7.0,1.0,6.0,19.0,31.58,41.67,14.29,1.0,2.0,50.0,3.0,1.0,33.0,3.0,1.0,33.0,5.0,1.0,20.0,8.0,3.0,38.0
1tap,BIND,174.21,13.07,15.93,4.08,-2.86,113.96,20.57,48.5,12.5,19.0,4.15,5.06,1.28,0.57,0.88,16.5,4.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,6.0,2.5,21.5,0.97,0.5,0.02,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,13.0,5.5,5.0,3.5,8.0,22.0,40.79,51.38,30.3,0.5,2.0,25.0,3.5,0.5,16.5,1.0,0.5,50.0,3.0,1.5,62.5,14.5,6.5,45.0
3P,ASCENT,188.2,13.4,16.4,4.0,-3.0,111.3,17.8,45.6,6.0,15.0,3.18,3.9,0.96,0.29,0.72,12.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,17.0,0.83,2.0,0.1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,13.0,3.0,6.0,5.0,7.0,21.0,38.1,33.33,41.67,1.0,2.0,50.0,2.0,1.0,50.0,2.0,2.0,100.0,8.0,2.0,25.0,9.0,3.0,33.0
ANA,SPLIT,164.07,10.13,14.13,3.53,-4.0,100.0,19.0,40.67,7.33,11.0,2.75,3.94,0.97,0.42,0.59,10.33,1.33,0.33,0.0,1.0,0.0,0.0,0.0,0.0,3.33,1.67,12.0,0.64,1.0,0.06,0.67,1.0,0.0,0.33,0.0,0.67,0.33,0.0,1.0,0.0,0.0,0.67,0.33,0.0,5.33,13.0,3.0,9.0,2.33,4.0,18.33,27.73,25.0,40.0,0.67,2.0,33.33,3.33,1.0,30.33,0.67,0.0,0.0,5.67,2.0,38.0,8.67,2.33,23.0
ATHZ,ASCENT,211.6,17.8,17.0,6.0,0.8,128.08,18.0,51.0,13.0,11.0,3.7,3.54,1.25,0.53,0.45,18.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,22.0,0.92,1.0,0.04,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,11.0,13.0,8.0,4.0,3.0,9.0,24.0,45.83,66.67,25.0,2.0,2.0,100.0,3.0,2.0,67.0,2.0,0.0,0.0,4.0,2.0,50.0,15.0,7.0,47.0
ATHZ,BIND,181.4,14.2,16.2,5.8,-2.0,113.12,20.0,44.6,14.0,9.0,3.09,3.54,1.25,0.6,0.38,12.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,17.0,0.73,1.0,0.04,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,13.0,6.0,6.0,4.0,7.0,23.0,43.48,50.0,36.36,2.0,2.0,100.0,2.0,2.0,100.0,2.0,1.0,50.0,6.0,3.0,50.0,13.0,4.0,31.0
ATHZ,HAVEN,210.2,16.0,13.0,7.2,3.0,141.48,20.2,60.5,13.0,8.5,3.73,3.01,1.68,0.6,0.4,17.0,3.5,0.5,0.0,1.5,0.5,0.0,0.0,0.0,8.0,3.5,21.0,0.98,2.0,0.09,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,8.5,5.5,6.5,7.5,2.0,21.5,60.76,45.84,80.12,1.0,2.0,50.0,3.0,1.0,50.0,0.5,0.5,50.0,3.5,3.0,91.5,14.5,8.5,57.5
ATHZ,ICEBOX,203.1,15.4,16.6,4.5,-1.2,128.43,22.6,52.2,9.0,13.0,3.49,3.78,1.03,0.41,0.58,13.5,4.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,10.5,2.5,18.5,0.84,1.0,0.04,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.5,11.5,3.0,7.0,7.5,4.5,22.0,47.31,29.29,62.5,1.0,2.0,50.0,3.0,1.0,33.0,2.5,0.0,0.0,4.0,1.5,36.5,12.5,8.0,62.0
ATHZ,SPLIT,175.2,10.4,13.8,2.8,-3.4,120.96,17.4,56.6,9.0,9.0,2.9,3.83,0.79,0.51,0.51,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,0.51,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,13.0,5.0,7.0,0.0,6.0,18.0,27.78,41.67,0.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,5.0,50.0
B4,ASCENT,177.7,11.4,14.75,4.45,-3.35,113.46,19.9,45.9,7.0,11.75,3.04,3.93,1.19,0.38,0.63,10.5,2.75,0.25,0.0,0.25,0.0,0.0,0.0,0.0,6.25,0.0,13.5,0.72,0.25,0.01,1.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.75,0.0,0.25,1.0,0.0,5.75,13.0,1.5,5.25,4.25,7.75,18.75,30.54,22.92,35.42,0.75,2.0,37.5,3.25,0.75,24.75,1.25,0.25,25.0,4.25,1.5,35.75,10.0,3.25,32.0
B4,BIND,194.87,17.53,17.8,6.2,-0.27,122.29,21.0,47.33,11.67,14.67,3.32,3.41,1.19,0.44,0.55,15.67,4.67,1.0,0.67,1.0,0.67,0.33,0.0,0.0,9.0,2.33,22.0,0.84,2.0,0.08,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.67,0.0,0.0,0.33,1.0,0.0,12.67,13.67,4.33,7.67,6.67,5.0,26.33,47.48,36.11,56.82,1.33,2.0,66.67,2.67,1.33,55.33,2.0,0.67,22.33,6.0,2.67,47.67,15.67,8.0,48.0
