Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team_x,Opp_Team_x,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch_x,total_rounds,win_rate,KPR,DPR,APR,FKPR,FKWR,FDPR,ct_wr,t_wr,RESULT,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,Team_y,Opp_Team_y,Patch_y,total_mult_kill,total_clutch,MKPR,CPR,0,astra,breach,brimstone,cypher,jett,killjoy,omen,phoenix,raze,reyna,sage,skye,sova,viper,yoru
Jonn,jett,398,22,9,5,13,224.6,18,3,1,2,6797,GL,IMP,13,3,10,2,3,1,SPLIT,0.0,16,81.25,1.38,0.56,0.31,0.19,75.0,0.06,83.33,75.0,W,6,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,115,0,0,GL,IMP,1.12,8.0,1.0,0.5,0.06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mwzera,raze,268,14,12,5,2,181.0,17,2,1,1,6797,GL,IMP,13,3,10,2,3,1,SPLIT,0.0,16,81.25,0.88,0.75,0.31,0.12,66.67,0.06,83.33,75.0,W,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,0,0,GL,IMP,1.12,4.0,0.0,0.25,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JhoW,omen,185,13,8,7,5,103.9,19,1,1,0,6797,GL,IMP,13,3,10,2,3,1,SPLIT,0.0,16,81.25,0.81,0.5,0.44,0.06,50.0,0.06,83.33,75.0,W,3,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,38,3,0,GL,IMP,1.12,3.0,2.0,0.19,0.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fznnn,cypher,155,8,9,9,-1,83.6,14,1,5,-4,6797,GL,IMP,13,3,10,2,3,1,SPLIT,0.0,16,81.25,0.5,0.56,0.56,0.06,16.67,0.31,83.33,75.0,W,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31,0,0,GL,IMP,1.12,3.0,1.0,0.19,0.06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nyang,breach,131,8,10,3,-2,66.6,15,0,1,-1,6797,GL,IMP,13,3,10,2,3,1,SPLIT,0.0,16,81.25,0.5,0.62,0.19,0.0,0.0,0.06,83.33,75.0,W,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30,0,1,GL,IMP,1.12,2.0,1.0,0.12,0.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tuyz,raze,236,11,12,2,-1,140.9,17,3,1,2,6797,IMP,GL,3,13,1,3,2,10,SPLIT,0.0,16,18.75,0.69,0.75,0.12,0.19,75.0,0.06,25.0,16.67,L,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,0,0,IMP,GL,1.12,4.0,0.0,0.25,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
txddy,cypher,232,15,13,0,2,130.3,35,0,1,-1,6797,IMP,GL,3,13,1,3,2,10,SPLIT,0.0,16,18.75,0.94,0.81,0.0,0.0,0.0,0.06,25.0,16.67,L,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0,0,IMP,GL,1.12,3.0,0.0,0.19,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Biscoit1n,jett,199,10,15,3,-5,119.4,11,4,2,2,6797,IMP,GL,3,13,1,3,2,10,SPLIT,0.0,16,18.75,0.62,0.94,0.19,0.25,66.67,0.12,25.0,16.67,L,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0,0,IMP,GL,1.12,2.0,0.0,0.12,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Evilkyk,killjoy,129,7,14,5,-7,81.6,28,2,2,0,6797,IMP,GL,3,13,1,3,2,10,SPLIT,0.0,16,18.75,0.44,0.88,0.31,0.12,50.0,0.12,25.0,16.67,L,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,0,IMP,GL,1.12,2.0,0.0,0.12,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
rst,omen,113,5,11,4,-6,69.4,17,0,1,-1,6797,IMP,GL,3,13,1,3,2,10,SPLIT,0.0,16,18.75,0.31,0.69,0.25,0.0,0.0,0.06,25.0,16.67,L,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,3,0,IMP,GL,1.12,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
