Team_x,match_id,Map,ACS,K,D,A,KD_DIFF,ADR,HS%,ECON,FK,FD,KPR,DPR,APR,FKPR,FDPR,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,PL,DE,total_mult_kill,MKPR,total_clutch,CPR,jett,raze,phoenix,reyna,yoru,omen,brimstone,viper,cypher,sage,killjoy,breach,sova,skye,Opp_Team_x,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Patch_x,total_rounds,win_rate,ct_wr,t_wr,RESULT,Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch
1tap,4797,BIND,175.29,12.0,15.29,2.86,-3.29,117.14,18.0,48.14,13,20,3.9899999999999998,5.079999999999999,0.9600000000000001,0.6200000000000001,0.9699999999999999,14,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0,20.0,0.9500000000000001,1.0,0.05,2,0,1,0,0,1,0,0,0,0,2,0,1,0,paiN,8,13,4,5,4,8,1.1,21,38.1,44.44,33.33,L,1tap,0,2,0.0,4,0,0.0,1,0,0.0,2,2,100.0,14,6,43.0,paiN,1.0,1.1
1tap,5174,ASCENT,200.57,12.57,16.14,2.57,-3.57,121.74,26.43,48.43,9,18,4.63,5.93,0.95,0.48,0.9400000000000001,20,4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6,2,24.0,1.26,2.0,0.1,2,0,0,1,0,1,0,0,0,0,2,0,1,0,paiN,6,13,5,7,1,6,1.1,19,31.58,41.67,14.29,L,1tap,1,2,50.0,3,1,33.0,3,1,33.0,5,1,20.0,8,3,38.0,paiN,1.0,1.1
1tap,5174,BIND,173.14,14.14,16.57,5.29,-2.43,110.77,23.14,48.86,12,18,4.3100000000000005,5.05,1.6099999999999999,0.52,0.78,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,23.0,0.9800000000000001,0.0,0.0,2,0,1,0,0,1,0,0,0,2,0,0,1,0,paiN,10,13,7,5,3,8,1.1,23,43.48,58.33,27.27,L,1tap,1,2,50.0,3,1,33.0,1,1,100.0,4,1,25.0,15,7,47.0,paiN,1.0,1.1
3P,8238,ASCENT,188.2,13.4,16.4,4.0,-3.0,111.3,17.8,45.6,6,15,3.1799999999999997,3.8999999999999995,0.96,0.29000000000000004,0.7200000000000001,12,4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6,1,17.0,0.83,2.0,0.1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,BD,8,13,3,6,5,7,1.14,21,38.1,33.33,41.67,L,3P,1,2,50.0,2,1,50.0,2,2,100.0,8,2,25.0,9,3,33.0,BD,1.0,1.14
ANA,2717,SPLIT,172.6,10.0,14.6,3.2,-4.6,98.82,21.0,40.2,7,10,2.9399999999999995,4.279999999999999,0.95,0.42,0.5900000000000001,9,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,2,11.0,0.65,1.0,0.06,1,1,0,1,0,1,0,0,1,0,0,0,0,0,FF,4,13,2,10,2,3,1.07,17,23.53,16.67,40.0,L,ANA,1,2,50.0,4,1,25.0,0,0,0.0,7,1,14.0,6,2,33.0,FF,1.0,1.07
ANA,2928,SPLIT,162.8,12.2,13.6,4.0,-1.4,103.24,20.8,42.8,7,15,2.7600000000000002,3.0899999999999994,0.9099999999999999,0.33,0.69,14,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,2,16.0,0.7299999999999999,1.0,0.05,0,1,0,0,0,0,1,0,1,0,0,1,1,0,FF,9,13,6,6,3,7,1.08,22,40.91,50.0,30.0,L,ANA,0,2,0.0,3,1,33.0,0,0,0.0,5,3,60.0,14,5,36.0,FF,1.0,1.08
ANA,4767,SPLIT,156.8,8.2,14.2,3.4,-6.0,97.94,15.2,39.0,8,8,2.56,4.45,1.06,0.5,0.49,8,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,9.0,0.55,1.0,0.06,1,1,0,0,0,1,0,0,1,0,0,1,0,0,GL,3,13,1,11,2,2,1.1,16,18.75,8.33,50.0,L,ANA,1,2,50.0,3,1,33.0,2,0,0.0,5,2,40.0,6,0,0.0,GL,1.0,1.1
ATHZ,5269,ASCENT,211.6,17.8,17.0,6.0,0.8,128.08,18.0,51.0,13,11,3.7,3.54,1.25,0.5299999999999999,0.45,18,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,3,22.0,0.92,1.0,0.04,1,0,0,0,0,1,0,0,1,0,0,1,1,0,FF,11,13,8,4,3,9,1.12,24,45.83,66.67,25.0,L,ATHZ,2,2,100.0,3,2,67.0,2,0,0.0,4,2,50.0,15,7,47.0,FF,1.0,1.12
ATHZ,5269,SPLIT,175.2,10.4,13.8,2.8,-3.4,120.96,17.4,56.6,9,9,2.9000000000000004,3.83,0.79,0.51,0.51,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,9.0,0.51,0.0,0.0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,FF,5,13,5,7,0,6,1.12,18,27.78,41.67,0.0,L,ATHZ,0,2,0.0,4,0,0.0,3,0,0.0,1,0,0.0,10,5,50.0,FF,1.0,1.12
ATHZ,8242,HAVEN,211.6,16.8,14.6,7.4,2.2,162.7,18.0,72.4,14,9,3.6599999999999997,3.17,1.61,0.61,0.38999999999999996,16,4,1.0,0.0,2.0,0.0,0.0,0.0,0.0,8,4,21.0,0.91,2.0,0.08,1,1,0,0,0,1,0,0,1,0,0,0,1,0,HAVAN,13,10,5,7,8,3,1.14,23,56.52,41.67,72.73,W,ATHZ,0,2,0.0,4,0,0.0,1,1,100.0,1,1,100.0,17,11,65.0,HAVAN,1.0,1.14
