Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
BD,1,2,50.0,2,1,50.0,1,0,0.0,9,5,56.0,9,2,22.0,Mix,1.0,1.1,4943,HAVEN
Mix,1,2,50.0,3,1,33.0,3,1,33.0,1,0,0.0,14,11,79.0,BD,1.0,1.1,4943,HAVEN
BD,2,2,100.0,2,2,100.0,3,1,33.0,7,3,43.0,12,5,42.0,Mix,1.0,1.1,4943,SPLIT
Mix,0,2,0.0,4,0,0.0,1,0,0.0,1,0,0.0,18,13,72.0,BD,1.0,1.1,4943,SPLIT
BD,2,2,100.0,2,2,100.0,0,0,,4,3,75.0,10,8,80.0,LAETUS Gaming,1.0,1.11,4905,BIND
LAETUS Gaming,0,2,0.0,4,0,0.0,3,0,0.0,2,1,50.0,7,2,29.0,BD,1.0,1.11,4905,BIND
BD,2,2,100.0,2,2,100.0,1,1,100.0,8,5,62.0,12,2,17.0,novidades em breve,1.0,1.1,4697,BIND
novidades em breve,0,2,0.0,4,0,0.0,3,3,100.0,2,2,100.0,14,8,57.0,BD,1.0,1.1,4697,BIND
DG,1,2,50.0,3,1,33.0,2,0,0.0,6,4,67.0,15,7,47.0,BD,1.0,1.1,4694,BIND
BD,1,2,50.0,3,1,33.0,0,0,,2,1,50.0,21,12,57.0,DG,1.0,1.1,4694,BIND
BD,0,2,0.0,4,0,0.0,0,0,,2,2,100.0,15,11,73.0,NEW,1.0,1.1,4030,BIND
NEW,2,2,100.0,2,2,100.0,4,0,0.0,4,2,50.0,11,4,36.0,BD,1.0,1.1,4030,BIND
novidades em breve,0,2,0.0,4,1,25.0,0,0,,0,0,,17,12,71.0,BD,1.0,1.1,4029,BIND
BD,2,2,100.0,2,2,100.0,5,1,20.0,3,1,33.0,11,4,36.0,novidades em breve,1.0,1.1,4029,BIND
BD,2,2,100.0,2,2,100.0,0,0,,8,5,62.0,10,6,60.0,DG,1.0,1.1,4026,ASCENT
DG,0,2,0.0,6,0,0.0,1,0,0.0,4,1,25.0,9,6,67.0,BD,1.0,1.1,4026,ASCENT
VIMDOLOL,2,2,100.0,2,2,100.0,1,1,100.0,7,5,71.0,10,5,50.0,BD,1.0,1.09,3475,ASCENT
BD,0,2,0.0,4,0,0.0,1,0,0.0,2,0,0.0,13,7,54.0,VIMDOLOL,1.0,1.09,3475,ASCENT
novidades em breve,0,2,0.0,5,1,20.0,1,0,0.0,3,1,33.0,12,6,50.0,BD,1.0,1.09,3470,ASCENT
BD,2,2,100.0,2,2,100.0,2,0,0.0,5,2,40.0,12,9,75.0,novidades em breve,1.0,1.09,3470,ASCENT
Estral,2,2,100.0,2,2,100.0,0,0,,2,2,100.0,10,9,90.0,BD,1.0,1.09,3467,BIND
BD,0,2,0.0,3,0,0.0,3,0,0.0,3,1,33.0,5,0,0.0,Estral,1.0,1.09,3467,BIND
FAKEZIN,0,2,0.0,4,0,0.0,0,0,,5,2,40.0,10,4,40.0,BD,1.0,1.08,2977,ASCENT
BD,2,2,100.0,2,2,100.0,0,0,,7,3,43.0,10,8,80.0,FAKEZIN,1.0,1.08,2977,ASCENT
FAKEZIN,2,2,100.0,2,2,100.0,1,0,0.0,2,2,100.0,16,9,56.0,BD,1.0,1.08,2977,HAVEN
BD,0,2,0.0,4,0,0.0,2,0,0.0,0,0,,15,8,53.0,FAKEZIN,1.0,1.08,2977,HAVEN
