Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
Galaxy Carrots,1,2,50.0,3,1,33.0,2,0,0.0,5,1,20.0,9,4,44.0,FURIA,1.0,2.01,9258,ASCENT
FURIA,1,2,50.0,2,1,50.0,2,1,50.0,3,2,67.0,12,9,75.0,Galaxy Carrots,1.0,2.01,9258,ASCENT
SLK,2,2,100.0,2,2,100.0,4,0,0.0,8,4,50.0,7,2,29.0,FURIA,1.0,2.01,9422,ASCENT
FURIA,0,2,0.0,3,0,0.0,0,0,,5,4,80.0,13,9,69.0,SLK,1.0,2.01,9422,ASCENT
SLK,1,2,50.0,3,1,33.0,2,0,0.0,5,3,60.0,16,8,50.0,FURIA,1.0,2.01,9422,HAVEN
FURIA,1,2,50.0,2,1,50.0,3,1,33.0,9,5,56.0,12,7,58.0,SLK,1.0,2.01,9422,HAVEN
FURIA,1,2,50.0,3,1,33.0,2,0,0.0,3,3,100.0,14,5,36.0,GL,1.0,2.02,10340,ICEBOX
GL,1,2,50.0,3,1,33.0,0,0,,5,4,80.0,14,8,57.0,FURIA,1.0,2.02,10340,ICEBOX
IMP,0,2,0.0,4,0,0.0,1,0,0.0,4,0,0.0,7,3,43.0,FURIA,1.0,2.02,10345,ICEBOX
FURIA,2,2,100.0,2,2,100.0,0,0,,4,4,100.0,10,7,70.0,IMP,1.0,2.02,10345,ICEBOX
IMP,2,2,100.0,3,2,67.0,2,0,0.0,5,1,20.0,11,5,45.0,FURIA,1.0,2.02,10345,ASCENT
FURIA,0,2,0.0,3,1,33.0,0,0,,6,5,83.0,12,7,58.0,IMP,1.0,2.02,10345,ASCENT
Rise,1,2,50.0,3,1,33.0,3,0,0.0,3,0,0.0,6,1,17.0,FURIA,1.0,2.02,10347,HAVEN
FURIA,1,2,50.0,2,1,50.0,1,1,100.0,3,3,100.0,9,8,89.0,Rise,1.0,2.02,10347,HAVEN
Rise,1,2,50.0,4,1,25.0,2,0,0.0,3,2,67.0,15,8,53.0,FURIA,1.0,2.02,10347,ICEBOX
FURIA,1,2,50.0,3,2,67.0,1,0,0.0,7,5,71.0,13,6,46.0,Rise,1.0,2.02,10347,ICEBOX
FURIA,1,2,50.0,3,2,67.0,0,0,,3,3,100.0,10,8,80.0,IMP,1.0,2.03,13022,SPLIT
IMP,1,2,50.0,3,1,33.0,2,0,0.0,7,0,0.0,4,2,50.0,FURIA,1.0,2.03,13022,SPLIT
FURIA,0,2,0.0,3,0,0.0,3,0,0.0,5,4,80.0,9,3,33.0,IMP,1.0,2.03,13022,HAVEN
IMP,2,2,100.0,3,2,67.0,2,0,0.0,4,2,50.0,11,9,82.0,FURIA,1.0,2.03,13022,HAVEN
FURIA,2,2,100.0,2,2,100.0,0,0,,5,4,80.0,9,7,78.0,IMP,1.0,2.03,13022,ASCENT
IMP,0,2,0.0,4,0,0.0,2,0,0.0,1,0,0.0,9,3,33.0,FURIA,1.0,2.03,13022,ASCENT
GL,1,2,50.0,3,1,33.0,2,0,0.0,5,2,40.0,24,13,54.0,FURIA,1.0,2.03,13025,SPLIT
FURIA,1,2,50.0,3,1,33.0,1,0,0.0,5,2,40.0,25,15,60.0,GL,1.0,2.03,13025,SPLIT
GL,1,2,50.0,3,1,33.0,2,0,0.0,2,2,100.0,16,10,62.0,FURIA,1.0,2.03,13025,HAVEN
FURIA,1,2,50.0,3,1,33.0,2,0,0.0,5,3,60.0,13,6,46.0,GL,1.0,2.03,13025,HAVEN
GL,1,2,50.0,3,2,67.0,0,0,,2,2,100.0,15,9,60.0,FURIA,1.0,2.03,13025,ICEBOX
FURIA,1,2,50.0,4,1,25.0,1,0,0.0,8,3,38.0,7,3,43.0,GL,1.0,2.03,13025,ICEBOX
FURIA,1,2,50.0,3,1,33.0,1,1,100.0,2,2,100.0,12,9,75.0,BD,1.0,,14100,ASCENT
BD,1,2,50.0,3,1,33.0,3,0,0.0,5,2,40.0,7,2,29.0,FURIA,1.0,,14100,ASCENT
FURIA,2,2,100.0,2,2,100.0,0,0,,2,2,100.0,11,9,82.0,BD,1.0,,14100,ICEBOX
BD,0,2,0.0,3,0,0.0,2,0,0.0,4,0,0.0,6,2,33.0,FURIA,1.0,,14100,ICEBOX
FURIA,1,2,50.0,3,1,33.0,2,0,0.0,5,2,40.0,18,12,67.0,SHK,1.0,,14201,ICEBOX
SHK,1,2,50.0,3,1,33.0,2,1,50.0,5,2,40.0,18,9,50.0,FURIA,1.0,,14201,ICEBOX
GL,1,2,50.0,3,1,33.0,1,0,0.0,4,1,25.0,14,7,50.0,FURIA,1.0,,14203,ICEBOX
FURIA,1,2,50.0,3,1,33.0,2,1,50.0,4,2,50.0,13,9,69.0,GL,1.0,,14203,ICEBOX
GL,2,2,100.0,2,2,100.0,1,0,0.0,6,3,50.0,21,9,43.0,FURIA,1.0,,14203,BIND
FURIA,0,2,0.0,4,1,25.0,2,0,0.0,3,1,33.0,21,14,67.0,GL,1.0,,14203,BIND
FURIA,2,2,100.0,2,2,100.0,0,0,,7,6,86.0,6,5,83.0,Ingaming,1.0,2.06,15738,ASCENT
Ingaming,0,2,0.0,3,0,0.0,4,0,0.0,1,0,0.0,7,2,29.0,FURIA,1.0,2.06,15738,ASCENT
FURIA,0,2,0.0,4,0,0.0,2,0,0.0,1,0,0.0,17,11,65.0,SHK,1.0,2.06,15740,BIND
SHK,2,2,100.0,2,2,100.0,2,0,0.0,5,4,80.0,15,7,47.0,FURIA,1.0,2.06,15740,BIND
FURIA,0,2,0.0,4,1,25.0,1,1,100.0,4,3,75.0,19,10,53.0,SHK,1.0,2.06,15740,ICEBOX
SHK,2,2,100.0,3,2,67.0,1,0,0.0,6,3,50.0,18,8,44.0,FURIA,1.0,2.06,15740,ICEBOX
FURIA,1,2,50.0,3,1,33.0,1,1,100.0,3,2,67.0,14,9,64.0,SHK,1.0,2.06,15740,ASCENT
SHK,1,2,50.0,3,1,33.0,2,2,100.0,8,3,38.0,8,2,25.0,FURIA,1.0,2.06,15740,ASCENT
FURIA,1,2,50.0,2,1,50.0,1,0,0.0,5,4,80.0,9,8,89.0,paiN,1.0,,17617,ASCENT
paiN,1,2,50.0,2,1,50.0,4,0,0.0,6,2,33.0,5,1,20.0,FURIA,1.0,,17617,ASCENT
FURIA,2,2,100.0,2,2,100.0,2,1,50.0,5,2,40.0,11,8,73.0,paiN,1.0,,17617,BIND
paiN,0,2,0.0,3,0,0.0,4,1,25.0,3,3,100.0,10,3,30.0,FURIA,1.0,,17617,BIND
FURIA,1,2,50.0,3,2,67.0,1,0,0.0,5,0,0.0,11,5,45.0,VKS,1.0,,17749,BIND
VKS,1,2,50.0,2,1,50.0,1,0,0.0,6,4,67.0,11,8,73.0,FURIA,1.0,,17749,BIND
FURIA,0,2,0.0,3,0,0.0,3,0,0.0,4,0,0.0,5,2,40.0,VKS,1.0,,17749,ASCENT
VKS,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,10,8,80.0,FURIA,1.0,,17749,ASCENT
FURIA,1,2,50.0,3,2,67.0,0,0,,5,3,60.0,14,8,57.0,Ingaming,1.0,,17752,BIND
Ingaming,1,2,50.0,3,1,33.0,2,1,50.0,4,1,25.0,13,6,46.0,FURIA,1.0,,17752,BIND
FURIA,1,2,50.0,3,2,67.0,0,0,,3,2,67.0,10,9,90.0,Ingaming,1.0,,17752,ASCENT
