Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
Galaxy Carrots,1,2,50.0,3,1,33.0,2,0,0.0,5,1,20.0,9,4,44.0,FUR,1.0,2.01,9258,MATCH
FUR,1,2,50.0,2,1,50.0,2,1,50.0,3,2,67.0,12,9,75.0,Galaxy Carrots,1.0,2.01,9258,MATCH
SLK,3,4,75.0,5,3,60.0,6,0,0.0,13,7,54.0,23,10,43.0,FUR,2.0,2.01,9422,MATCH
FUR,1,4,25.0,5,1,20.0,3,1,33.0,14,9,64.0,25,16,64.0,SLK,2.0,2.01,9422,MATCH
FUR,1,2,50.0,3,1,33.0,2,0,0.0,3,3,100.0,14,5,36.0,GLB,1.0,2.02,10340,MATCH
GLB,1,2,50.0,3,1,33.0,0,0,,5,4,80.0,14,8,57.0,FUR,1.0,2.02,10340,MATCH
IMP,2,4,50.0,7,2,29.0,3,0,0.0,9,1,11.0,18,8,44.0,FUR,2.0,2.02,10345,MATCH
FUR,2,4,50.0,5,3,60.0,0,0,,10,9,90.0,22,14,64.0,IMP,2.0,2.02,10345,MATCH
Rise,2,4,50.0,7,2,29.0,5,0,0.0,6,2,33.0,21,9,43.0,FUR,2.0,2.02,10347,MATCH
FUR,2,4,50.0,5,3,60.0,2,1,50.0,10,8,80.0,22,14,64.0,Rise,2.0,2.02,10347,MATCH
FUR,3,6,50.0,8,4,50.0,3,0,0.0,13,11,85.0,28,18,64.0,IMP,3.0,2.03,13022,MATCH
IMP,3,6,50.0,10,3,30.0,6,0,0.0,12,2,17.0,24,14,58.0,FUR,3.0,2.03,13022,MATCH
GLB,3,6,50.0,9,4,44.0,4,0,0.0,9,6,67.0,55,32,58.0,FUR,3.0,2.03,13025,MATCH
FUR,3,6,50.0,10,3,30.0,4,0,0.0,18,8,44.0,45,24,53.0,GLB,3.0,2.03,13025,MATCH
FUR,3,4,75.0,5,3,60.0,1,1,100.0,4,4,100.0,23,18,78.0,BD,2.0,,14100,MATCH
BD,1,4,25.0,6,1,17.0,5,0,0.0,9,2,22.0,13,4,31.0,FUR,2.0,,14100,MATCH
FUR,1,2,50.0,3,1,33.0,2,0,0.0,5,2,40.0,18,12,67.0,SHK,1.0,,14201,MATCH
SHK,1,2,50.0,3,1,33.0,2,1,50.0,5,2,40.0,18,9,50.0,FUR,1.0,,14201,MATCH
GLB,3,4,75.0,5,3,60.0,2,0,0.0,10,4,40.0,35,16,46.0,FUR,2.0,,14203,MATCH
FUR,1,4,25.0,7,2,29.0,4,1,25.0,7,3,43.0,34,23,68.0,GLB,2.0,,14203,MATCH
FUR,2,2,100.0,2,2,100.0,0,0,,7,6,86.0,6,5,83.0,Ingaming,1.0,2.06,15738,MATCH
Ingaming,0,2,0.0,3,0,0.0,4,0,0.0,1,0,0.0,7,2,29.0,FUR,1.0,2.06,15738,MATCH
FUR,1,6,17.0,11,2,18.0,4,2,50.0,8,5,62.0,50,30,60.0,SHK,3.0,2.06,15740,MATCH
SHK,5,6,83.0,8,5,62.0,5,2,40.0,19,10,53.0,41,17,41.0,FUR,3.0,2.06,15740,MATCH
FUR,3,4,75.0,4,3,75.0,3,1,33.0,10,6,60.0,20,16,80.0,paiN,2.0,,17617,MATCH
paiN,1,4,25.0,5,1,20.0,8,1,12.0,9,5,56.0,15,4,27.0,FUR,2.0,,17617,MATCH
FUR,1,4,25.0,6,2,33.0,4,0,0.0,9,0,0.0,16,7,44.0,VKS,2.0,,17749,MATCH
VKS,3,4,75.0,4,3,75.0,1,0,0.0,9,7,78.0,21,16,76.0,FUR,2.0,,17749,MATCH
FUR,2,4,50.0,6,4,67.0,0,0,,8,5,62.0,24,17,71.0,Ingaming,2.0,,17752,MATCH
Ingaming,2,4,50.0,7,2,29.0,3,2,67.0,11,1,9.0,17,7,41.0,FUR,2.0,,17752,MATCH
HL,2,4,50.0,6,3,50.0,3,1,33.0,13,3,23.0,15,4,27.0,FUR,2.0,,17753,MATCH
FUR,2,4,50.0,6,2,33.0,3,2,67.0,6,4,67.0,22,18,82.0,HL,2.0,,17753,MATCH
SHK,2,6,33.0,9,3,33.0,4,1,25.0,12,6,50.0,32,21,66.0,FUR,3.0,,17754,MATCH
FUR,4,6,67.0,9,4,44.0,6,1,17.0,13,5,38.0,29,16,55.0,SHK,3.0,,17754,MATCH
FUR,3,4,75.0,5,3,60.0,2,1,50.0,9,6,67.0,27,16,59.0,hPw,2.0,,22113,MATCH
hPw,1,4,25.0,7,1,14.0,5,0,0.0,6,3,50.0,25,13,52.0,FUR,2.0,,22113,MATCH
GLB,0,6,0.0,12,2,17.0,4,0,0.0,13,6,46.0,41,25,61.0,FUR,3.0,,22682,MATCH
FUR,6,6,100.0,8,6,75.0,4,0,0.0,15,10,67.0,43,21,49.0,GLB,3.0,,22682,MATCH
FUR,3,4,75.0,4,3,75.0,3,1,33.0,13,10,77.0,23,13,57.0,TNET,2.0,,22714,MATCH
TNET,1,4,25.0,7,1,14.0,3,0,0.0,7,2,29.0,26,13,50.0,FUR,2.0,,22714,MATCH
GLB,4,8,50.0,12,4,33.0,5,2,40.0,19,14,74.0,53,25,47.0,FUR,4.0,,22712,MATCH
FUR,4,8,50.0,12,4,33.0,8,1,12.0,22,14,64.0,47,25,53.0,GLB,4.0,,22712,MATCH
FUR,4,4,100.0,4,4,100.0,1,0,0.0,10,7,70.0,23,15,65.0,blackhat esport,2.0,,24198,MATCH
blackhat esport,0,4,0.0,9,0,0.0,4,1,25.0,3,0,0.0,22,11,50.0,FUR,2.0,,24198,MATCH
FUR,4,6,67.0,8,4,50.0,6,1,17.0,15,8,53.0,45,27,60.0,VK,3.0,,24212,MATCH
VK,2,6,33.0,10,3,30.0,5,1,20.0,8,5,62.0,51,25,49.0,FUR,3.0,,24212,MATCH
FUR,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,12,10,83.0,SLK,1.0,,24466,MATCH
