Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
Enjoy,raze,253,16,14,4,2,215.6,13,0,2,-2,9258,Gala,FURI,6,13,4,8,2,5,ASCENT,
zakkv,sova,203,12,14,4,-2,105.5,15,2,2,0,9258,Gala,FURI,6,13,4,8,2,5,ASCENT,
Tisora,jett,180,13,16,1,-3,99.1,11,2,5,-3,9258,Gala,FURI,6,13,4,8,2,5,ASCENT,
pôti,omen,158,10,14,5,-4,107.1,38,1,1,0,9258,Gala,FURI,6,13,4,8,2,5,ASCENT,
Doubleee,killjoy,136,8,13,4,-5,88.3,8,2,2,0,9258,Gala,FURI,6,13,4,8,2,5,ASCENT,
Nozwerr,sova,234,17,9,7,8,153.6,27,1,0,1,9258,FURI,Gala,13,6,5,2,8,4,ASCENT,
xand,jett,228,14,16,5,-2,135.1,34,5,3,2,9258,FURI,Gala,13,6,5,2,8,4,ASCENT,
Quick,reyna,204,14,13,3,1,123.4,14,2,1,1,9258,FURI,Gala,13,6,5,2,8,4,ASCENT,
Khalil,omen,203,14,9,7,5,180.8,17,2,1,1,9258,FURI,Gala,13,6,5,2,8,4,ASCENT,
txddy,cypher,186,12,12,5,0,104.3,22,2,2,0,9258,FURI,Gala,13,6,5,2,8,4,ASCENT,
DONSA,omen,256,17,21,8,-4,156.2,26,3,2,1,9422,SLK,FURI,8,13,4,5,4,8,ASCENT,
DiMAS,killjoy,238,19,17,2,2,163.2,35,3,0,3,9422,SLK,FURI,8,13,4,5,4,8,ASCENT,
ntk,sova,201,16,14,6,2,138.8,21,1,1,0,9422,SLK,FURI,8,13,4,5,4,8,ASCENT,
Hastad,raze,127,8,17,4,-9,79.8,12,1,4,-3,9422,SLK,FURI,8,13,4,5,4,8,ASCENT,
bld,sage,97,6,17,5,-11,63.8,35,1,5,-4,9422,SLK,FURI,8,13,4,5,4,8,ASCENT,
Nozwerr,sova,374,26,10,15,16,225.0,26,2,0,2,9422,FURI,SLK,13,8,8,4,5,4,ASCENT,
txddy,cypher,252,18,12,8,6,196.1,25,3,2,1,9422,FURI,SLK,13,8,8,4,5,4,ASCENT,
xand,jett,178,14,18,7,-4,105.4,11,6,4,2,9422,FURI,SLK,13,8,8,4,5,4,ASCENT,
Khalil,omen,178,15,9,8,6,112.0,24,0,0,0,9422,FURI,SLK,13,8,8,4,5,4,ASCENT,
Quick,reyna,175,13,17,8,-4,109.7,22,1,3,-2,9422,FURI,SLK,13,8,8,4,5,4,ASCENT,
ntk,sova,264,23,17,8,6,173.7,22,2,2,0,9422,SLK,FURI,12,14,5,7,7,5,HAVEN,
Hastad,raze,258,22,26,9,-4,149.6,14,4,4,0,9422,SLK,FURI,12,14,5,7,7,5,HAVEN,
DiMAS,killjoy,229,21,19,7,2,145.0,20,3,4,-1,9422,SLK,FURI,12,14,5,7,7,5,HAVEN,
bld,sage,199,19,18,6,1,135.4,26,1,3,-2,9422,SLK,FURI,12,14,5,7,7,5,HAVEN,
DONSA,omen,171,18,18,3,0,94.2,33,1,2,-1,9422,SLK,FURI,12,14,5,7,7,5,HAVEN,
xand,jett,294,26,22,2,4,173.2,24,8,5,3,9422,FURI,SLK,14,12,5,7,7,5,HAVEN,
Nozwerr,sova,258,23,21,12,2,155.8,17,2,1,1,9422,FURI,SLK,14,12,5,7,7,5,HAVEN,
txddy,cypher,245,22,21,4,1,155.4,30,2,3,-1,9422,FURI,SLK,14,12,5,7,7,5,HAVEN,
Khalil,omen,167,15,20,8,-5,103.5,11,3,1,2,9422,FURI,SLK,14,12,5,7,7,5,HAVEN,
Quick,breach,138,12,19,19,-7,82.2,24,0,1,-1,9422,FURI,SLK,14,12,5,7,7,5,HAVEN,
Nozwerr,sova,244,16,15,10,1,161.5,12,2,1,1,10340,FURI,GL,9,13,6,6,3,7,ICEBOX,
Quick,raze,227,18,14,6,4,151.7,21,1,2,-1,10340,FURI,GL,9,13,6,6,3,7,ICEBOX,
xand,jett,222,18,16,5,2,128.8,20,4,2,2,10340,FURI,GL,9,13,6,6,3,7,ICEBOX,
txddy,sage,181,13,15,6,-2,94.0,21,3,5,-2,10340,FURI,GL,9,13,6,6,3,7,ICEBOX,
Khalil,omen,142,11,17,4,-6,96.6,10,1,1,0,10340,FURI,GL,9,13,6,6,3,7,ICEBOX,
mwzera,reyna,299,24,14,4,10,186.0,21,2,3,-1,10340,GL,FURI,13,9,7,3,6,6,ICEBOX,
JhoW,omen,238,21,12,2,9,127.6,13,4,1,3,10340,GL,FURI,13,9,7,3,6,6,ICEBOX,
Jonn,jett,220,16,20,5,-4,109.8,15,4,5,-1,10340,GL,FURI,13,9,7,3,6,6,ICEBOX,
Nyang,sage,129,8,14,16,-6,83.6,15,0,1,-1,10340,GL,FURI,13,9,7,3,6,6,ICEBOX,
fznnn,sova,115,8,16,9,-8,83.0,11,1,1,0,10340,GL,FURI,13,9,7,3,6,6,ICEBOX,
tuyz,sage,213,11,15,2,-4,121.4,40,1,0,1,10345,IMP,FURI,3,13,0,4,3,9,ICEBOX,
gustt1nha,viper,171,8,16,3,-8,110.3,23,0,2,-2,10345,IMP,FURI,3,13,0,4,3,9,ICEBOX,
Biscoit1n,raze,136,6,16,4,-10,78.4,11,2,6,-4,10345,IMP,FURI,3,13,0,4,3,9,ICEBOX,
rst,killjoy,117,6,14,2,-8,84.4,17,0,5,-5,10345,IMP,FURI,3,13,0,4,3,9,ICEBOX,
Evilkyk,skye,75,3,16,4,-13,53.4,22,0,0,0,10345,IMP,FURI,3,13,0,4,3,9,ICEBOX,
xand,jett,332,20,9,2,11,166.1,21,7,1,6,10345,FURI,IMP,13,3,9,3,4,0,ICEBOX,
Quick,raze,268,15,8,4,7,225.4,18,2,1,1,10345,FURI,IMP,13,3,9,3,4,0,ICEBOX,
Khalil,omen,259,17,6,4,11,201.8,26,2,0,2,10345,FURI,IMP,13,3,9,3,4,0,ICEBOX,
Nozwerr,sova,251,14,6,9,8,186.3,21,0,0,0,10345,FURI,IMP,13,3,9,3,4,0,ICEBOX,
txddy,sage,194,11,5,9,6,118.7,20,2,1,1,10345,FURI,IMP,13,3,9,3,4,0,ICEBOX,
rst,killjoy,222,17,16,2,1,133.3,18,1,1,0,10345,IMP,FURI,8,13,3,6,5,7,ASCENT,
Biscoit1n,jett,220,17,17,2,0,130.8,31,4,4,0,10345,IMP,FURI,8,13,3,6,5,7,ASCENT,
tuyz,raze,187,11,17,5,-6,128.3,11,3,3,0,10345,IMP,FURI,8,13,3,6,5,7,ASCENT,
Evilkyk,sova,169,12,18,6,-6,113.9,29,1,2,-1,10345,IMP,FURI,8,13,3,6,5,7,ASCENT,
gustt1nha,omen,147,11,15,3,-4,88.9,30,1,1,0,10345,IMP,FURI,8,13,3,6,5,7,ASCENT,
Quick,reyna,309,24,16,1,8,199.0,24,3,1,2,10345,FURI,IMP,13,8,7,5,6,3,ASCENT,
Nozwerr,sova,234,17,11,5,6,142.0,21,1,0,1,10345,FURI,IMP,13,8,7,5,6,3,ASCENT,
xand,jett,228,18,15,2,3,118.5,15,2,5,-3,10345,FURI,IMP,13,8,7,5,6,3,ASCENT,
txddy,cypher,174,11,14,7,-3,107.2,24,2,1,1,10345,FURI,IMP,13,8,7,5,6,3,ASCENT,
Khalil,omen,158,13,12,5,1,84.8,15,3,3,0,10345,FURI,IMP,13,8,7,5,6,3,ASCENT,
Slag,cypher,235,12,14,5,-2,111.5,27,1,0,1,10347,Rise,FURI,2,13,0,3,2,10,HAVEN,
GuhRVN,omen,143,6,14,3,-8,100.3,36,0,2,-2,10347,Rise,FURI,2,13,0,3,2,10,HAVEN,
leonzhet,sova,132,7,13,5,-6,82.9,30,1,0,1,10347,Rise,FURI,2,13,0,3,2,10,HAVEN,
glym,jett,127,6,15,2,-9,67.1,11,1,5,-4,10347,Rise,FURI,2,13,0,3,2,10,HAVEN,
DmL,reyna,73,3,15,2,-12,44.9,12,1,4,-3,10347,Rise,FURI,2,13,0,3,2,10,HAVEN,
xand,jett,428,23,8,4,15,244.3,23,5,0,5,10347,FURI,Rise,13,2,10,2,3,0,HAVEN,
Nozwerr,sova,286,15,6,9,9,165.7,19,1,1,0,10347,FURI,Rise,13,2,10,2,3,0,HAVEN,
Khalil,omen,198,13,4,4,9,117.3,23,2,0,2,10347,FURI,Rise,13,2,10,2,3,0,HAVEN,
txddy,cypher,182,9,7,8,2,119.3,26,2,2,0,10347,FURI,Rise,13,2,10,2,3,0,HAVEN,
Quick,breach,169,11,9,10,2,95.6,29,1,1,0,10347,FURI,Rise,13,2,10,2,3,0,HAVEN,
GuhRVN,brimstone,261,22,19,6,3,166.4,18,1,3,-2,10347,Rise,FURI,11,13,4,8,7,5,ICEBOX,
Slag,sage,212,17,19,8,-2,139.3,30,3,2,1,10347,Rise,FURI,11,13,4,8,7,5,ICEBOX,
glym,jett,185,14,23,5,-9,124.4,19,2,5,-3,10347,Rise,FURI,11,13,4,8,7,5,ICEBOX,
DmL,reyna,179,14,18,4,-4,121.7,26,3,3,0,10347,Rise,FURI,11,13,4,8,7,5,ICEBOX,
leonzhet,sova,168,16,15,4,1,112.2,26,0,2,-2,10347,Rise,FURI,11,13,4,8,7,5,ICEBOX,
xand,jett,384,33,17,4,16,221.5,12,5,2,3,10347,FURI,Rise,13,11,5,7,8,4,ICEBOX,
Nozwerr,sova,285,24,14,10,10,169.0,21,2,0,2,10347,FURI,Rise,13,11,5,7,8,4,ICEBOX,
Quick,raze,215,17,16,4,1,149.0,26,3,4,-1,10347,FURI,Rise,13,11,5,7,8,4,ICEBOX,
Khalil,omen,153,13,20,5,-7,93.6,17,2,1,1,10347,FURI,Rise,13,11,5,7,8,4,ICEBOX,
txddy,sage,93,7,16,8,-9,67.7,12,3,2,1,10347,FURI,Rise,13,11,5,7,8,4,ICEBOX,
Nozwerr,raze,366,21,8,5,13,214.4,6,3,0,3,13022,FURI,IMP,13,3,9,3,4,0,SPLIT,
xand,jett,363,21,12,4,9,197.8,22,7,1,6,13022,FURI,IMP,13,3,9,3,4,0,SPLIT,
Khalil,omen,211,13,7,10,6,129.8,11,1,0,1,13022,FURI,IMP,13,3,9,3,4,0,SPLIT,
Quick,sage,183,12,7,6,5,98.9,23,0,2,-2,13022,FURI,IMP,13,3,9,3,4,0,SPLIT,
txddy,cypher,143,7,11,7,-4,94.5,16,2,0,2,13022,FURI,IMP,13,3,9,3,4,0,SPLIT,
tuyz,sage,220,12,14,4,-2,190.1,30,1,2,-1,13022,IMP,FURI,3,13,0,4,3,9,SPLIT,
gustt1nha,raze,201,9,16,5,-7,129.8,22,1,6,-5,13022,IMP,FURI,3,13,0,4,3,9,SPLIT,
rst,omen,191,10,13,5,-3,241.9,16,0,1,-1,13022,IMP,FURI,3,13,0,4,3,9,SPLIT,
Evilkyk,skye,158,8,15,5,-7,89.8,11,0,2,-2,13022,IMP,FURI,3,13,0,4,3,9,SPLIT,
Biscoit1n,cypher,120,6,16,3,-10,75.9,26,1,2,-1,13022,IMP,FURI,3,13,0,4,3,9,SPLIT,
xand,jett,259,19,17,1,2,132.9,33,6,4,2,13022,FURI,IMP,7,13,2,10,5,3,HAVEN,
Nozwerr,sova,243,15,12,8,3,165.6,28,0,2,-2,13022,FURI,IMP,7,13,2,10,5,3,HAVEN,
