Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
Enjoy,253,16,14,4,2,215.6,13,0,2,-2,9258,Gala,FURI,MATCH,1,2.01
zakkv,203,12,14,4,-2,105.5,15,2,2,0,9258,Gala,FURI,MATCH,1,2.01
Tisora,180,13,16,1,-3,99.1,11,2,5,-3,9258,Gala,FURI,MATCH,1,2.01
pôti,158,10,14,5,-4,107.1,38,1,1,0,9258,Gala,FURI,MATCH,1,2.01
Double,136,8,13,4,-5,88.3,8,2,2,0,9258,Gala,FURI,MATCH,1,2.01
Nozwerr,234,17,9,7,8,153.6,27,1,0,1,9258,FURI,Gala,MATCH,1,2.01
xand,228,14,16,5,-2,135.1,34,5,3,2,9258,FURI,Gala,MATCH,1,2.01
qck,204,14,13,3,1,123.4,14,2,1,1,9258,FURI,Gala,MATCH,1,2.01
Khalil,203,14,9,7,5,180.8,17,2,1,1,9258,FURI,Gala,MATCH,1,2.01
txddy,186,12,12,5,0,104.3,22,2,2,0,9258,FURI,Gala,MATCH,1,2.01
DiMAS,234,40,36,9,4,153.1,25,6,4,2,9422,SLK,FURI,MATCH,2,2.01
ntk,233,39,31,14,8,158.1,22,3,3,0,9422,SLK,FURI,MATCH,2,2.01
mNdS,214,35,39,11,-4,121.9,29,4,4,0,9422,SLK,FURI,MATCH,2,2.01
Hastad,193,30,43,13,-13,118.4,13,5,8,-3,9422,SLK,FURI,MATCH,2,2.01
bld,148,25,35,11,-10,103.4,28,2,8,-6,9422,SLK,FURI,MATCH,2,2.01
Nozwerr,316,49,31,27,18,186.8,21,4,1,3,9422,FURI,SLK,MATCH,2,2.01
txddy,249,40,33,12,7,173.6,28,5,5,0,9422,FURI,SLK,MATCH,2,2.01
xand,236,40,40,9,0,142.9,19,14,9,5,9422,FURI,SLK,MATCH,2,2.01
Khalil,173,30,29,16,1,107.3,17,3,1,2,9422,FURI,SLK,MATCH,2,2.01
qck,157,25,36,27,-11,94.5,23,1,4,-3,9422,FURI,SLK,MATCH,2,2.01
Nozwerr,244,16,15,10,1,161.5,12,2,1,1,10340,FURI,GL,MATCH,1,2.02
qck,227,18,14,6,4,151.7,21,1,2,-1,10340,FURI,GL,MATCH,1,2.02
xand,222,18,16,5,2,128.8,20,4,2,2,10340,FURI,GL,MATCH,1,2.02
txddy,181,13,15,6,-2,94.0,21,3,5,-2,10340,FURI,GL,MATCH,1,2.02
Khalil,142,11,17,4,-6,96.6,10,1,1,0,10340,FURI,GL,MATCH,1,2.02
mwzera,299,24,14,4,10,186.0,21,2,3,-1,10340,GL,FURI,MATCH,1,2.02
JhoW,238,21,12,2,9,127.6,13,4,1,3,10340,GL,FURI,MATCH,1,2.02
Jonn,220,16,20,5,-4,109.8,15,4,5,-1,10340,GL,FURI,MATCH,1,2.02
Nyang,129,8,14,16,-6,83.6,15,0,1,-1,10340,GL,FURI,MATCH,1,2.02
fznnn,115,8,16,9,-8,83.0,11,1,1,0,10340,GL,FURI,MATCH,1,2.02
tuyz,200,22,32,7,-10,125.3,20,4,3,1,10345,IMP,FURI,MATCH,2,2.02
Biscoit1n,178,23,33,6,-10,108.1,24,6,10,-4,10345,IMP,FURI,MATCH,2,2.02
rst,170,23,30,4,-7,112.2,18,1,6,-5,10345,IMP,FURI,MATCH,2,2.02
gustt1nha,159,19,31,6,-12,98.1,27,1,3,-2,10345,IMP,FURI,MATCH,2,2.02
Evilkyk,122,15,34,10,-19,87.7,27,1,2,-1,10345,IMP,FURI,MATCH,2,2.02
qck,289,39,24,5,15,210.4,21,5,2,3,10345,FURI,IMP,MATCH,2,2.02
xand,280,38,24,4,14,139.1,18,9,6,3,10345,FURI,IMP,MATCH,2,2.02
Nozwerr,243,31,17,14,14,161.1,21,1,0,1,10345,FURI,IMP,MATCH,2,2.02
Khalil,209,30,18,9,12,135.4,21,5,3,2,10345,FURI,IMP,MATCH,2,2.02
txddy,184,22,19,16,3,112.2,22,4,2,2,10345,FURI,IMP,MATCH,2,2.02
