Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
Enjoy,2,2,1,0.0,0,0,0.0,0.0,0.0,87,0,0,9258,Gala,FURI,ASCENT,2.01
zakkv,3,0,0,0.0,0,0,0.0,0.0,0.0,44,2,0,9258,Gala,FURI,ASCENT,2.01
Doubleee,1,0,0,0.0,0,0,0.0,0.0,0.0,39,1,0,9258,Gala,FURI,ASCENT,2.01
pôti,3,0,0,0.0,0,0,0.0,0.0,0.0,47,2,0,9258,Gala,FURI,ASCENT,2.01
Tisora,5,0,0,0.0,0,0,0.0,0.0,0.0,36,0,0,9258,Gala,FURI,ASCENT,2.01
xand,2,2,0,0.0,0,0,0.0,0.0,0.0,45,0,0,9258,FURI,Gala,ASCENT,2.01
Nozwerr,4,0,1,0.0,0,1,0.0,0.0,0.0,74,4,2,9258,FURI,Gala,ASCENT,2.01
Quick,3,0,1,0.0,0,0,0.0,0.0,0.0,45,0,0,9258,FURI,Gala,ASCENT,2.01
Khalil,4,0,0,0.0,1,0,0.0,0.0,0.0,83,2,1,9258,FURI,Gala,ASCENT,2.01
txddy,2,1,0,0.0,0,0,0.0,0.0,0.0,43,1,0,9258,FURI,Gala,ASCENT,2.01
DiMAS,4,1,0,0.0,0,0.0,0.0,0.0,0.0,61,0,2,9422,SLK,FURI,ASCENT,2.01
bld,0,0,0,0.0,0,0.0,0.0,0.0,0.0,26,2,1,9422,SLK,FURI,ASCENT,2.01
ntk,2,2,0,0.0,2,0.0,0.0,0.0,0.0,56,2,1,9422,SLK,FURI,ASCENT,2.01
Hastad,0,0,0,0.0,0,0.0,0.0,0.0,0.0,31,0,0,9422,SLK,FURI,ASCENT,2.01
DONSA,4,0,0,0.0,0,0.0,0.0,0.0,0.0,55,5,0,9422,SLK,FURI,ASCENT,2.01
xand,2,1,0,0.0,1,0.0,0.0,0.0,0.0,34,0,1,9422,FURI,SLK,ASCENT,2.01
Nozwerr,2,3,1,0.0,0,0.0,0.0,0.0,0.0,118,2,2,9422,FURI,SLK,ASCENT,2.01
Quick,5,0,0,0.0,0,0.0,0.0,0.0,0.0,44,0,0,9422,FURI,SLK,ASCENT,2.01
Khalil,2,0,0,0.0,0,0.0,0.0,0.0,0.0,63,6,2,9422,FURI,SLK,ASCENT,2.01
txddy,4,0,0,0.0,0,0.0,0.0,0.0,0.0,84,1,0,9422,FURI,SLK,ASCENT,2.01
DiMAS,2,3,0,0.0,0,0,0.0,0.0,0.0,50,0,0,9422,SLK,FURI,HAVEN,2.01
bld,2,2,0,0.0,0,0,0.0,0.0,0.0,44,6,2,9422,SLK,FURI,HAVEN,2.01
ntk,5,1,0,0.0,0,0,0.0,0.0,0.0,76,1,0,9422,SLK,FURI,HAVEN,2.01
Hastad,3,1,1,0.0,0,0,0.0,0.0,0.0,49,1,0,9422,SLK,FURI,HAVEN,2.01
DONSA,5,0,0,0.0,0,0,0.0,0.0,0.0,37,3,0,9422,SLK,FURI,HAVEN,2.01
xand,4,2,1,0.0,1,0,0.0,0.0,0.0,60,0,0,9422,FURI,SLK,HAVEN,2.01
Nozwerr,3,1,0,0.0,0,0,0.0,0.0,0.0,56,1,1,9422,FURI,SLK,HAVEN,2.01
Quick,2,0,0,0.0,1,0,0.0,0.0,0.0,28,2,1,9422,FURI,SLK,HAVEN,2.01
Khalil,0,1,0,0.0,0,1,0.0,0.0,0.0,36,6,2,9422,FURI,SLK,HAVEN,2.01
txddy,2,0,1,0.0,2,0,0.0,0.0,0.0,54,1,0,9422,FURI,SLK,HAVEN,2.01
xand,6,0,0,0.0,0,0,0.0,0.0,0.0,54,0,0,10340,FURI,GL,ICEBOX,2.02
Nozwerr,3,0,0,0.0,1,0,0.0,0.0,0.0,84,0,1,10340,FURI,GL,ICEBOX,2.02
Quick,3,0,1,0.0,0,0,0.0,0.0,0.0,57,1,3,10340,FURI,GL,ICEBOX,2.02
Khalil,2,0,0,0.0,0,0,0.0,0.0,0.0,36,1,1,10340,FURI,GL,ICEBOX,2.02
txddy,2,1,0,0.0,0,0,0.0,0.0,0.0,39,4,1,10340,FURI,GL,ICEBOX,2.02
Nyang,0,0,0,0.0,0,0,0.0,0.0,0.0,32,9,0,10340,GL,FURI,ICEBOX,2.02
fznnn,0,0,0,0.0,0,0,0.0,0.0,0.0,33,1,1,10340,GL,FURI,ICEBOX,2.02
JhoW,4,1,0,0.0,1,1,0.0,0.0,0.0,55,2,2,10340,GL,FURI,ICEBOX,2.02
Jonn,5,1,0,0.0,0,0,0.0,0.0,0.0,39,0,0,10340,GL,FURI,ICEBOX,2.02
mwzera,2,3,1,0.0,0,1,0.0,0.0,0.0,77,0,0,10340,GL,FURI,ICEBOX,2.02
rst,1,0,0.0,0.0,0.0,1,0.0,0,0.0,37,0,0,10345,IMP,FURI,ICEBOX,2.02
Evilkyk,1,0,0.0,0.0,0.0,0,0.0,0,0.0,19,1,0,10345,IMP,FURI,ICEBOX,2.02
gustt1nha,1,0,0.0,0.0,0.0,0,0.0,0,0.0,47,4,0,10345,IMP,FURI,ICEBOX,2.02
