Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
Enjoy,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,9258,Gala,FURI,2.01,MATCH,1
zakkv,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0,9258,Gala,FURI,2.01,MATCH,1
Doubleee,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,9258,Gala,FURI,2.01,MATCH,1
pôti,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2.0,0.0,9258,Gala,FURI,2.01,MATCH,1
Tisora,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,9258,Gala,FURI,2.01,MATCH,1
xand,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,9258,FURI,Gala,2.01,MATCH,1
Nozwerr,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,4.0,2.0,9258,FURI,Gala,2.01,MATCH,1
Quick,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,9258,FURI,Gala,2.01,MATCH,1
Khalil,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,83.0,2.0,1.0,9258,FURI,Gala,2.01,MATCH,1
txddy,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,0.0,9258,FURI,Gala,2.01,MATCH,1
DiMAS,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,2.0,9422,SLK,FURI,2.01,MATCH,2
bld,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,8.0,3.0,9422,SLK,FURI,2.01,MATCH,2
ntk,7.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,66.0,3.0,1.0,9422,SLK,FURI,2.01,MATCH,2
Hastad,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,9422,SLK,FURI,2.01,MATCH,2
DONSA,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,8.0,0.0,9422,SLK,FURI,2.01,MATCH,2
xand,6.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,47.0,0.0,1.0,9422,FURI,SLK,2.01,MATCH,2
Nozwerr,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,3.0,3.0,9422,FURI,SLK,2.01,MATCH,2
Quick,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,2.0,1.0,9422,FURI,SLK,2.01,MATCH,2
Khalil,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,12.0,4.0,9422,FURI,SLK,2.01,MATCH,2
txddy,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,69.0,2.0,0.0,9422,FURI,SLK,2.01,MATCH,2
xand,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,10340,FURI,GL,2.02,MATCH,1
Nozwerr,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,84.0,0.0,1.0,10340,FURI,GL,2.02,MATCH,1
Quick,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,3.0,10340,FURI,GL,2.02,MATCH,1
Khalil,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,1.0,10340,FURI,GL,2.02,MATCH,1
txddy,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,4.0,1.0,10340,FURI,GL,2.02,MATCH,1
Nyang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,9.0,0.0,10340,GL,FURI,2.02,MATCH,1
fznnn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,1.0,10340,GL,FURI,2.02,MATCH,1
JhoW,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,55.0,2.0,2.0,10340,GL,FURI,2.02,MATCH,1
Jonn,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,10340,GL,FURI,2.02,MATCH,1
mwzera,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,77.0,0.0,0.0,10340,GL,FURI,2.02,MATCH,1
rst,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,44.0,0.0,2.0,10345,IMP,FURI,2.02,MATCH,2
Evilkyk,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,10345,IMP,FURI,2.02,MATCH,2
