Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
GL,2,2,100.0,2,2,100.0,1,1,100.0,4,3,75.0,9,7,78.0,IMP,1.0,1.12,6797,SPLIT
IMP,0,2,0.0,3,0,0.0,2,0,0.0,6,2,33.0,5,1,20.0,GL,1.0,1.12,6797,SPLIT
GL,2,2,100.0,2,2,100.0,2,1,50.0,5,3,60.0,13,7,54.0,IMP,1.0,1.12,6797,BIND
IMP,0,2,0.0,4,0,0.0,2,0,0.0,4,2,50.0,12,7,58.0,GL,1.0,1.12,6797,BIND
RED,1,2,50.0,3,1,33.0,2,0,0.0,6,2,33.0,5,0,0.0,GL,1.0,,6526,ASCENT
GL,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,11,10,91.0,RED,1.0,,6526,ASCENT
RED,1,2,50.0,2,1,50.0,2,0,0.0,6,3,50.0,14,7,50.0,GL,1.0,,6526,SPLIT
GL,1,2,50.0,3,1,33.0,3,1,33.0,3,3,100.0,15,8,53.0,RED,1.0,,6526,SPLIT
GL,2,2,100.0,2,2,100.0,0,0,,6,6,100.0,7,5,71.0,FKL,1.0,1.12,6052,BIND
FKL,0,2,0.0,2,0,0.0,4,1,25.0,5,0,0.0,4,1,25.0,GL,1.0,1.12,6052,BIND
GL,1,2,50.0,3,1,33.0,1,0,0.0,3,2,67.0,11,10,91.0,FKL,1.0,1.12,6052,SPLIT
FKL,1,2,50.0,3,1,33.0,3,0,0.0,7,3,43.0,5,1,20.0,GL,1.0,1.12,6052,SPLIT
GL,0,2,0.0,4,0,0.0,1,0,0.0,6,4,67.0,9,3,33.0,FF,1.0,1.08,3214,BIND
FF,2,2,100.0,2,2,100.0,1,1,100.0,4,3,75.0,13,7,54.0,GL,1.0,1.08,3214,BIND
GL,1,2,50.0,2,1,50.0,3,0,0.0,5,1,20.0,8,3,38.0,FF,1.0,1.08,3214,ASCENT
FF,1,2,50.0,3,1,33.0,0,0,,3,3,100.0,12,9,75.0,GL,1.0,1.08,3214,ASCENT
B4,1,2,50.0,3,1,33.0,1,0,0.0,5,3,60.0,11,3,27.0,GL,1.0,1.08,3144,ASCENT
GL,1,2,50.0,3,1,33.0,1,0,0.0,2,1,50.0,14,11,79.0,B4,1.0,1.08,3144,ASCENT
FAKEZIN,2,2,100.0,2,2,100.0,3,1,33.0,5,2,40.0,10,2,20.0,GL,1.0,1.08,3050,ASCENT
GL,0,2,0.0,4,0,0.0,0,0,,2,2,100.0,14,11,79.0,FAKEZIN,1.0,1.08,3050,ASCENT
GL,2,2,100.0,2,2,100.0,0,0,,4,3,75.0,9,8,89.0,QUEM TREINA FICA RUIM,1.0,1.08,2976,BIND
QUEM TREINA FICA RUIM,0,2,0.0,3,0,0.0,2,0,0.0,2,0,0.0,8,2,25.0,GL,1.0,1.08,2976,BIND
GL,2,2,100.0,2,2,100.0,2,1,50.0,4,3,75.0,12,7,58.0,QUEM TREINA FICA RUIM,1.0,1.08,2976,ASCENT
QUEM TREINA FICA RUIM,0,2,0.0,5,0,0.0,0,0,,3,1,33.0,12,6,50.0,GL,1.0,1.08,2976,ASCENT
GL,2,2,100.0,2,2,100.0,0,0,,2,2,100.0,9,9,100.0,Mindskill,1.0,1.08,2954,SPLIT
Mindskill,0,2,0.0,3,0,0.0,3,0,0.0,2,0,0.0,5,0,0.0,GL,1.0,1.08,2954,SPLIT
GL,2,2,100.0,2,2,100.0,0,0,,2,2,100.0,9,9,100.0,Mindskill,1.0,1.08,2954,ASCENT
Mindskill,0,2,0.0,3,0,0.0,2,0,0.0,3,0,0.0,5,0,0.0,GL,1.0,1.08,2954,ASCENT
GL,1,2,50.0,3,1,33.0,0,0,,4,3,75.0,14,9,64.0,B4,1.0,1.08,3140,HAVEN
B4,1,2,50.0,3,1,33.0,2,1,50.0,4,2,50.0,12,4,33.0,GL,1.0,1.08,3140,HAVEN
GL,1,2,50.0,3,1,33.0,1,0,0.0,4,3,75.0,15,9,60.0,B4,1.0,1.08,3140,SPLIT
B4,1,2,50.0,2,1,50.0,4,1,25.0,3,1,33.0,14,7,50.0,GL,1.0,1.08,3140,SPLIT
GL,1,2,50.0,2,1,50.0,2,0,0.0,7,5,71.0,12,4,33.0,VIMDOLOL,1.0,1.08,3062,ASCENT
VIMDOLOL,1,2,50.0,2,1,50.0,2,1,50.0,6,4,67.0,13,7,54.0,GL,1.0,1.08,3062,ASCENT
B4,1,2,50.0,3,1,33.0,1,1,100.0,6,1,17.0,8,2,25.0,GL,1.0,1.08,3051,ASCENT
GL,1,2,50.0,3,1,33.0,0,0,,2,1,50.0,13,11,85.0,B4,1.0,1.08,3051,ASCENT
VKS,1,2,50.0,3,1,33.0,2,0,0.0,3,1,33.0,13,6,46.0,GL,1.0,1.08,2940,ASCENT
GL,1,2,50.0,3,1,33.0,0,0,,3,2,67.0,15,10,67.0,VKS,1.0,1.08,2940,ASCENT
Estral,2,2,100.0,2,2,100.0,3,0,0.0,4,2,50.0,17,8,47.0,GL,1.0,1.08,2930,ASCENT
GL,0,2,0.0,4,1,25.0,2,0,0.0,1,1,100.0,19,12,63.0,Estral,1.0,1.08,2930,ASCENT
GL,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,14,10,71.0,VIMDOLOL,1.0,1.09,3510,ASCENT
VIMDOLOL,1,2,50.0,3,1,33.0,2,0,0.0,2,1,50.0,12,4,33.0,GL,1.0,1.09,3510,ASCENT
GL,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,9,8,89.0,VIMDOLOL,1.0,1.09,3510,BIND
VIMDOLOL,0,2,0.0,3,0,0.0,0,0,,8,1,12.0,3,0,0.0,GL,1.0,1.09,3510,BIND
GL,1,2,50.0,3,1,33.0,2,0,0.0,7,2,29.0,6,2,33.0,NOORG2.0,1.0,1.09,3508,HAVEN
NOORG2.0,1,2,50.0,4,1,25.0,0,0,,2,2,100.0,12,10,83.0,GL,1.0,1.09,3508,HAVEN
GL,1,2,50.0,3,1,33.0,0,0,,6,5,83.0,15,7,47.0,Estral,1.0,1.09,3472,ASCENT
Estral,1,2,50.0,3,1,33.0,2,0,0.0,5,3,60.0,14,7,50.0,GL,1.0,1.09,3472,ASCENT
GL,1,2,50.0,3,2,67.0,1,0,0.0,6,4,67.0,16,8,50.0,novidades em breve,1.0,1.09,3466,BIND
novidades em breve,1,2,50.0,5,2,40.0,1,0,0.0,2,0,0.0,18,10,56.0,GL,1.0,1.09,3466,BIND
GL,1,2,50.0,3,1,33.0,1,0,0.0,2,2,100.0,12,10,83.0,paiN,1.0,1.12,6687,BIND
paiN,1,2,50.0,3,1,33.0,3,0,0.0,6,3,50.0,6,1,17.0,GL,1.0,1.12,6687,BIND
GL,1,2,50.0,2,1,50.0,2,0,0.0,6,3,50.0,18,9,50.0,paiN,1.0,1.12,6687,ASCENT
paiN,1,2,50.0,3,1,33.0,2,0,0.0,4,3,75.0,19,11,58.0,GL,1.0,1.12,6687,ASCENT
GL,1,2,50.0,3,1,33.0,1,0,0.0,3,2,67.0,12,10,83.0,paiN,1.0,1.12,6687,ICEBOX
paiN,1,2,50.0,3,1,33.0,2,0,0.0,5,3,60.0,9,2,22.0,GL,1.0,1.12,6687,ICEBOX
GL,1,2,50.0,3,1,33.0,1,1,100.0,3,2,67.0,14,9,64.0,paiN,1.0,1.12,6687,SPLIT
paiN,1,2,50.0,3,1,33.0,3,1,33.0,6,3,50.0,9,3,33.0,GL,1.0,1.12,6687,SPLIT
GL,1,2,50.0,3,1,33.0,1,1,100.0,3,2,67.0,12,9,75.0,B4,1.0,1.12,6685,ASCENT
B4,1,2,50.0,3,1,33.0,2,0,0.0,3,1,33.0,11,4,36.0,GL,1.0,1.12,6685,ASCENT
GL,1,2,50.0,3,1,33.0,0,0,,5,3,60.0,15,9,60.0,B4,1.0,1.12,6685,BIND
B4,1,2,50.0,3,1,33.0,3,2,67.0,5,3,60.0,12,4,33.0,GL,1.0,1.12,6685,BIND
GL,0,2,0.0,4,1,25.0,0,0,,1,1,100.0,12,11,92.0,Ingaming,1.0,1.12,6681,HAVEN
Ingaming,2,2,100.0,3,2,67.0,4,0,0.0,3,1,33.0,7,1,14.0,GL,1.0,1.12,6681,HAVEN
GL,1,2,50.0,3,2,67.0,0,0,,3,3,100.0,11,8,73.0,Ingaming,1.0,1.12,6681,BIND
Ingaming,1,2,50.0,4,1,25.0,0,0,,5,0,0.0,8,3,38.0,GL,1.0,1.12,6681,BIND
ANA,1,2,50.0,3,1,33.0,2,0,0.0,5,2,40.0,6,0,0.0,GL,1.0,1.1,4767,SPLIT
GL,1,2,50.0,3,2,67.0,0,0,,3,3,100.0,10,8,80.0,ANA,1.0,1.1,4767,SPLIT
GL,1,2,50.0,2,1,50.0,3,0,0.0,6,1,17.0,4,0,0.0,Tagless,1.0,1.12,5261,SPLIT
Tagless,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,10,10,100.0,GL,1.0,1.12,5261,SPLIT
GL,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,9,8,89.0,Tagless,1.0,1.12,5261,HAVEN
Tagless,0,2,0.0,2,0,0.0,4,0,0.0,4,0,0.0,4,1,25.0,GL,1.0,1.12,5261,HAVEN
GL,1,2,50.0,3,1,33.0,1,0,0.0,5,4,80.0,12,8,67.0,Tagless,1.0,1.12,5261,BIND
Tagless,1,2,50.0,3,1,33.0,4,1,25.0,3,1,33.0,11,5,45.0,GL,1.0,1.12,5261,BIND
GL,1,2,50.0,3,1,33.0,3,0,0.0,5,3,60.0,13,9,69.0,Galaxy Carrots,1.0,1.12,5277,SPLIT
Galaxy Carrots,1,2,50.0,3,1,33.0,3,0,0.0,3,3,100.0,15,7,47.0,GL,1.0,1.12,5277,SPLIT
GL,2,2,100.0,2,2,100.0,1,0,0.0,7,5,71.0,13,6,46.0,Galaxy Carrots,1.0,1.12,5277,ASCENT
Galaxy Carrots,0,2,0.0,4,0,0.0,3,0,0.0,3,1,33.0,13,9,69.0,GL,1.0,1.12,5277,ASCENT
GL,2,2,100.0,2,2,100.0,0,0,,4,4,100.0,11,7,64.0,Qisso,1.0,1.07,2703,BIND
Qisso,0,2,0.0,4,0,0.0,0,0,,4,2,50.0,9,2,22.0,GL,1.0,1.07,2703,BIND
VKS,1,2,50.0,3,1,33.0,2,0,0.0,5,3,60.0,12,5,42.0,GL,1.0,1.07,2737,HAVEN
GL,1,2,50.0,3,1,33.0,0,0,,5,3,60.0,14,9,64.0,VKS,1.0,1.07,2737,HAVEN
GL,1,2,50.0,3,1,33.0,2,1,50.0,7,3,43.0,7,1,14.0,VIMDOLOL,1.0,1.07,2712,ASCENT
VIMDOLOL,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,14,10,71.0,GL,1.0,1.07,2712,ASCENT
GL,1,2,50.0,2,1,50.0,2,0,0.0,5,2,40.0,14,7,50.0,FF,1.0,1.08,2744,HAVEN
FF,1,2,50.0,3,1,33.0,3,1,33.0,4,3,75.0,13,8,62.0,GL,1.0,1.08,2744,HAVEN
GL,2,2,100.0,2,2,100.0,0,0,,7,3,43.0,14,8,57.0,FF,1.0,1.08,2744,SPLIT
FF,0,2,0.0,4,0,0.0,2,0,0.0,3,2,67.0,14,8,57.0,GL,1.0,1.08,2744,SPLIT
GL,1,2,50.0,4,1,25.0,1,0,0.0,5,2,40.0,10,4,40.0,FF,1.0,1.08,2744,BIND
FF,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,15,10,67.0,GL,1.0,1.08,2744,BIND
DG,1,2,50.0,3,1,33.0,2,1,50.0,2,1,50.0,35,19,54.0,GL,1.0,1.08,2764,ASCENT
GL,1,2,50.0,3,1,33.0,2,0,0.0,2,1,50.0,35,18,51.0,DG,1.0,1.08,2764,ASCENT
DG,2,2,100.0,3,2,67.0,0,0,,6,4,67.0,23,11,48.0,GL,1.0,1.08,2764,HAVEN
GL,0,2,0.0,4,0,0.0,1,0,0.0,3,2,67.0,24,13,54.0,DG,1.0,1.08,2764,HAVEN
GL,1,2,50.0,3,2,67.0,2,0,0.0,3,3,100.0,16,8,50.0,Urubuzada e-Sports,1.0,2.02,10261,HAVEN
Urubuzada e-Sports,1,2,50.0,3,1,33.0,2,0,0.0,7,4,57.0,12,6,50.0,GL,1.0,2.02,10261,HAVEN
GL,1,2,50.0,2,1,50.0,0,0,,7,6,86.0,9,6,67.0,Urubuzada e-Sports,1.0,2.02,10261,ASCENT
Urubuzada e-Sports,1,2,50.0,3,1,33.0,3,1,33.0,6,1,17.0,6,2,33.0,GL,1.0,2.02,10261,ASCENT
GL,2,2,100.0,4,3,75.0,2,0,0.0,7,1,14.0,6,2,33.0,Galaxy Carrots,1.0,2.02,10292,HAVEN
Galaxy Carrots,0,2,0.0,3,1,33.0,1,1,100.0,2,1,50.0,13,10,77.0,GL,1.0,2.02,10292,HAVEN
GL,1,2,50.0,3,1,33.0,2,0,0.0,2,2,100.0,14,10,71.0,Galaxy Carrots,1.0,2.02,10292,ASCENT
Galaxy Carrots,1,2,50.0,3,1,33.0,2,0,0.0,4,2,50.0,12,5,42.0,GL,1.0,2.02,10292,ASCENT
GL,0,2,0.0,4,0,0.0,0,0,,1,1,100.0,15,12,80.0,Galaxy Carrots,1.0,2.02,10292,SPLIT
Galaxy Carrots,2,2,100.0,2,2,100.0,3,1,33.0,7,3,43.0,8,1,12.0,GL,1.0,2.02,10292,SPLIT
GL,1,2,50.0,3,2,67.0,0,0,,5,2,40.0,12,9,75.0,Vivo Keyd,1.0,2.02,10285,HAVEN
Vivo Keyd,1,2,50.0,3,1,33.0,2,0,0.0,5,0,0.0,10,6,60.0,GL,1.0,2.02,10285,HAVEN
