Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
GLB,4,4,100.0,4,4,100.0,3,2,67.0,9,6,67.0,22,14,64.0,IMP,2.0,1.12,6797,MATCH
IMP,0,4,0.0,7,0,0.0,4,0,0.0,10,4,40.0,17,8,47.0,GLB,2.0,1.12,6797,MATCH
RED,2,4,50.0,5,2,40.0,4,0,0.0,12,5,42.0,19,7,37.0,GLB,2.0,,6526,MATCH
GLB,2,4,50.0,6,2,33.0,3,1,33.0,5,5,100.0,26,18,69.0,RED,2.0,,6526,MATCH
GLB,3,4,75.0,5,3,60.0,1,0,0.0,9,8,89.0,18,15,83.0,FKL,2.0,1.12,6052,MATCH
FKL,1,4,25.0,5,1,20.0,7,1,14.0,12,3,25.0,9,2,22.0,GLB,2.0,1.12,6052,MATCH
GLB,1,4,25.0,6,1,17.0,4,0,0.0,11,5,45.0,17,6,35.0,FF,2.0,1.08,3214,MATCH
FF,3,4,75.0,5,3,60.0,1,1,100.0,7,6,86.0,25,16,64.0,GLB,2.0,1.08,3214,MATCH
B4,1,2,50.0,3,1,33.0,1,0,0.0,5,3,60.0,11,3,27.0,GLB,1.0,1.08,3144,MATCH
GLB,1,2,50.0,3,1,33.0,1,0,0.0,2,1,50.0,14,11,79.0,B4,1.0,1.08,3144,MATCH
FAKEZIN,2,2,100.0,2,2,100.0,3,1,33.0,5,2,40.0,10,2,20.0,GLB,1.0,1.08,3050,MATCH
GLB,0,2,0.0,4,0,0.0,0,0,,2,2,100.0,14,11,79.0,FAKEZIN,1.0,1.08,3050,MATCH
GLB,4,4,100.0,4,4,100.0,2,1,50.0,8,6,75.0,21,15,71.0,QUEM TREINA FICA RUIM,2.0,1.08,2976,MATCH
QUEM TREINA FICA RUIM,0,4,0.0,8,0,0.0,2,0,0.0,5,1,20.0,20,8,40.0,GLB,2.0,1.08,2976,MATCH
GLB,4,4,100.0,4,4,100.0,0,0,,4,4,100.0,18,18,100.0,Mindskill,2.0,1.08,2954,MATCH
Mindskill,0,4,0.0,6,0,0.0,5,0,0.0,5,0,0.0,10,0,0.0,GLB,2.0,1.08,2954,MATCH
GLB,2,4,50.0,6,2,33.0,1,0,0.0,8,6,75.0,29,18,62.0,B4,2.0,1.08,3140,MATCH
B4,2,4,50.0,5,2,40.0,6,2,33.0,7,3,43.0,26,11,42.0,GLB,2.0,1.08,3140,MATCH
GLB,1,2,50.0,2,1,50.0,2,0,0.0,7,5,71.0,12,4,33.0,VIMDOLOL,1.0,1.08,3062,MATCH
VIMDOLOL,1,2,50.0,2,1,50.0,2,1,50.0,6,4,67.0,13,7,54.0,GLB,1.0,1.08,3062,MATCH
B4,1,2,50.0,3,1,33.0,1,1,100.0,6,1,17.0,8,2,25.0,GLB,1.0,1.08,3051,MATCH
GLB,1,2,50.0,3,1,33.0,0,0,,2,1,50.0,13,11,85.0,B4,1.0,1.08,3051,MATCH
VKS,1,2,50.0,3,1,33.0,2,0,0.0,3,1,33.0,13,6,46.0,GLB,1.0,1.08,2940,MATCH
GLB,1,2,50.0,3,1,33.0,0,0,,3,2,67.0,15,10,67.0,VKS,1.0,1.08,2940,MATCH
Estral,2,2,100.0,2,2,100.0,3,0,0.0,4,2,50.0,17,8,47.0,GLB,1.0,1.08,2930,MATCH
GLB,0,2,0.0,4,1,25.0,2,0,0.0,1,1,100.0,19,12,63.0,Estral,1.0,1.08,2930,MATCH
GLB,3,4,75.0,5,3,60.0,0,0,,5,5,100.0,23,18,78.0,VIMDOLOL,2.0,1.09,3510,MATCH
VIMDOLOL,1,4,25.0,6,1,17.0,2,0,0.0,10,2,20.0,15,4,27.0,GLB,2.0,1.09,3510,MATCH
GLB,1,2,50.0,3,1,33.0,2,0,0.0,7,2,29.0,6,2,33.0,NOORG2.0,1.0,1.09,3508,MATCH
NOORG2.0,1,2,50.0,4,1,25.0,0,0,,2,2,100.0,12,10,83.0,GLB,1.0,1.09,3508,MATCH
GLB,1,2,50.0,3,1,33.0,0,0,,6,5,83.0,15,7,47.0,Estral,1.0,1.09,3472,MATCH
Estral,1,2,50.0,3,1,33.0,2,0,0.0,5,3,60.0,14,7,50.0,GLB,1.0,1.09,3472,MATCH
GLB,1,2,50.0,3,2,67.0,1,0,0.0,6,4,67.0,16,8,50.0,novidades em breve,1.0,1.09,3466,MATCH
novidades em breve,1,2,50.0,5,2,40.0,1,0,0.0,2,0,0.0,18,10,56.0,GLB,1.0,1.09,3466,MATCH
GLB,4,8,50.0,11,4,36.0,5,1,20.0,14,9,64.0,56,38,68.0,paiN,4.0,1.12,6687,MATCH
paiN,4,8,50.0,12,4,33.0,10,1,10.0,21,12,57.0,43,17,40.0,GLB,4.0,1.12,6687,MATCH
GLB,2,4,50.0,6,2,33.0,1,1,100.0,8,5,62.0,27,18,67.0,B4,2.0,1.12,6685,MATCH
B4,2,4,50.0,6,2,33.0,5,2,40.0,8,4,50.0,23,8,35.0,GLB,2.0,1.12,6685,MATCH
GLB,1,4,25.0,7,3,43.0,0,0,,4,4,100.0,23,19,83.0,Ingaming,2.0,1.12,6681,MATCH
Ingaming,3,4,75.0,7,3,43.0,4,0,0.0,8,1,12.0,15,4,27.0,GLB,2.0,1.12,6681,MATCH
ANA,1,2,50.0,3,1,33.0,2,0,0.0,5,2,40.0,6,0,0.0,GLB,1.0,1.1,4767,MATCH
GLB,1,2,50.0,3,2,67.0,0,0,,3,3,100.0,10,8,80.0,ANA,1.0,1.1,4767,MATCH
GLB,4,6,67.0,7,4,57.0,4,0,0.0,14,8,57.0,25,16,64.0,Tagless,3.0,1.12,5261,MATCH
Tagless,2,6,33.0,8,2,25.0,8,1,12.0,9,3,33.0,25,16,64.0,GLB,3.0,1.12,5261,MATCH
GLB,3,4,75.0,5,3,60.0,4,0,0.0,12,8,67.0,26,15,58.0,Galaxy Carrots,2.0,1.12,5277,MATCH
Galaxy Carrots,1,4,25.0,7,1,14.0,6,0,0.0,6,4,67.0,28,16,57.0,GLB,2.0,1.12,5277,MATCH
GLB,2,2,100.0,2,2,100.0,0,0,,4,4,100.0,11,7,64.0,Qisso,1.0,1.07,2703,MATCH
Qisso,0,2,0.0,4,0,0.0,0,0,,4,2,50.0,9,2,22.0,GLB,1.0,1.07,2703,MATCH
VKS,1,2,50.0,3,1,33.0,2,0,0.0,5,3,60.0,12,5,42.0,GLB,1.0,1.07,2737,MATCH
GLB,1,2,50.0,3,1,33.0,0,0,,5,3,60.0,14,9,64.0,VKS,1.0,1.07,2737,MATCH
GLB,1,2,50.0,3,1,33.0,2,1,50.0,7,3,43.0,7,1,14.0,VIMDOLOL,1.0,1.07,2712,MATCH
VIMDOLOL,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,14,10,71.0,GLB,1.0,1.07,2712,MATCH
GLB,4,6,67.0,8,4,50.0,3,0,0.0,17,7,41.0,38,19,50.0,FF,3.0,1.08,2744,MATCH
FF,2,6,33.0,10,2,20.0,5,1,20.0,9,7,78.0,42,26,62.0,GLB,3.0,1.08,2744,MATCH
DG,3,4,75.0,6,3,50.0,2,1,50.0,8,5,62.0,58,30,52.0,GLB,2.0,1.08,2764,MATCH
GLB,1,4,25.0,7,1,14.0,3,0,0.0,5,3,60.0,59,31,53.0,DG,2.0,1.08,2764,MATCH
GLB,2,4,50.0,5,3,60.0,2,0,0.0,10,9,90.0,25,14,56.0,Urubuzada e-Sports,2.0,2.02,10261,MATCH
Urubuzada e-Sports,2,4,50.0,6,2,33.0,5,1,20.0,13,5,38.0,18,8,44.0,GLB,2.0,2.02,10261,MATCH
GLB,3,6,50.0,11,4,36.0,4,0,0.0,10,4,40.0,35,24,69.0,Galaxy Carrots,3.0,2.02,10292,MATCH
Galaxy Carrots,3,6,50.0,8,4,50.0,6,2,33.0,13,6,46.0,33,16,48.0,GLB,3.0,2.02,10292,MATCH
GLB,1,2,50.0,3,2,67.0,0,0,,5,2,40.0,12,9,75.0,VK,1.0,2.02,10285,MATCH
VK,1,2,50.0,3,1,33.0,2,0,0.0,5,0,0.0,10,6,60.0,GLB,1.0,2.02,10285,MATCH
GLB,1,2,50.0,3,1,33.0,1,0,0.0,5,3,60.0,12,9,75.0,IMP,1.0,2.02,10306,MATCH
IMP,1,2,50.0,4,1,25.0,2,1,50.0,5,2,40.0,10,4,40.0,GLB,1.0,2.02,10306,MATCH
FUR,1,2,50.0,3,1,33.0,2,0,0.0,3,3,100.0,14,5,36.0,GLB,1.0,2.02,10340,MATCH
GLB,1,2,50.0,3,1,33.0,0,0,,5,4,80.0,14,8,57.0,FUR,1.0,2.02,10340,MATCH
GLB,3,4,75.0,5,3,60.0,1,1,100.0,8,5,62.0,22,17,77.0,SLK,2.0,2.02,10319,MATCH
SLK,1,4,25.0,6,1,17.0,5,0,0.0,10,4,40.0,15,5,33.0,GLB,2.0,2.02,10319,MATCH
GLB,1,4,25.0,7,1,14.0,3,1,33.0,13,6,46.0,19,8,42.0,S5,2.0,2.02,10321,MATCH
S5,3,4,75.0,6,3,50.0,1,0,0.0,9,8,89.0,26,15,58.0,GLB,2.0,2.02,10321,MATCH
Rise,1,4,25.0,6,1,17.0,5,0,0.0,10,4,40.0,17,7,41.0,GLB,2.0,2.02,10343,MATCH
GLB,3,4,75.0,4,3,75.0,3,3,100.0,10,5,50.0,21,15,71.0,Rise,2.0,2.02,10343,MATCH
GLB,3,4,75.0,6,4,67.0,3,0,0.0,10,5,50.0,23,17,74.0,SLK,2.0,2.03,13021,MATCH
SLK,1,4,25.0,7,1,14.0,3,0,0.0,10,7,70.0,22,8,36.0,GLB,2.0,2.03,13021,MATCH
GLB,3,6,50.0,9,4,44.0,4,0,0.0,9,6,67.0,55,32,58.0,FUR,3.0,2.03,13025,MATCH
FUR,3,6,50.0,10,3,30.0,4,0,0.0,18,8,44.0,45,24,53.0,GLB,3.0,2.03,13025,MATCH
GLB,4,6,67.0,8,4,50.0,5,0,0.0,20,10,50.0,35,15,43.0,VKS,3.0,2.03,13027,MATCH
VKS,2,6,33.0,10,2,20.0,3,1,33.0,11,7,64.0,44,29,66.0,GLB,3.0,2.03,13027,MATCH
GLB,2,4,50.0,6,2,33.0,1,1,100.0,5,3,60.0,24,20,83.0,Ingaming,2.0,,14102,MATCH
Ingaming,2,4,50.0,6,2,33.0,5,0,0.0,10,3,30.0,15,5,33.0,GLB,2.0,,14102,MATCH
GLB,2,2,100.0,2,2,100.0,1,1,100.0,3,3,100.0,10,7,70.0,Rise,1.0,,14200,MATCH
Rise,0,2,0.0,4,1,25.0,3,0,0.0,2,1,50.0,7,1,14.0,GLB,1.0,,14200,MATCH
GLB,3,4,75.0,5,3,60.0,2,0,0.0,10,4,40.0,35,16,46.0,FUR,2.0,,14203,MATCH
FUR,1,4,25.0,7,2,29.0,4,1,25.0,7,3,43.0,34,23,68.0,GLB,2.0,,14203,MATCH
GLB,4,6,67.0,8,5,62.0,3,0,0.0,22,12,55.0,41,18,44.0,SHK,3.0,,14207,MATCH
SHK,2,6,33.0,9,2,22.0,3,0,0.0,12,4,33.0,50,33,66.0,GLB,3.0,,14207,MATCH
GLB,3,4,75.0,5,3,60.0,2,1,50.0,8,5,62.0,28,18,64.0,BD,2.0,2.06,15655,MATCH
BD,1,4,25.0,6,1,17.0,4,1,25.0,10,6,60.0,23,8,35.0,GLB,2.0,2.06,15655,MATCH
SLK,1,2,50.0,3,1,33.0,1,0,0.0,5,1,20.0,10,4,40.0,GLB,1.0,2.06,15734,MATCH
GLB,1,2,50.0,4,1,25.0,1,0,0.0,4,2,50.0,10,10,100.0,SLK,1.0,2.06,15734,MATCH
VKS,3,6,50.0,8,3,38.0,8,2,25.0,10,8,80.0,42,20,48.0,GLB,3.0,2.06,15735,MATCH
GLB,3,6,50.0,8,3,38.0,4,0,0.0,15,10,67.0,41,22,54.0,VKS,3.0,2.06,15735,MATCH
GLB,3,4,75.0,4,3,75.0,2,1,50.0,12,8,67.0,26,14,54.0,HL,2.0,,17615,MATCH
HL,1,4,25.0,8,1,12.0,3,0,0.0,9,5,56.0,24,12,50.0,GLB,2.0,,17615,MATCH
GLB,2,6,33.0,12,2,17.0,4,0,0.0,9,3,33.0,41,24,59.0,SHK,3.0,,17748,MATCH
SHK,4,6,67.0,8,4,50.0,6,0,0.0,14,11,79.0,38,22,58.0,GLB,3.0,,17748,MATCH
GLB,1,4,25.0,7,1,14.0,4,1,25.0,12,4,33.0,20,11,55.0,HL,2.0,,17751,MATCH
HL,3,4,75.0,5,3,60.0,2,1,50.0,10,5,50.0,26,17,65.0,GLB,2.0,,17751,MATCH
GLB,2,4,50.0,6,2,33.0,0,0,,5,5,100.0,24,19,79.0,SH,2.0,,21729,MATCH
SH,2,4,50.0,5,2,40.0,7,1,14.0,10,3,30.0,13,3,23.0,GLB,2.0,,21729,MATCH
GLB,3,6,50.0,9,3,33.0,3,0,0.0,14,9,64.0,44,25,57.0,VK,3.0,,22112,MATCH
VK,3,6,50.0,9,3,33.0,8,0,0.0,14,10,71.0,39,20,51.0,GLB,3.0,,22112,MATCH
GLB,0,6,0.0,12,2,17.0,4,0,0.0,13,6,46.0,41,25,61.0,FUR,3.0,,22682,MATCH
FUR,6,6,100.0,8,6,75.0,4,0,0.0,15,10,67.0,43,21,49.0,GLB,3.0,,22682,MATCH
GLB,4,8,50.0,12,4,33.0,5,2,40.0,19,14,74.0,53,25,47.0,FUR,4.0,,22712,MATCH
FUR,4,8,50.0,12,4,33.0,8,1,12.0,22,14,64.0,47,25,53.0,GLB,4.0,,22712,MATCH
GLB,2,4,50.0,6,3,50.0,1,1,100.0,5,5,100.0,23,17,74.0,BRAVOS GAMING,2.0,,24206,MATCH
BRAVOS GAMING,2,4,50.0,7,2,29.0,5,1,20.0,6,2,33.0,17,4,24.0,GLB,2.0,,24206,MATCH
GLB,3,4,75.0,5,3,60.0,2,2,100.0,7,6,86.0,23,15,65.0,Fakezin de cria,2.0,,24216,MATCH
Fakezin de cria,1,4,25.0,7,1,14.0,6,1,17.0,6,3,50.0,18,6,33.0,GLB,2.0,,24216,MATCH
GLB,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,14,10,71.0,HL,1.0,,24471,MATCH
HL,1,2,50.0,2,1,50.0,2,0,0.0,6,1,17.0,9,4,44.0,GLB,1.0,,24471,MATCH
SHK,2,6,33.0,10,2,20.0,3,1,33.0,11,8,73.0,30,15,50.0,GLB,3.0,,24472,MATCH
GLB,4,6,67.0,7,4,57.0,3,0,0.0,16,10,62.0,28,14,50.0,SHK,3.0,,24472,MATCH
GLB,0,2,0.0,4,1,25.0,0,0,,0,0,,17,12,71.0,Ingaming,1.0,,26911,MATCH
Ingaming,2,2,100.0,3,2,67.0,2,0,0.0,4,2,50.0,12,4,33.0,GLB,1.0,,26911,MATCH
