Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
Jonn,jett,398,22,9,5,13,224.6,18,3,1,2,6797,GL,IMP,13,3,10,2,3,1,SPLIT,
mwzera,raze,268,14,12,5,2,181.0,17,2,1,1,6797,GL,IMP,13,3,10,2,3,1,SPLIT,
JhoW,omen,185,13,8,7,5,103.9,19,1,1,0,6797,GL,IMP,13,3,10,2,3,1,SPLIT,
fznnn,cypher,155,8,9,9,-1,83.6,14,1,5,-4,6797,GL,IMP,13,3,10,2,3,1,SPLIT,
Nyang,breach,131,8,10,3,-2,66.6,15,0,1,-1,6797,GL,IMP,13,3,10,2,3,1,SPLIT,
tuyz,raze,236,11,12,2,-1,140.9,17,3,1,2,6797,IMP,GL,3,13,1,3,2,10,SPLIT,
txddy,cypher,232,15,13,0,2,130.3,35,0,1,-1,6797,IMP,GL,3,13,1,3,2,10,SPLIT,
Biscoit1n,jett,199,10,15,3,-5,119.4,11,4,2,2,6797,IMP,GL,3,13,1,3,2,10,SPLIT,
Evilkyk,killjoy,129,7,14,5,-7,81.6,28,2,2,0,6797,IMP,GL,3,13,1,3,2,10,SPLIT,
rst,omen,113,5,11,4,-6,69.4,17,0,1,-1,6797,IMP,GL,3,13,1,3,2,10,SPLIT,
mwzera,raze,320,26,13,6,13,194.6,23,7,1,6,6797,GL,IMP,13,9,5,5,8,4,BIND,
JhoW,cypher,228,17,16,5,1,146.2,11,2,2,0,6797,GL,IMP,13,9,5,5,8,4,BIND,
fznnn,sova,193,16,15,6,1,120.2,18,3,1,2,6797,GL,IMP,13,9,5,5,8,4,BIND,
Nyang,omen,188,14,12,8,2,124.5,28,1,1,0,6797,GL,IMP,13,9,5,5,8,4,BIND,
Jonn,reyna,150,12,14,5,-2,74.0,25,2,2,0,6797,GL,IMP,13,9,5,5,8,4,BIND,
rst,omen,230,18,15,3,3,179.0,27,2,1,1,6797,IMP,GL,9,13,4,8,5,5,BIND,
txddy,cypher,208,16,18,4,-2,130.1,21,1,4,-3,6797,IMP,GL,9,13,4,8,5,5,BIND,
Biscoit1n,jett,189,13,19,3,-6,110.9,19,1,6,-5,6797,IMP,GL,9,13,4,8,5,5,BIND,
Evilkyk,sova,188,11,17,9,-6,129.9,22,1,2,-1,6797,IMP,GL,9,13,4,8,5,5,BIND,
tuyz,raze,144,11,16,3,-5,108.7,20,2,2,0,6797,IMP,GL,9,13,4,8,5,5,BIND,
Masu,omen,243,13,13,0,0,132.8,30,2,0,2,6526,RED,GL,3,13,2,2,1,11,ASCENT,
pepa,raze,147,8,15,3,-7,79.2,12,2,2,0,6526,RED,GL,3,13,2,2,1,11,ASCENT,
pollo,breach,116,6,15,4,-9,75.9,17,0,3,-3,6526,RED,GL,3,13,2,2,1,11,ASCENT,
FV,sova,76,4,15,3,-11,49.3,25,0,2,-2,6526,RED,GL,3,13,2,2,1,11,ASCENT,
prozin,cypher,37,1,15,5,-14,29.7,18,0,5,-5,6526,RED,GL,3,13,2,2,1,11,ASCENT,
mwzera,raze,364,22,6,5,16,238.3,19,3,1,2,6526,GL,RED,13,3,11,1,2,2,ASCENT,
Jonn,reyna,355,23,6,5,17,171.3,27,2,0,2,6526,GL,RED,13,3,11,1,2,2,ASCENT,
fznnn,sova,237,13,6,8,7,134.3,22,3,1,2,6526,GL,RED,13,3,11,1,2,2,ASCENT,
JhoW,cypher,231,11,8,8,3,151.6,18,3,0,3,6526,GL,RED,13,3,11,1,2,2,ASCENT,
Nyang,omen,65,4,6,3,-2,40.1,38,1,2,-1,6526,GL,RED,13,3,11,1,2,2,ASCENT,
Masu,omen,235,21,16,3,5,139.6,32,0,1,-1,6526,RED,GL,11,13,9,3,2,10,SPLIT,
FV,raze,220,18,21,5,-3,137.1,16,4,6,-2,6526,RED,GL,11,13,9,3,2,10,SPLIT,
prozin,cypher,191,15,19,7,-4,108.9,20,6,3,3,6526,RED,GL,11,13,9,3,2,10,SPLIT,
pollo,jett,169,15,14,2,1,110.5,28,2,2,0,6526,RED,GL,11,13,9,3,2,10,SPLIT,
pepa,breach,144,11,19,13,-8,104.3,21,0,0,0,6526,RED,GL,11,13,9,3,2,10,SPLIT,
mwzera,raze,294,24,18,7,6,171.2,21,2,4,-2,6526,GL,RED,13,11,10,2,3,9,SPLIT,
Jonn,jett,238,20,17,3,3,121.2,19,7,5,2,6526,GL,RED,13,11,10,2,3,9,SPLIT,
fznnn,cypher,194,17,14,6,3,104.2,24,2,2,0,6526,GL,RED,13,11,10,2,3,9,SPLIT,
Nyang,breach,186,15,14,14,1,111.4,18,1,0,1,6526,GL,RED,13,11,10,2,3,9,SPLIT,
JhoW,omen,177,13,17,12,-4,112.3,13,0,1,-1,6526,GL,RED,13,11,10,2,3,9,SPLIT,
Jonn,reyna,333,18,9,2,9,168.7,25,5,3,2,6052,GL,FKL,13,2,10,2,3,0,BIND,
mwzera,raze,327,18,8,6,10,204.9,16,2,2,0,6052,GL,FKL,13,2,10,2,3,0,BIND,
fznnn,sova,254,14,8,7,6,152.0,24,0,1,-1,6052,GL,FKL,13,2,10,2,3,0,BIND,
JhoW,cypher,227,15,7,4,8,132.7,25,1,0,1,6052,GL,FKL,13,2,10,2,3,0,BIND,
Nyang,omen,115,6,6,6,0,73.8,20,0,1,-1,6052,GL,FKL,13,2,10,2,3,0,BIND,
Quick,jett,274,12,15,4,-3,163.8,9,5,4,1,6052,FKL,GL,2,13,0,3,2,10,BIND,
Khalil,sova,179,7,15,7,-8,122.9,7,0,1,-1,6052,FKL,GL,2,13,0,3,2,10,BIND,
pava,killjoy,136,7,13,2,-6,80.2,6,0,1,-1,6052,FKL,GL,2,13,0,3,2,10,BIND,
bld,breach,130,8,14,3,-6,74.4,32,1,1,0,6052,FKL,GL,2,13,0,3,2,10,BIND,
mch,omen,88,4,14,2,-10,123.7,33,1,1,0,6052,FKL,GL,2,13,0,3,2,10,BIND,
mwzera,raze,312,19,11,4,8,171.7,11,4,1,3,6052,GL,FKL,13,5,5,1,8,4,SPLIT,
Jonn,jett,280,20,12,2,8,186.7,23,4,1,3,6052,GL,FKL,13,5,5,1,8,4,SPLIT,
JhoW,omen,267,19,8,3,11,161.7,25,2,0,2,6052,GL,FKL,13,5,5,1,8,4,SPLIT,
fznnn,cypher,210,13,9,2,4,101.7,19,2,2,0,6052,GL,FKL,13,5,5,1,8,4,SPLIT,
Nyang,breach,117,7,13,11,-6,82.4,20,0,2,-2,6052,GL,FKL,13,5,5,1,8,4,SPLIT,
bld,killjoy,212,13,15,3,-2,137.0,15,1,1,0,6052,FKL,GL,5,13,4,8,1,5,SPLIT,
