Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
mwzera,294,40,25,11,15,188.9,21,9,2,7,6797,GL,IMP,MATCH,2,1.12
Jonn,274,34,23,10,11,137.4,20,5,3,2,6797,GL,IMP,MATCH,2,1.12
JhoW,207,30,24,12,6,128.4,14,3,3,0,6797,GL,IMP,MATCH,2,1.12
fznnn,174,24,24,15,0,104.8,16,4,6,-2,6797,GL,IMP,MATCH,2,1.12
Nyang,160,22,22,11,0,100.1,24,1,2,-1,6797,GL,IMP,MATCH,2,1.12
txddy,220,31,31,4,0,130.2,26,1,5,-4,6797,IMP,GL,MATCH,2,1.12
Biscoit1n,194,23,34,6,-11,114.5,16,5,8,-3,6797,IMP,GL,MATCH,2,1.12
tuyz,190,22,28,5,-6,122.3,18,5,3,2,6797,IMP,GL,MATCH,2,1.12
rst,172,23,26,7,-3,132.9,24,2,2,0,6797,IMP,GL,MATCH,2,1.12
Evilkyk,159,18,31,14,-13,109.6,24,3,4,-1,6797,IMP,GL,MATCH,2,1.12
Masu,239,34,29,3,5,136.9,31,2,1,1,6526,RED,GL,MATCH,2,
FV,148,22,36,8,-14,102.0,17,4,8,-4,6526,RED,GL,MATCH,2,
pepa,146,19,34,16,-15,94.3,17,2,2,0,6526,RED,GL,MATCH,2,
pollo,143,21,29,6,-8,96.7,24,2,5,-3,6526,RED,GL,MATCH,2,
prozin,114,16,34,12,-18,77.2,20,6,8,-2,6526,RED,GL,MATCH,2,
mwzera,329,46,24,12,22,198.0,21,5,5,0,6526,GL,RED,MATCH,2,
Jonn,297,43,23,8,20,141.3,23,9,5,4,6526,GL,RED,MATCH,2,
fznnn,216,30,20,14,10,116.2,23,5,3,2,6526,GL,RED,MATCH,2,
JhoW,204,24,25,20,-1,128.0,15,3,1,2,6526,GL,RED,MATCH,2,
Nyang,126,19,20,17,-1,82.9,21,2,2,0,6526,GL,RED,MATCH,2,
mwzera,320,37,19,10,18,186.8,14,6,3,3,6052,GL,FKL,MATCH,2,1.12
Jonn,307,38,21,4,17,178.5,24,9,4,5,6052,GL,FKL,MATCH,2,1.12
JhoW,247,34,15,7,19,148.5,25,3,0,3,6052,GL,FKL,MATCH,2,1.12
fznnn,232,27,17,9,10,124.6,22,2,3,-1,6052,GL,FKL,MATCH,2,1.12
Nyang,116,13,19,17,-6,78.5,20,0,3,-3,6052,GL,FKL,MATCH,2,1.12
qck,233,24,30,6,-6,133.9,12,7,10,-3,6052,FKL,GL,MATCH,2,1.12
Khalil,184,19,30,11,-11,119.0,13,0,2,-2,6052,FKL,GL,MATCH,2,1.12
bld,171,21,29,6,-8,108.5,19,2,2,0,6052,FKL,GL,MATCH,2,1.12
pava,161,17,29,8,-12,100.3,10,1,3,-2,6052,FKL,GL,MATCH,2,1.12
mch,92,10,31,2,-21,87.4,30,3,3,0,6052,FKL,GL,MATCH,2,1.12
mwzera,222,27,28,3,-1,125.7,18,4,3,1,3214,GL,FF,MATCH,2,1.08
Jonn,173,20,31,8,-11,104.6,18,4,11,-7,3214,GL,FF,MATCH,2,1.08
fznnn,160,18,30,7,-12,111.1,21,0,3,-3,3214,GL,FF,MATCH,2,1.08
JhoW,126,14,33,8,-19,85.4,13,1,4,-3,3214,GL,FF,MATCH,2,1.08
Nyang,126,17,26,5,-9,83.9,31,3,5,-2,3214,GL,FF,MATCH,2,1.08
fzkk,326,39,23,10,16,176.9,9,10,3,7,3214,FF,GL,MATCH,2,1.08
delevingne,212,30,20,5,10,136.4,24,6,5,1,3214,FF,GL,MATCH,2,1.08
krain,203,27,19,15,8,141.1,17,4,1,3,3214,FF,GL,MATCH,2,1.08
v1xen,179,28,16,10,12,108.2,21,3,2,1,3214,FF,GL,MATCH,2,1.08
dragonite,171,24,18,9,6,122.9,28,3,1,2,3214,FF,GL,MATCH,2,1.08
frz,222,14,14,5,0,117.1,17,3,1,2,3144,B4,GL,MATCH,1,1.08
xand,186,14,16,0,-2,133.4,25,1,4,-3,3144,B4,GL,MATCH,1,1.08
akemy,154,11,16,0,-5,74.9,16,2,2,0,3144,B4,GL,MATCH,1,1.08
v1nny,146,10,17,7,-7,83.9,5,1,5,-4,3144,B4,GL,MATCH,1,1.08
pancada,145,10,14,7,-4,91.9,17,0,1,-1,3144,B4,GL,MATCH,1,1.08
Jonn,327,24,11,5,13,175.7,27,1,1,0,3144,GL,B4,MATCH,1,1.08
mwzera,286,20,14,4,6,157.8,19,10,2,8,3144,GL,B4,MATCH,1,1.08
fznnn,194,14,12,8,2,123.6,14,2,2,0,3144,GL,B4,MATCH,1,1.08
JhoW,165,11,11,9,0,112.0,14,0,0,0,3144,GL,B4,MATCH,1,1.08
Nyang,108,8,11,8,-3,62.2,12,0,2,-2,3144,GL,B4,MATCH,1,1.08
Tecnosh,282,19,15,2,4,186.1,20,3,2,1,3050,FAKE,GL,MATCH,1,1.08
NANZIN,194,11,14,4,-3,122.9,35,2,4,-2,3050,FAKE,GL,MATCH,1,1.08
patochovsk,161,11,14,4,-3,88.3,20,1,3,-2,3050,FAKE,GL,MATCH,1,1.08
GTFAFMX,159,13,13,4,0,97.0,20,0,2,-2,3050,FAKE,GL,MATCH,1,1.08
FLG1,127,8,16,6,-8,83.1,27,2,1,1,3050,FAKE,GL,MATCH,1,1.08
Jonn,301,21,13,4,8,184.2,39,5,1,4,3050,GL,FAKE,MATCH,1,1.08
JhoW,279,19,12,10,7,165.0,17,3,0,3,3050,GL,FAKE,MATCH,1,1.08
mwzera,223,16,13,4,3,139.3,9,2,3,-1,3050,GL,FAKE,MATCH,1,1.08
fznnn,135,9,11,6,-2,88.8,19,2,3,-1,3050,GL,FAKE,MATCH,1,1.08
Nyang,103,7,13,8,-6,64.9,11,0,1,-1,3050,GL,FAKE,MATCH,1,1.08
Jonn,260,35,27,7,8,147.3,34,4,4,0,2976,GL,QUEM,MATCH,2,1.08
mwzera,240,31,18,5,13,131.3,11,7,3,4,2976,GL,QUEM,MATCH,2,1.08
JhoW,203,24,20,13,4,120.0,15,3,2,1,2976,GL,QUEM,MATCH,2,1.08
Nyang,192,26,17,9,9,111.7,29,5,0,5,2976,GL,QUEM,MATCH,2,1.08
fznnn,142,16,22,16,-6,99.8,14,1,6,-5,2976,GL,QUEM,MATCH,2,1.08
And,243,29,26,6,3,160.8,19,0,3,-3,2976,QUEM,GL,MATCH,2,1.08
DonPablito,189,20,25,5,-5,119.9,14,5,3,2,2976,QUEM,GL,MATCH,2,1.08
LGAAAAA,171,20,25,9,-5,109.9,16,3,2,1,2976,QUEM,GL,MATCH,2,1.08
spacebound,160,18,28,5,-10,95.2,12,2,7,-5,2976,QUEM,GL,MATCH,2,1.08
