Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
Nyang,1,1,0,0.0,0,1,0.0,0.0,0.0,30,0,1,6797,GLB,IMP,SPLIT,
fznnn,3,0,0,0.0,0,1,0.0,0.0,0.0,31,0,0,6797,GLB,IMP,SPLIT,
JhoW,3,0,0,0.0,2,0,0.0,0.0,0.0,38,3,0,6797,GLB,IMP,SPLIT,
Jonn,6,1,1,0.0,0,1,0.0,0.0,0.0,115,0,0,6797,GLB,IMP,SPLIT,
mwzera,3,1,0,0.0,0,0,0.0,0.0,0.0,74,0,0,6797,GLB,IMP,SPLIT,
rst,0,0,0,0.0,0,0,0.0,0.0,0.0,35,3,0,6797,IMP,GLB,SPLIT,
Evilkyk,2,0,0,0.0,0,0,0.0,0.0,0.0,33,0,0,6797,IMP,GLB,SPLIT,
tuyz,3,1,0,0.0,0,0,0.0,0.0,0.0,68,0,0,6797,IMP,GLB,SPLIT,
Biscoit1n,2,0,0,0.0,0,0,0.0,0.0,0.0,54,0,0,6797,IMP,GLB,SPLIT,
txddy,1,2,0,0.0,0,0,0.0,0.0,0.0,53,0,0,6797,IMP,GLB,SPLIT,
Nyang,2,1,0,0.0,1,1,0.0,0.0,0.0,58,3,1,6797,GLB,IMP,BIND,
fznnn,5,0,0,0.0,0,0,0.0,0.0,0.0,44,1,0,6797,GLB,IMP,BIND,
JhoW,1,0,1,0.0,0,0,0.0,0.0,0.0,51,4,0,6797,GLB,IMP,BIND,
Jonn,3,0,0,0.0,0,0,0.0,0.0,0.0,31,0,2,6797,GLB,IMP,BIND,
mwzera,7,0,0,0.0,0,0,0.0,0.0,0.0,71,1,1,6797,GLB,IMP,BIND,
rst,3,1,1,0.0,2,0,0.0,0.0,0.0,72,6,2,6797,IMP,GLB,BIND,
Evilkyk,2,1,0,0.0,1,0,0.0,0.0,0.0,51,2,0,6797,IMP,GLB,BIND,
tuyz,2,0,0,0.0,0,0,0.0,0.0,0.0,55,0,0,6797,IMP,GLB,BIND,
Biscoit1n,1,0,1,0.0,0,0,0.0,0.0,0.0,46,0,0,6797,IMP,GLB,BIND,
txddy,0,3,0,0.0,0,0,0.0,0.0,0.0,48,0,0,6797,IMP,GLB,BIND,
pepa,2,0,0,0,0.0,0,0.0,0.0,0.0,32,0,0,6526,RED,GLB,ASCENT,
prozin,0,0,0,0,0.0,0,0.0,0.0,0.0,12,0,0,6526,RED,GLB,ASCENT,
Masu,1,1,0,0,0.0,1,0.0,0.0,0.0,51,0,0,6526,RED,GLB,ASCENT,
pollo,0,0,1,0,0.0,0,0.0,0.0,0.0,31,1,1,6526,RED,GLB,ASCENT,
FV,0,0,0,0,0.0,0,0.0,0.0,0.0,20,0,0,6526,RED,GLB,ASCENT,
Nyang,1,0,0,0,0.0,0,0.0,0.0,0.0,24,2,0,6526,GLB,RED,ASCENT,
fznnn,1,2,0,0,0.0,0,0.0,0.0,0.0,85,0,0,6526,GLB,RED,ASCENT,
JhoW,0,1,0,1,0.0,0,0.0,0.0,0.0,71,1,0,6526,GLB,RED,ASCENT,
Jonn,4,1,2,0,0.0,0,0.0,0.0,0.0,105,0,0,6526,GLB,RED,ASCENT,
mwzera,1,3,1,0,0.0,0,0.0,0.0,0.0,131,0,1,6526,GLB,RED,ASCENT,
pepa,2,0,0,0.0,0,0.0,0,0.0,0.0,35,2,0,6526,RED,GLB,SPLIT,
prozin,3,0,0,0.0,0,0.0,0,0.0,0.0,41,1,0,6526,RED,GLB,SPLIT,
Masu,5,1,1,0.0,0,0.0,0,0.0,0.0,55,0,0,6526,RED,GLB,SPLIT,
pollo,2,2,0,0.0,0,0.0,0,0.0,0.0,52,0,1,6526,RED,GLB,SPLIT,
FV,2,1,0,0.0,0,0.0,0,0.0,0.0,49,2,0,6526,RED,GLB,SPLIT,
Nyang,3,1,0,0.0,0,0.0,1,0.0,0.0,44,2,1,6526,GLB,RED,SPLIT,
fznnn,4,0,1,0.0,0,0.0,0,0.0,0.0,45,0,0,6526,GLB,RED,SPLIT,
JhoW,1,1,0,0.0,0,0.0,0,0.0,0.0,50,1,1,6526,GLB,RED,SPLIT,
Jonn,4,3,0,0.0,1,0.0,0,0.0,0.0,50,0,0,6526,GLB,RED,SPLIT,
mwzera,1,3,1,0.0,0,0.0,0,0.0,0.0,59,1,2,6526,GLB,RED,SPLIT,
Nyang,0,0,0.0,0.0,1,0,0.0,0.0,0.0,39,2,1,6052,GLB,FKL,BIND,
fznnn,4,1,0.0,0.0,0,1,0.0,0.0,0.0,84,0,0,6052,GLB,FKL,BIND,
JhoW,4,1,0.0,0.0,1,0,0.0,0.0,0.0,49,1,0,6052,GLB,FKL,BIND,
Jonn,5,1,0.0,0.0,0,0,0.0,0.0,0.0,72,0,0,6052,GLB,FKL,BIND,
mwzera,4,2,0.0,0.0,0,0,0.0,0.0,0.0,83,0,0,6052,GLB,FKL,BIND,
mch,0,1,0.0,0.0,0,0,0.0,0.0,0.0,51,0,0,6052,FKL,GLB,BIND,
pava,0,0,0.0,0.0,0,0,0.0,0.0,0.0,36,2,0,6052,FKL,GLB,BIND,
bld,2,0,0.0,0.0,0,0,0.0,0.0,0.0,31,1,0,6052,FKL,GLB,BIND,
Quick,2,1,0.0,0.0,0,0,0.0,0.0,0.0,61,0,0,6052,FKL,GLB,BIND,
Khalil,1,0,0.0,0.0,0,0,0.0,0.0,0.0,51,0,0,6052,FKL,GLB,BIND,
Nyang,1,0,0,0,0,0,0.0,0.0,0.0,29,2,0,6052,GLB,FKL,SPLIT,
fznnn,4,0,1,0,0,0,0.0,0.0,0.0,42,0,0,6052,GLB,FKL,SPLIT,
JhoW,4,0,2,0,1,1,0.0,0.0,0.0,103,10,0,6052,GLB,FKL,SPLIT,
Jonn,2,1,0,1,0,0,0.0,0.0,0.0,71,0,0,6052,GLB,FKL,SPLIT,
mwzera,3,2,0,0,0,0,0.0,0.0,0.0,56,0,0,6052,GLB,FKL,SPLIT,
mch,0,0,0,0,0,0,0.0,0.0,0.0,22,0,0,6052,FKL,GLB,SPLIT,
pava,3,0,0,0,0,0,0.0,0.0,0.0,48,1,0,6052,FKL,GLB,SPLIT,
bld,2,1,0,0,0,0,0.0,0.0,0.0,57,0,1,6052,FKL,GLB,SPLIT,
Quick,1,1,1,0,1,0,0.0,0.0,0.0,42,0,2,6052,FKL,GLB,SPLIT,
Khalil,2,1,0,0,1,0,0.0,0.0,0.0,48,0,1,6052,FKL,GLB,SPLIT,
Nyang,1,0,0,0.0,0,0.0,0.0,0.0,0.0,53,0,0,3214,GLB,FF,BIND,
fznnn,1,1,0,0.0,0,0.0,0.0,0.0,0.0,53,0,0,3214,GLB,FF,BIND,
JhoW,3,0,0,0.0,0,0.0,0.0,0.0,0.0,32,4,0,3214,GLB,FF,BIND,
Jonn,1,0,0,0.0,0,0.0,0.0,0.0,0.0,26,0,0,3214,GLB,FF,BIND,
mwzera,3,1,0,0.0,0,0.0,0.0,0.0,0.0,75,1,1,3214,GLB,FF,BIND,
v1xen,3,1,0,0.0,0,0.0,0.0,0.0,0.0,63,6,0,3214,FF,GLB,BIND,
delevingne,3,0,1,0.0,0,0.0,0.0,0.0,0.0,77,0,1,3214,FF,GLB,BIND,
krain,2,2,0,0.0,1,0.0,0.0,0.0,0.0,59,0,1,3214,FF,GLB,BIND,
fzkk,0,1,0,0.0,0,0.0,0.0,0.0,0.0,39,0,0,3214,FF,GLB,BIND,
dragonite,3,0,0,0.0,0,0.0,0.0,0.0,0.0,58,0,0,3214,FF,GLB,BIND,
Nyang,1,0,0,0.0,1,0.0,0.0,0.0,0.0,32,2,1,3214,GLB,FF,ASCENT,
fznnn,0,1,0,0.0,0,0.0,0.0,0.0,0.0,45,1,1,3214,GLB,FF,ASCENT,
JhoW,1,0,0,0.0,0,0.0,0.0,0.0,0.0,31,0,0,3214,GLB,FF,ASCENT,
Jonn,1,1,1,0.0,0,0.0,0.0,0.0,0.0,55,0,0,3214,GLB,FF,ASCENT,
mwzera,3,1,0,0.0,0,0.0,0.0,0.0,0.0,39,0,1,3214,GLB,FF,ASCENT,
v1xen,3,0,0,0.0,0,0.0,0.0,0.0,0.0,45,8,0,3214,FF,GLB,ASCENT,
delevingne,4,0,0,0.0,0,0.0,0.0,0.0,0.0,64,0,0,3214,FF,GLB,ASCENT,
krain,3,0,0,0.0,0,0.0,0.0,0.0,0.0,53,1,0,3214,FF,GLB,ASCENT,
fzkk,4,2,2,0.0,1,0.0,0.0,0.0,0.0,114,1,3,3214,FF,GLB,ASCENT,
dragonite,1,0,0,0.0,0,0.0,0.0,0.0,0.0,45,0,0,3214,FF,GLB,ASCENT,
akemy,3,0,0,0.0,1,0.0,0.0,0.0,0.0,27,3,0,3144,B4,GLB,ASCENT,
frz,2,0,1,0.0,0,0.0,0.0,0.0,0.0,52,0,0,3144,B4,GLB,ASCENT,
xand,3,0,0,0.0,0,0.0,0.0,0.0,0.0,52,1,0,3144,B4,GLB,ASCENT,
pancada,2,0,0,0.0,0,0.0,0.0,0.0,0.0,39,2,0,3144,B4,GLB,ASCENT,
v1nny,4,0,0,0.0,0,0.0,0.0,0.0,0.0,30,1,0,3144,B4,GLB,ASCENT,
Nyang,1,0,0,0.0,0,0.0,0.0,0.0,0.0,32,3,0,3144,GLB,B4,ASCENT,
fznnn,1,2,0,0.0,0,0.0,0.0,0.0,0.0,50,1,1,3144,GLB,B4,ASCENT,
JhoW,0,0,0,0.0,0,0.0,0.0,0.0,0.0,46,0,0,3144,GLB,B4,ASCENT,
Jonn,3,1,2,0.0,1,0.0,0.0,0.0,0.0,85,0,0,3144,GLB,B4,ASCENT,
mwzera,2,2,0,0.0,0,0.0,0.0,0.0,0.0,78,0,1,3144,GLB,B4,ASCENT,
Tecnosh,3,2,0,0.0,0,0.0,0.0,0.0,0.0,72,3,1,3050,FAKE,GLB,ASCENT,
NANZIN,2,1,0,0.0,0,0.0,0.0,0.0,0.0,50,1,0,3050,FAKE,GLB,ASCENT,
GTFAFMX,5,0,0,0.0,0,0.0,0.0,0.0,0.0,40,0,0,3050,FAKE,GLB,ASCENT,
patochovsk,0,1,0,0.0,0,0.0,0.0,0.0,0.0,33,1,0,3050,FAKE,GLB,ASCENT,
FLG1,2,0,0,0.0,0,0.0,0.0,0.0,0.0,30,1,0,3050,FAKE,GLB,ASCENT,
Nyang,0,0,0,0.0,0,0.0,0.0,0.0,0.0,30,4,0,3050,GLB,FAKE,ASCENT,
fznnn,2,0,0,0.0,0,0.0,0.0,0.0,0.0,48,2,0,3050,GLB,FAKE,ASCENT,
JhoW,3,3,0,0.0,2,0.0,0.0,0.0,0.0,67,2,1,3050,GLB,FAKE,ASCENT,
Jonn,4,1,2,0.0,1,0.0,0.0,0.0,0.0,72,0,2,3050,GLB,FAKE,ASCENT,
mwzera,3,1,0,0.0,0,0.0,0.0,0.0,0.0,55,0,1,3050,GLB,FAKE,ASCENT,
Nyang,4,0,0.0,0.0,1,0,0.0,0.0,0.0,44,1,1,2976,GLB,QUEM,BIND,
fznnn,1,1,0.0,0.0,0,0,0.0,0.0,0.0,41,0,1,2976,GLB,QUEM,BIND,
JhoW,0,2,0.0,0.0,0,0,0.0,0.0,0.0,72,2,1,2976,GLB,QUEM,BIND,
Jonn,1,2,0.0,0.0,0,0,0.0,0.0,0.0,51,0,0,2976,GLB,QUEM,BIND,
mwzera,3,1,0.0,0.0,0,1,0.0,0.0,0.0,56,0,1,2976,GLB,QUEM,BIND,
luq1w,1,0,0.0,0.0,0,0,0.0,0.0,0.0,23,3,0,2976,QUEM,GLB,BIND,
LGAAAAA,0,1,0.0,0.0,0,0,0.0,0.0,0.0,70,3,0,2976,QUEM,GLB,BIND,
spacebound,3,0,0.0,0.0,0,0,0.0,0.0,0.0,30,0,0,2976,QUEM,GLB,BIND,
And,1,1,0.0,0.0,0,0,0.0,0.0,0.0,44,0,0,2976,QUEM,GLB,BIND,
DonPablito,1,2,0.0,0.0,0,0,0.0,0.0,0.0,58,1,0,2976,QUEM,GLB,BIND,
Nyang,2,1,0,0.0,0.0,1,0,0.0,0.0,56,2,3,2976,GLB,QUEM,ASCENT,
fznnn,1,1,0,0.0,0.0,0,0,0.0,0.0,39,1,0,2976,GLB,QUEM,ASCENT,
JhoW,2,0,0,0.0,0.0,0,1,0.0,0.0,31,3,0,2976,GLB,QUEM,ASCENT,
Jonn,4,0,1,0.0,0.0,0,0,0.0,0.0,48,1,0,2976,GLB,QUEM,ASCENT,
mwzera,6,0,0,0.0,0.0,0,0,0.0,0.0,64,0,1,2976,GLB,QUEM,ASCENT,
luq1w,2,2,0,0.0,0.0,0,0,0.0,0.0,45,1,0,2976,QUEM,GLB,ASCENT,
LGAAAAA,2,0,0,0.0,0.0,0,0,0.0,0.0,46,2,0,2976,QUEM,GLB,ASCENT,
