Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
Nyang,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,44.0,3.0,2.0,6797,GL,IMP,1.12,MATCH,2
fznnn,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,1.0,0.0,6797,GL,IMP,1.12,MATCH,2
JhoW,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,45.0,7.0,0.0,6797,GL,IMP,1.12,MATCH,2
Jonn,9.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,0.0,2.0,6797,GL,IMP,1.12,MATCH,2
mwzera,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.0,1.0,6797,GL,IMP,1.12,MATCH,2
rst,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,54.0,9.0,2.0,6797,IMP,GL,1.12,MATCH,2
Evilkyk,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,6797,IMP,GL,1.12,MATCH,2
tuyz,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,6797,IMP,GL,1.12,MATCH,2
Biscoit1n,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,6797,IMP,GL,1.12,MATCH,2
txddy,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,6797,IMP,GL,1.12,MATCH,2
Sacy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6526,RED,GL,,MATCH,2
pepa,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,6526,RED,GL,,MATCH,2
prozin,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,6526,RED,GL,,MATCH,2
Masu,6.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,0.0,0.0,6526,RED,GL,,MATCH,2
pollo,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,2.0,6526,RED,GL,,MATCH,2
FV,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,0.0,6526,RED,RED,,MATCH,2
Nyang,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,4.0,1.0,6526,GL,RED,,MATCH,2
fznnn,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,6526,GL,RED,,MATCH,2
JhoW,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,2.0,1.0,6526,GL,RED,,MATCH,2
Jonn,8.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,6526,GL,RED,,MATCH,2
mwzera,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,3.0,6526,GL,,,MATCH,2
Nyang,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,4.0,1.0,6052,GL,FKL,1.12,MATCH,2
fznnn,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,0.0,0.0,6052,GL,FKL,1.12,MATCH,2
JhoW,8.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,76.0,11.0,0.0,6052,GL,FKL,1.12,MATCH,2
Jonn,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,6052,GL,FKL,1.12,MATCH,2
mwzera,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,6052,GL,FKL,1.12,MATCH,2
mch,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,6052,FKL,GL,1.12,MATCH,2
pava,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,3.0,0.0,6052,FKL,GL,1.12,MATCH,2
bld,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,1.0,6052,FKL,GL,1.12,MATCH,2
Quick,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,0.0,2.0,6052,FKL,GL,1.12,MATCH,2
Khalil,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,6052,FKL,GL,1.12,MATCH,2
Nyang,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,2.0,1.0,3214,GL,FF,1.08,MATCH,2
fznnn,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,1.0,3214,GL,FF,1.08,MATCH,2
JhoW,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,3214,GL,FF,1.08,MATCH,2
Jonn,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,3214,GL,FF,1.08,MATCH,2
mwzera,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,2.0,3214,GL,FF,1.08,MATCH,2
v1xen,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,14.0,0.0,3214,FF,GL,1.08,MATCH,2
delevingne,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,1.0,3214,FF,GL,1.08,MATCH,2
krain,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,56.0,1.0,1.0,3214,FF,GL,1.08,MATCH,2
fzkk,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,77.0,1.0,3.0,3214,FF,GL,1.08,MATCH,2
dragonite,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,3214,FF,GL,1.08,MATCH,2
akemy,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,3.0,0.0,3144,B4,GL,1.08,MATCH,1
frz,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,3144,B4,GL,1.08,MATCH,1
xand,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,0.0,3144,B4,GL,1.08,MATCH,1
pancada,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,0.0,3144,B4,GL,1.08,MATCH,1
v1nny,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,3144,B4,GL,1.08,MATCH,1
Nyang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,0.0,3144,GL,B4,1.08,MATCH,1
fznnn,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,1.0,3144,GL,B4,1.08,MATCH,1
JhoW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,3144,GL,B4,1.08,MATCH,1
Jonn,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,3144,GL,B4,1.08,MATCH,1
mwzera,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,1.0,3144,GL,B4,1.08,MATCH,1
Tecnosh,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,3.0,1.0,3050,FAKE,GL,1.08,MATCH,1
