Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
DLWZK,3,6,50.0,9,4,44.0,5,0,0.0,25,10,40.0,23,12,52.0,HL,3.0,1.12,5279,MATCH
HL,3,6,50.0,9,3,33.0,4,0,0.0,10,4,40.0,39,29,74.0,DLWZK,3.0,1.12,5279,MATCH
HL,4,4,100.0,5,4,80.0,0,0,,8,6,75.0,22,16,73.0,DKS esports,2.0,1.12,5264,MATCH
DKS esports,0,4,0.0,6,0,0.0,4,0,0.0,10,3,30.0,15,6,40.0,HL,2.0,1.12,5264,MATCH
HL,0,4,0.0,7,0,0.0,1,0,0.0,8,3,38.0,24,11,46.0,paiN,2.0,1.12,6686,MATCH
paiN,4,4,100.0,5,4,80.0,4,0,0.0,9,6,67.0,22,16,73.0,HL,2.0,1.12,6686,MATCH
VK,2,4,50.0,6,2,33.0,3,0,0.0,10,6,60.0,27,19,70.0,HL,2.0,1.1,4944,MATCH
HL,2,4,50.0,6,2,33.0,6,1,17.0,6,3,50.0,28,13,46.0,VK,2.0,1.1,4944,MATCH
HL,1,2,50.0,4,1,25.0,1,0,0.0,2,0,0.0,15,12,80.0,tiobaṛo,1.0,1.11,4908,MATCH
tiobaṛo,1,2,50.0,2,1,50.0,1,0,0.0,7,4,57.0,12,4,33.0,HL,1.0,1.11,4908,MATCH
eRa Eternity,1,2,50.0,4,1,25.0,1,0,0.0,3,1,33.0,11,4,36.0,HL,1.0,1.1,4902,MATCH
HL,1,2,50.0,3,1,33.0,2,1,50.0,1,1,100.0,13,10,77.0,eRa Eternity,1.0,1.1,4902,MATCH
HL,2,2,100.0,2,2,100.0,1,1,100.0,4,2,50.0,10,8,80.0,Furnace e-sports,1.0,1.1,4901,MATCH
Furnace e-sports,0,2,0.0,4,0,0.0,1,0,0.0,4,0,0.0,8,4,50.0,HL,1.0,1.1,4901,MATCH
A-force,1,2,50.0,3,1,33.0,1,0,0.0,4,0,0.0,6,0,0.0,HL,1.0,1.1,4898,MATCH
HL,1,2,50.0,2,1,50.0,0,0,,2,2,100.0,10,10,100.0,A-force,1.0,1.1,4898,MATCH
HL,0,2,0.0,4,1,25.0,0,0,,4,3,75.0,12,3,25.0,eRa Eternity,1.0,1.1,4437,MATCH
eRa Eternity,2,2,100.0,3,2,67.0,1,0,0.0,5,3,60.0,11,8,73.0,HL,1.0,1.1,4437,MATCH
Furnace e-sports,1,2,50.0,3,1,33.0,3,0,0.0,5,2,40.0,5,0,0.0,HL,1.0,1.1,4436,MATCH
HL,1,2,50.0,3,1,33.0,0,0,,4,3,75.0,9,9,100.0,Furnace e-sports,1.0,1.1,4436,MATCH
HL,1,2,50.0,3,2,67.0,0,0,,2,2,100.0,9,9,100.0,A-force,1.0,1.1,4433,MATCH
A-force,1,2,50.0,4,1,25.0,2,0,0.0,3,0,0.0,5,0,0.0,HL,1.0,1.1,4433,MATCH
FF,2,2,100.0,2,2,100.0,0,0,,2,2,100.0,10,9,90.0,HL,1.0,1.08,3063,MATCH
HL,0,2,0.0,3,0,0.0,4,0,0.0,2,0,0.0,5,1,20.0,FF,1.0,1.08,3063,MATCH
VKS,0,2,0.0,4,0,0.0,1,0,0.0,3,2,67.0,14,7,50.0,HL,1.0,1.08,3059,MATCH
HL,2,2,100.0,2,2,100.0,1,0,0.0,4,3,75.0,15,8,53.0,VKS,1.0,1.08,3059,MATCH
HL,1,2,50.0,4,1,25.0,1,1,100.0,3,1,33.0,15,10,67.0,Comedores de Cuscuz,1.0,1.08,3055,MATCH
Comedores de Cuscuz,1,2,50.0,3,1,33.0,1,0,0.0,3,2,67.0,16,7,44.0,HL,1.0,1.08,3055,MATCH
VK,3,4,75.0,4,3,75.0,4,1,25.0,9,4,44.0,43,20,47.0,HL,2.0,1.12,6631,MATCH
HL,1,4,25.0,7,1,14.0,4,0,0.0,5,3,60.0,44,28,64.0,VK,2.0,1.12,6631,MATCH
HL,3,4,75.0,5,3,60.0,1,0,0.0,7,5,71.0,25,18,72.0,tiobaṛo,2.0,1.12,6629,MATCH
tiobaṛo,1,4,25.0,7,1,14.0,5,0,0.0,7,2,29.0,19,9,47.0,HL,2.0,1.12,6629,MATCH
HL,3,4,75.0,18,12,67.0,1,0,0.0,3,1,33.0,16,13,81.0,VKS,2.0,1.12,6002,MATCH
VKS,1,4,25.0,18,6,33.0,3,1,33.0,10,2,20.0,7,3,43.0,HL,2.0,1.12,6002,MATCH
oNe,1,2,50.0,2,1,50.0,3,1,33.0,5,3,60.0,14,8,57.0,HL,1.0,1.12,5997,MATCH
HL,1,2,50.0,3,1,33.0,2,0,0.0,4,2,50.0,15,8,53.0,oNe,1.0,1.12,5997,MATCH
HL,1,2,50.0,3,1,33.0,3,1,33.0,4,3,75.0,18,10,56.0,VKS,1.0,1.12,5996,MATCH
VKS,1,2,50.0,2,1,50.0,3,1,33.0,3,1,33.0,20,10,50.0,HL,1.0,1.12,5996,MATCH
VKS,2,2,100.0,2,2,100.0,0,0,,6,5,83.0,20,6,30.0,HL,1.0,1.07,2705,MATCH
HL,0,2,0.0,4,0,0.0,1,0,0.0,2,0,0.0,21,15,71.0,VKS,1.0,1.07,2705,MATCH
Onfire Team,2,2,100.0,3,2,67.0,2,0,0.0,3,2,67.0,12,9,75.0,HL,1.0,1.07,2715,MATCH
HL,0,2,0.0,4,1,25.0,0,0,,1,1,100.0,15,5,33.0,Onfire Team,1.0,1.07,2715,MATCH
HL,0,2,0.0,4,0,0.0,2,0,0.0,1,0,0.0,13,7,54.0,Zoologicamente,1.0,1.07,2739,MATCH
Zoologicamente,2,2,100.0,2,2,100.0,1,0,0.0,6,5,83.0,11,6,55.0,HL,1.0,1.07,2739,MATCH
N2B,4,6,67.0,8,5,62.0,2,1,50.0,17,6,35.0,38,19,50.0,HL,3.0,1.06,2747,MATCH
HL,2,6,33.0,13,2,15.0,2,0,0.0,6,4,67.0,44,28,64.0,N2B,3.0,1.06,2747,MATCH
FF,2,2,100.0,3,2,67.0,0,0,,4,3,75.0,13,8,62.0,HL,1.0,1.07,2443,MATCH
HL,0,2,0.0,4,0,0.0,0,0,,2,0,0.0,14,7,50.0,FF,1.0,1.07,2443,MATCH
tiobaṛo,0,2,0.0,4,1,25.0,1,0,0.0,2,0,0.0,16,9,56.0,HL,1.0,1.07,2453,MATCH
