Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
DmL,cypher,251,23,18,3,5,147.8,23,6,0,6,5279,DLWZK,HL,13,10,11,1,2,9,ASCENT,
pavel,raze,218,16,15,7,1,128.9,14,1,1,0,5279,DLWZK,HL,13,10,11,1,2,9,ASCENT,
zam,omen,208,16,16,9,0,147.7,17,2,3,-1,5279,DLWZK,HL,13,10,11,1,2,9,ASCENT,
BRNWOWZK1,jett,195,17,14,5,3,125.7,16,3,3,0,5279,DLWZK,HL,13,10,11,1,2,9,ASCENT,
fluyr,sova,182,14,16,10,-2,117.1,13,3,1,2,5279,DLWZK,HL,13,10,11,1,2,9,ASCENT,
shion,sova,324,27,15,12,12,179.0,25,2,1,1,5279,HL,DLWZK,10,13,9,2,1,11,ASCENT,
bNhardneja,jett,216,16,17,3,-1,130.5,14,4,2,2,5279,HL,DLWZK,10,13,9,2,1,11,ASCENT,
pMdr1,reyna,194,15,18,5,-3,134.0,31,0,7,-7,5279,HL,DLWZK,10,13,9,2,1,11,ASCENT,
Myssen,cypher,144,12,17,6,-5,98.0,26,1,4,-3,5279,HL,DLWZK,10,13,9,2,1,11,ASCENT,
pleets,omen,125,9,19,8,-10,80.6,13,1,1,0,5279,HL,DLWZK,10,13,9,2,1,11,ASCENT,
pavel,raze,265,19,18,5,1,146.8,15,2,3,-1,5279,DLWZK,HL,8,13,3,6,5,7,SPLIT,
BRNWOWZK1,jett,204,16,15,2,1,125.1,17,1,4,-3,5279,DLWZK,HL,8,13,3,6,5,7,SPLIT,
zam,omen,165,11,16,4,-5,100.4,13,2,2,0,5279,DLWZK,HL,8,13,3,6,5,7,SPLIT,
fluyr,breach,148,10,17,5,-7,107.7,25,1,3,-2,5279,DLWZK,HL,8,13,3,6,5,7,SPLIT,
DmL,cypher,121,8,17,4,-9,74.7,8,1,2,-1,5279,DLWZK,HL,8,13,3,6,5,7,SPLIT,
shion,raze,281,21,11,4,10,232.5,19,4,0,4,5279,HL,DLWZK,13,8,7,5,6,3,SPLIT,
bNhardneja,jett,239,18,15,3,3,146.8,15,4,3,1,5279,HL,DLWZK,13,8,7,5,6,3,SPLIT,
Myssen,breach,234,19,11,8,8,128.0,38,2,2,0,5279,HL,DLWZK,13,8,7,5,6,3,SPLIT,
pleets,cypher,186,12,15,7,-3,108.9,19,3,2,1,5279,HL,DLWZK,13,8,7,5,6,3,SPLIT,
pMdr1,omen,175,13,12,4,1,110.0,33,1,0,1,5279,HL,DLWZK,13,8,7,5,6,3,SPLIT,
BRNWOWZK1,jett,348,23,15,1,8,192.5,24,3,1,2,5279,DLWZK,HL,5,13,5,1,0,12,HAVEN,
DmL,cypher,136,9,15,4,-6,74.2,27,0,3,-3,5279,DLWZK,HL,5,13,5,1,0,12,HAVEN,
pavel,raze,120,6,17,3,-11,88.4,8,2,5,-3,5279,DLWZK,HL,5,13,5,1,0,12,HAVEN,
zam,omen,94,4,16,4,-12,59.3,6,1,0,1,5279,DLWZK,HL,5,13,5,1,0,12,HAVEN,
fluyr,sova,89,3,18,5,-15,69.8,16,0,3,-3,5279,DLWZK,HL,5,13,5,1,0,12,HAVEN,
pMdr1,reyna,407,26,8,4,18,215.3,34,6,1,5,5279,HL,DLWZK,13,5,12,0,1,5,HAVEN,
shion,sova,293,20,6,9,14,176.1,28,2,0,2,5279,HL,DLWZK,13,5,12,0,1,5,HAVEN,
pleets,omen,256,17,8,3,9,147.4,11,2,1,1,5279,HL,DLWZK,13,5,12,0,1,5,HAVEN,
Myssen,cypher,199,16,12,2,4,138.4,61,1,2,-1,5279,HL,DLWZK,13,5,12,0,1,5,HAVEN,
bNhardneja,jett,63,1,11,7,-10,45.4,0,1,2,-1,5279,HL,DLWZK,13,5,12,0,1,5,HAVEN,
pMdr1,reyna,351,21,8,1,13,251.6,20,4,1,3,5264,HL,DKS,13,2,10,2,3,0,ASCENT,
shion,sova,285,17,4,8,13,166.5,21,1,0,1,5264,HL,DKS,13,2,10,2,3,0,ASCENT,
pleets,omen,249,15,6,9,9,148.1,18,1,2,-1,5264,HL,DKS,13,2,10,2,3,0,ASCENT,
bNhardneja,jett,233,11,8,6,3,148.7,13,1,1,0,5264,HL,DKS,13,2,10,2,3,0,ASCENT,
Myssen,cypher,153,6,8,7,-2,83.5,35,2,2,0,5264,HL,DKS,13,2,10,2,3,0,ASCENT,
Lupi,omen,248,12,14,2,-2,163.7,31,2,5,-3,5264,DKS,HL,2,13,0,3,2,10,ASCENT,
shawk,breach,211,10,13,5,-3,113.7,15,2,2,0,5264,DKS,HL,2,13,0,3,2,10,ASCENT,
mat,killjoy,143,7,14,4,-7,102.6,16,0,2,-2,5264,DKS,HL,2,13,0,3,2,10,ASCENT,
taek,jett,103,4,15,2,-11,62.5,8,2,0,2,5264,DKS,HL,2,13,0,3,2,10,ASCENT,
gTTO,sova,75,1,14,6,-13,53.1,17,0,0,0,5264,DKS,HL,2,13,0,3,2,10,ASCENT,
shion,raze,325,24,13,3,11,246.6,24,2,2,0,5264,HL,DKS,13,7,8,4,5,3,SPLIT,
pMdr1,omen,273,20,9,5,11,211.2,41,2,1,1,5264,HL,DKS,13,7,8,4,5,3,SPLIT,
pleets,cypher,272,21,12,6,9,128.8,20,7,2,5,5264,HL,DKS,13,7,8,4,5,3,SPLIT,
Myssen,breach,159,11,12,13,-1,105.8,13,0,0,0,5264,HL,DKS,13,7,8,4,5,3,SPLIT,
bNhardneja,jett,152,10,11,8,-1,99.6,18,3,1,2,5264,HL,DKS,13,7,8,4,5,3,SPLIT,
Lupi,omen,237,16,17,5,-1,143.0,28,3,3,0,5264,DKS,HL,7,13,3,5,4,8,SPLIT,
gTTO,raze,173,11,16,2,-5,111.0,26,0,2,-2,5264,DKS,HL,7,13,3,5,4,8,SPLIT,
taek,jett,167,12,17,4,-5,92.4,18,1,3,-2,5264,DKS,HL,7,13,3,5,4,8,SPLIT,
mat,killjoy,145,8,19,7,-11,83.2,9,1,2,-1,5264,DKS,HL,7,13,3,5,4,8,SPLIT,
shawk,breach,137,10,17,4,-7,150.7,22,1,4,-3,5264,DKS,HL,7,13,3,5,4,8,SPLIT,
pleets,omen,248,13,16,5,-3,133.4,9,2,3,-1,6686,HL,paiN,3,13,1,11,2,2,ASCENT,
pMdr1,reyna,229,13,13,1,0,133.6,26,3,2,1,6686,HL,paiN,3,13,1,11,2,2,ASCENT,
shion,sova,148,6,15,6,-9,91.3,16,0,0,0,6686,HL,paiN,3,13,1,11,2,2,ASCENT,
bNhardneja,jett,143,8,14,0,-6,80.9,21,1,4,-3,6686,HL,paiN,3,13,1,11,2,2,ASCENT,
Myssen,cypher,106,6,11,0,-5,59.1,25,0,1,-1,6686,HL,paiN,3,13,1,11,2,2,ASCENT,
kon4n,sage,324,20,8,10,12,193.6,35,1,0,1,6686,paiN,HL,13,3,2,2,11,1,ASCENT,
Txozin,omen,285,16,10,6,6,156.3,18,3,1,2,6686,paiN,HL,13,3,2,2,11,1,ASCENT,
Veroneze,jett,236,13,7,3,6,142.6,48,3,0,3,6686,paiN,HL,13,3,2,2,11,1,ASCENT,
murizzz,sova,195,12,10,5,2,115.8,16,1,3,-2,6686,paiN,HL,13,3,2,2,11,1,ASCENT,
matheuzin,cypher,144,8,11,3,-3,90.1,25,2,2,0,6686,paiN,HL,13,3,2,2,11,1,ASCENT,
bNhardneja,raze,284,23,15,11,8,202.5,21,1,2,-1,6686,HL,paiN,11,13,8,4,3,9,BIND,
shion,sova,249,18,14,11,4,147.5,34,3,1,2,6686,HL,paiN,11,13,8,4,3,9,BIND,
pMdr1,reyna,241,21,20,4,1,151.7,27,5,4,1,6686,HL,paiN,11,13,8,4,3,9,BIND,
Myssen,cypher,184,19,15,1,4,113.7,52,0,2,-2,6686,HL,paiN,11,13,8,4,3,9,BIND,
pleets,omen,139,11,18,6,-7,88.6,16,2,4,-2,6686,HL,paiN,11,13,8,4,3,9,BIND,
murizzz,sova,236,21,17,10,4,144.0,20,1,2,-1,6686,paiN,HL,13,11,9,3,4,8,BIND,
kon4n,phoenix,233,18,20,9,-2,159.9,27,5,3,2,6686,paiN,HL,13,11,9,3,4,8,BIND,
Veroneze,raze,218,18,17,7,1,140.5,22,5,2,3,6686,paiN,HL,13,11,9,3,4,8,BIND,
Txozin,omen,180,15,20,5,-5,84.3,23,0,1,-1,6686,paiN,HL,13,11,9,3,4,8,BIND,
matheuzin,cypher,108,10,18,2,-8,77.4,32,2,3,-1,6686,paiN,HL,13,11,9,3,4,8,BIND,
NikkoLAN,jett,262,24,20,5,4,158.2,21,4,5,-1,4944,VK,HL,14,12,5,7,7,5,BIND,
patochovsk,raze,251,21,19,5,2,162.0,17,5,2,3,4944,VK,HL,14,12,5,7,7,5,BIND,
flainzz,cypher,207,20,16,7,4,117.7,21,2,3,-1,4944,VK,HL,14,12,5,7,7,5,BIND,
FLG1,omen,183,17,15,8,2,129.8,19,2,1,1,4944,VK,HL,14,12,5,7,7,5,BIND,
NANZIN,sova,142,13,19,6,-6,96.3,54,1,1,0,4944,VK,HL,14,12,5,7,7,5,BIND,
shion,sova,275,24,17,9,7,181.6,37,2,1,1,4944,HL,VK,12,14,5,7,7,5,BIND,
pMdr1,reyna,250,23,20,2,3,161.3,46,5,3,2,4944,HL,VK,12,14,5,7,7,5,BIND,
pleets,omen,170,15,17,3,-2,116.9,20,1,0,1,4944,HL,VK,12,14,5,7,7,5,BIND,
Myssen,cypher,167,16,18,6,-2,110.5,42,1,3,-2,4944,HL,VK,12,14,5,7,7,5,BIND,
bNhardneja,raze,137,11,23,3,-12,91.6,20,3,7,-4,4944,HL,VK,12,14,5,7,7,5,BIND,
NikkoLAN,jett,286,20,11,3,9,161.0,28,7,4,3,4944,VK,HL,13,7,7,5,6,2,HAVEN,
FLG1,breach,221,15,16,4,-1,137.3,26,4,1,3,4944,VK,HL,13,7,7,5,6,2,HAVEN,
flainzz,cypher,192,13,14,2,-1,129.5,26,1,0,1,4944,VK,HL,13,7,7,5,6,2,HAVEN,
patochovsk,brimstone,145,9,11,7,-2,111.9,18,0,1,-1,4944,VK,HL,13,7,7,5,6,2,HAVEN,
NANZIN,sova,130,10,14,6,-4,92.0,24,0,2,-2,4944,VK,HL,13,7,7,5,6,2,HAVEN,
shion,sova,295,18,13,8,5,206.0,27,1,1,0,4944,HL,VK,7,13,2,6,5,7,HAVEN,
