Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
BRNWOWZK1,249,56,44,8,12,144.9,19,7,8,-1,5279,DLWZK,HAVAN,MATCH,3,1.12
pavel,201,41,50,15,-9,123.2,13,5,9,-4,5279,DLWZK,HAVAN,MATCH,3,1.12
DmL,169,40,50,11,-10,101.7,20,7,5,2,5279,DLWZK,HAVAN,MATCH,3,1.12
zam,156,31,48,17,-17,106.0,13,5,5,0,5279,DLWZK,HAVAN,MATCH,3,1.12
fluyr,140,27,51,20,-24,100.2,18,4,7,-3,5279,DLWZK,HAVAN,MATCH,3,1.12
shion,299,68,32,25,36,196.3,23,8,1,7,5279,HAVAN,DLWZK,MATCH,3,1.12
pMdr1,259,54,38,13,16,149.5,33,7,8,-1,5279,HAVAN,DLWZK,MATCH,3,1.12
Myssen,192,47,40,16,7,119.9,41,4,8,-4,5279,HAVAN,DLWZK,MATCH,3,1.12
pleets,189,38,42,18,-4,109.6,14,6,4,2,5279,HAVAN,DLWZK,MATCH,3,1.12
bNhardneja,173,35,43,13,-8,111.3,13,9,7,2,5279,HAVAN,DLWZK,MATCH,3,1.12
pMdr1,312,41,17,6,24,228.5,29,6,2,4,5264,HAVAN,DKS,MATCH,2,1.12
shion,305,41,17,11,24,212.3,23,3,2,1,5264,HAVAN,DKS,MATCH,2,1.12
pleets,261,36,18,15,18,137.0,19,8,4,4,5264,HAVAN,DKS,MATCH,2,1.12
bNhardneja,193,21,19,14,2,120.6,16,4,2,2,5264,HAVAN,DKS,MATCH,2,1.12
Myssen,156,17,20,20,-3,96.2,20,2,2,0,5264,HAVAN,DKS,MATCH,2,1.12
Lupi,243,28,31,7,-3,151.9,29,5,8,-3,5264,DKS,HAVAN,MATCH,2,1.12
shawk,174,20,30,9,-10,134.8,18,3,6,-3,5264,DKS,HAVAN,MATCH,2,1.12
mat,144,15,33,11,-18,91.5,12,1,4,-3,5264,DKS,HAVAN,MATCH,2,1.12
taek,135,16,32,6,-16,79.6,14,3,3,0,5264,DKS,HAVAN,MATCH,2,1.12
