Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
BRNWOWZK1,3,1,0,0.0,0,0,0,0.0,0.0,56,5,0,5279,DLWZ,HAVA,ASCENT,1.12
fluyr,2,1,0,0.0,1,0,0,0.0,0.0,48,2,0,5279,DLWZ,HAVA,ASCENT,1.12
pavel,4,0,1,0.0,0,0,0,0.0,0.0,47,0,3,5279,DLWZ,HAVA,ASCENT,1.12
zam,3,0,0,0.0,0,1,0,0.0,0.0,59,0,1,5279,DLWZ,HAVA,ASCENT,1.12
DmL,4,2,0,0.0,0,0,0,0.0,0.0,52,1,0,5279,DLWZ,HAVA,ASCENT,1.12
pleets,0,1,0,0.0,0,1,0,0.0,0.0,31,1,2,5279,HAVA,DLWZ,ASCENT,1.12
bNhardneja,3,1,0,0.0,0,0,0,0.0,0.0,55,1,0,5279,HAVA,DLWZ,ASCENT,1.12
shion,2,4,1,0.0,0,0,1,0.0,0.0,79,3,2,5279,HAVA,DLWZ,ASCENT,1.12
pMdr1,1,2,0,0.0,1,0,0,0.0,0.0,48,0,1,5279,HAVA,DLWZ,ASCENT,1.12
Myssen,1,0,0,0.0,0,0,0,0.0,0.0,38,0,1,5279,HAVA,DLWZ,ASCENT,1.12
BRNWOWZK1,3,0,0.0,1,0.0,1,0.0,0.0,0.0,49,1,0,5279,DLWZ,HAVA,SPLIT,1.12
fluyr,2,0,0.0,0,0.0,1,0.0,0.0,0.0,44,1,0,5279,DLWZ,HAVA,SPLIT,1.12
pavel,6,0,0.0,0,0.0,0,0.0,0.0,0.0,57,0,1,5279,DLWZ,HAVA,SPLIT,1.12
zam,1,0,0.0,0,0.0,0,0.0,0.0,0.0,41,3,0,5279,DLWZ,HAVA,SPLIT,1.12
DmL,1,0,0.0,0,0.0,0,0.0,0.0,0.0,28,0,0,5279,DLWZ,HAVA,SPLIT,1.12
pleets,2,1,0.0,0,0.0,0,0.0,0.0,0.0,39,0,0,5279,HAVA,DLWZ,SPLIT,1.12
bNhardneja,4,2,0.0,0,0.0,1,0.0,0.0,0.0,54,2,0,5279,HAVA,DLWZ,SPLIT,1.12
shion,1,3,0.0,0,0.0,0,0.0,0.0,0.0,110,0,0,5279,HAVA,DLWZ,SPLIT,1.12
pMdr1,4,0,0.0,0,0.0,0,0.0,0.0,0.0,54,4,1,5279,HAVA,DLWZ,SPLIT,1.12
Myssen,5,2,0.0,0,0.0,0,0.0,0.0,0.0,61,1,0,5279,HAVA,DLWZ,SPLIT,1.12
BRNWOWZK1,3,3,0,1,0,0.0,1,0.0,0.0,70,1,2,5279,DLWZ,HAVA,HAVEN,1.12
fluyr,0,0,0,0,0,0.0,0,0.0,0.0,25,2,0,5279,DLWZ,HAVA,HAVEN,1.12
pavel,1,0,0,0,0,0.0,0,0.0,0.0,35,0,0,5279,DLWZ,HAVA,HAVEN,1.12
zam,0,0,0,0,0,0.0,0,0.0,0.0,23,0,1,5279,DLWZ,HAVA,HAVEN,1.12
DmL,1,1,0,0,1,0.0,0,0.0,0.0,30,1,0,5279,DLWZ,HAVA,HAVEN,1.12
pleets,4,2,0,0,0,0.0,0,0.0,0.0,85,0,0,5279,HAVA,DLWZ,HAVEN,1.12
bNhardneja,0,0,0,0,0,0.0,0,0.0,0.0,22,2,1,5279,HAVA,DLWZ,HAVEN,1.12
shion,3,2,0,0,2,0.0,0,0.0,0.0,102,1,1,5279,HAVA,DLWZ,HAVEN,1.12
pMdr1,6,2,1,0,0,0.0,0,0.0,0.0,138,0,2,5279,HAVA,DLWZ,HAVEN,1.12
Myssen,2,0,1,0,0,0.0,0,0.0,0.0,62,1,0,5279,HAVA,DLWZ,HAVEN,1.12
pleets,4,1,0.0,0,0,0,0.0,0.0,0.0,76,1,0,5264,HAVA,DKS,ASCENT,1.12
bNhardneja,4,0,0.0,0,0,0,0.0,0.0,0.0,69,0,1,5264,HAVA,DKS,ASCENT,1.12
shion,4,1,0.0,0,1,1,0.0,0.0,0.0,96,2,1,5264,HAVA,DKS,ASCENT,1.12
pMdr1,4,2,0.0,1,0,0,0.0,0.0,0.0,94,0,2,5264,HAVA,DKS,ASCENT,1.12
Myssen,2,0,0.0,0,0,0,0.0,0.0,0.0,39,0,0,5264,HAVA,DKS,ASCENT,1.12
shawk,2,0,0.0,0,0,0,0.0,0.0,0.0,47,1,0,5264,DKS,HAVA,ASCENT,1.12
taek,0,0,0.0,0,0,0,0.0,0.0,0.0,24,0,0,5264,DKS,HAVA,ASCENT,1.12
mat,0,0,0.0,0,0,0,0.0,0.0,0.0,41,2,0,5264,DKS,HAVA,ASCENT,1.12
Lupi,3,1,0.0,0,0,0,0.0,0.0,0.0,66,3,0,5264,DKS,HAVA,ASCENT,1.12
gTTO,0,0,0.0,0,0,0,0.0,0.0,0.0,22,0,0,5264,DKS,HAVA,ASCENT,1.12
