Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
BRNWOWZK1,9.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,58,7.0,2.0,5279,DLWZ,HAVA,1.12,MATCH,3
fluyr,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,39,5.0,0.0,5279,DLWZ,HAVA,1.12,MATCH,3
pavel,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,4.0,5279,DLWZ,HAVA,1.12,MATCH,3
zam,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41,3.0,2.0,5279,DLWZ,HAVA,1.12,MATCH,3
DmL,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37,2.0,0.0,5279,DLWZ,HAVA,1.12,MATCH,3
pleets,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52,1.0,2.0,5279,HAVA,DLWZ,1.12,MATCH,3
bNhardneja,7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44,5.0,1.0,5279,HAVA,DLWZ,1.12,MATCH,3
shion,6.0,9.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,97,4.0,3.0,5279,HAVA,DLWZ,1.12,MATCH,3
pMdr1,11.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,80,4.0,4.0,5279,HAVA,DLWZ,1.12,MATCH,3
Myssen,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54,2.0,1.0,5279,HAVA,DLWZ,1.12,MATCH,3
pleets,7.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,63,2.0,0.0,5264,HAVA,DKS,1.12,MATCH,2
bNhardneja,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0.0,1.0,5264,HAVA,DKS,1.12,MATCH,2
shion,10.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,96,2.0,2.0,5264,HAVA,DKS,1.12,MATCH,2
pMdr1,8.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,100,3.0,3.0,5264,HAVA,DKS,1.12,MATCH,2
Myssen,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44,3.0,0.0,5264,HAVA,DKS,1.12,MATCH,2
shawk,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,54,1.0,0.0,5264,DKS,HAVA,1.12,MATCH,2
taek,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,2.0,2.0,5264,DKS,HAVA,1.12,MATCH,2
mat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,4.0,0.0,5264,DKS,HAVA,1.12,MATCH,2
Lupi,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,64,4.0,0.0,5264,DKS,HAVA,1.12,MATCH,2
gTTO,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34,1.0,0.0,5264,DKS,HAVA,1.12,MATCH,2
pleets,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,4.0,0.0,6686,HAVA,paiN,1.12,MATCH,2
bNhardneja,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,1.0,2.0,6686,HAVA,paiN,1.12,MATCH,2
shion,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,1.0,2.0,6686,HAVA,paiN,1.12,MATCH,2
pMdr1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,1.0,0.0,6686,HAVA,paiN,1.12,MATCH,2
Myssen,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39,2.0,0.0,6686,HAVA,paiN,1.12,MATCH,2
