Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
IMP,0,2,0.0,4,0,0.0,2,0,0.0,2,0,0.0,10,5,50.0,paiN,1.0,,6527,ASCENT
paiN,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,13,8,62.0,IMP,1.0,,6527,ASCENT
IMP,1,2,50.0,5,1,20.0,0,0,,3,1,33.0,15,11,73.0,paiN,1.0,,6527,SPLIT
paiN,1,2,50.0,3,1,33.0,2,0,0.0,3,1,33.0,15,8,53.0,IMP,1.0,,6527,SPLIT
IMP,2,2,100.0,2,2,100.0,1,0,0.0,5,2,40.0,13,9,69.0,paiN,1.0,,6527,HAVEN
paiN,0,2,0.0,3,0,0.0,1,0,0.0,6,4,67.0,11,4,36.0,IMP,1.0,,6527,HAVEN
IMP,0,2,0.0,4,0,0.0,2,0,0.0,2,0,0.0,10,5,50.0,paiN,1.0,,6527,ASCENT
paiN,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,13,8,62.0,IMP,1.0,,6527,ASCENT
IMP,1,2,50.0,5,1,20.0,0,0,,3,1,33.0,15,11,73.0,paiN,1.0,,6527,SPLIT
paiN,1,2,50.0,3,1,33.0,2,0,0.0,3,1,33.0,15,8,53.0,IMP,1.0,,6527,SPLIT
IMP,2,2,100.0,2,2,100.0,1,0,0.0,5,2,40.0,13,9,69.0,paiN,1.0,,6527,HAVEN
paiN,0,2,0.0,3,0,0.0,1,0,0.0,6,4,67.0,11,4,36.0,IMP,1.0,,6527,HAVEN
IMP,2,2,100.0,2,2,100.0,2,1,50.0,11,6,55.0,15,7,47.0,oNe,1.0,1.12,6053,SPLIT
oNe,0,2,0.0,4,0,0.0,2,1,50.0,1,0,0.0,23,13,57.0,IMP,1.0,1.12,6053,SPLIT
IMP,2,2,100.0,2,2,100.0,2,0,0.0,5,4,80.0,14,7,50.0,oNe,1.0,1.12,6053,HAVEN
oNe,0,2,0.0,3,1,33.0,1,0,0.0,3,2,67.0,16,7,44.0,IMP,1.0,1.12,6053,HAVEN
RED,0,2,0.0,4,0,0.0,0,0,,4,2,50.0,16,9,56.0,Mix,1.0,1.12,5284,ASCENT
Mix,2,2,100.0,2,2,100.0,5,3,60.0,6,3,50.0,11,5,45.0,RED,1.0,1.12,5284,ASCENT
RED,0,2,0.0,3,0,0.0,1,0,0.0,5,3,60.0,12,10,83.0,Mix,1.0,1.12,5284,BIND
Mix,2,2,100.0,4,2,50.0,2,0,0.0,3,1,33.0,12,5,42.0,RED,1.0,1.12,5284,BIND
RED,0,2,0.0,2,0,0.0,2,0,0.0,7,1,14.0,3,0,0.0,Mix,1.0,1.12,5284,SPLIT
Mix,2,2,100.0,2,2,100.0,0,0,,4,4,100.0,8,7,88.0,RED,1.0,1.12,5284,SPLIT
Mix,2,2,100.0,2,2,100.0,3,0,0.0,5,3,60.0,14,8,57.0,novidades em breve,1.0,1.12,5276,BIND
novidades em breve,0,2,0.0,4,0,0.0,2,1,50.0,6,3,50.0,12,7,58.0,Mix,1.0,1.12,5276,BIND
Mix,2,2,100.0,2,2,100.0,0,0,,2,2,100.0,13,9,69.0,novidades em breve,1.0,1.12,5276,SPLIT
novidades em breve,0,2,0.0,4,0,0.0,3,0,0.0,4,1,25.0,6,3,50.0,Mix,1.0,1.12,5276,SPLIT
Real Esports,0,2,0.0,3,0,0.0,2,0,0.0,5,0,0.0,3,0,0.0,Mix,1.0,1.1,5173,SPLIT
Mix,2,2,100.0,2,2,100.0,0,0,,2,2,100.0,9,9,100.0,Real Esports,1.0,1.1,5173,SPLIT
Real Esports,0,2,0.0,4,0,0.0,2,0,0.0,2,0,0.0,12,7,58.0,Mix,1.0,1.1,5173,ASCENT
Mix,2,2,100.0,2,2,100.0,1,0,0.0,6,3,50.0,11,8,73.0,Real Esports,1.0,1.1,5173,ASCENT
Mix,2,2,100.0,2,2,100.0,2,0,0.0,4,3,75.0,13,8,62.0,FazTeuHype,1.0,1.1,5024,BIND
FazTeuHype,0,2,0.0,4,0,0.0,1,0,0.0,3,1,33.0,13,7,54.0,Mix,1.0,1.1,5024,BIND
VK,0,2,0.0,5,0,0.0,1,0,0.0,2,1,50.0,22,13,59.0,Mix,1.0,1.1,4976,HAVEN
Mix,2,2,100.0,2,2,100.0,0,0,,7,4,57.0,21,10,48.0,VK,1.0,1.1,4976,HAVEN
VK,1,2,50.0,3,1,33.0,1,0,0.0,3,2,67.0,13,10,77.0,Mix,1.0,1.1,4976,SPLIT
Mix,1,2,50.0,3,1,33.0,2,1,50.0,8,3,38.0,7,2,29.0,VK,1.0,1.1,4976,SPLIT
