Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
IMP,3,6,50.0,11,3,27.0,3,0,0.0,10,3,30.0,38,25,66.0,paiN,3.0,,6527,MATCH
paiN,3,6,50.0,8,3,38.0,3,0,0.0,12,8,67.0,39,20,51.0,IMP,3.0,,6527,MATCH
IMP,3,6,50.0,11,3,27.0,3,0,0.0,10,3,30.0,38,25,66.0,paiN,3.0,,6527,MATCH
paiN,3,6,50.0,8,3,38.0,3,0,0.0,12,8,67.0,39,20,51.0,IMP,3.0,,6527,MATCH
IMP,4,4,100.0,4,4,100.0,4,1,25.0,16,10,62.0,29,14,48.0,oNe,2.0,1.12,6053,MATCH
oNe,0,4,0.0,7,1,14.0,3,1,33.0,4,2,50.0,39,20,51.0,IMP,2.0,1.12,6053,MATCH
RED,0,6,0.0,9,0,0.0,3,0,0.0,16,6,38.0,31,19,61.0,Mix,3.0,1.12,5284,MATCH
Mix,6,6,100.0,8,6,75.0,7,3,43.0,13,8,62.0,31,17,55.0,RED,3.0,1.12,5284,MATCH
Mix,4,4,100.0,4,4,100.0,3,0,0.0,7,5,71.0,27,17,63.0,novidades em breve,2.0,1.12,5276,MATCH
novidades em breve,0,4,0.0,8,0,0.0,5,1,20.0,10,4,40.0,18,10,56.0,Mix,2.0,1.12,5276,MATCH
Real Esports,0,4,0.0,7,0,0.0,4,0,0.0,7,0,0.0,15,7,47.0,Mix,2.0,1.1,5173,MATCH
Mix,4,4,100.0,4,4,100.0,1,0,0.0,8,5,62.0,20,17,85.0,Real Esports,2.0,1.1,5173,MATCH
Mix,2,2,100.0,2,2,100.0,2,0,0.0,4,3,75.0,13,8,62.0,FazTeuHype,1.0,1.1,5024,MATCH
FazTeuHype,0,2,0.0,4,0,0.0,1,0,0.0,3,1,33.0,13,7,54.0,Mix,1.0,1.1,5024,MATCH
