Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
tuyz,250,52,42,18,10,170.1,18,5,5,0,6527,IMP,paiN,MATCH,3,
txddy,238,51,44,9,7,146.2,27,3,8,-5,6527,IMP,paiN,MATCH,3,
Biscoit1n,192,44,49,4,-5,102.9,16,8,14,-6,6527,IMP,paiN,MATCH,3,
rst,172,32,41,20,-9,120.3,15,3,8,-5,6527,IMP,paiN,MATCH,3,
Evilkyk,162,35,46,18,-11,104.3,15,2,6,-4,6527,IMP,paiN,MATCH,3,
kon4n,244,52,35,23,17,161.6,25,5,2,3,6527,paiN,IMP,MATCH,3,
Txozin,244,57,43,6,14,145.3,32,7,3,4,6527,paiN,IMP,MATCH,3,
murizzz,211,37,49,23,-12,132.7,20,12,4,8,6527,paiN,IMP,MATCH,3,
Veroneze,183,39,44,11,-5,128.5,29,8,6,2,6527,paiN,IMP,MATCH,3,
matheuzin,160,37,43,4,-6,103.1,28,9,6,3,6527,paiN,IMP,MATCH,3,
tuyz,250,52,42,18,10,170.1,18,5,5,0,6527,IMP,paiN,MATCH,3,
txddy,238,51,44,9,7,146.2,27,3,8,-5,6527,IMP,paiN,MATCH,3,
Biscoit1n,192,44,49,4,-5,102.9,16,8,14,-6,6527,IMP,paiN,MATCH,3,
rst,172,32,41,20,-9,120.3,15,3,8,-5,6527,IMP,paiN,MATCH,3,
Evilkyk,162,35,46,18,-11,104.3,15,2,6,-4,6527,IMP,paiN,MATCH,3,
kon4n,244,52,35,23,17,161.6,25,5,2,3,6527,paiN,IMP,MATCH,3,
Txozin,244,57,43,6,14,145.3,32,7,3,4,6527,paiN,IMP,MATCH,3,
murizzz,211,37,49,23,-12,132.7,20,12,4,8,6527,paiN,IMP,MATCH,3,
Veroneze,183,39,44,11,-5,128.5,29,8,6,2,6527,paiN,IMP,MATCH,3,
matheuzin,160,37,43,4,-6,103.1,28,9,6,3,6527,paiN,IMP,MATCH,3,
rst,229,42,33,16,9,165.4,19,2,1,1,6053,IMP,oNe,MATCH,2,1.12
tuyz,222,39,39,10,0,127.6,19,5,4,1,6053,IMP,oNe,MATCH,2,1.12
txddy,217,40,42,12,-2,132.2,22,8,4,4,6053,IMP,oNe,MATCH,2,1.12
Evilkyk,216,41,37,9,4,134.1,21,4,7,-3,6053,IMP,oNe,MATCH,2,1.12
Biscoit1n,176,33,35,10,-2,115.1,24,7,11,-4,6053,IMP,oNe,MATCH,2,1.12
ntk,230,40,38,12,2,147.5,15,5,5,0,6053,oNe,IMP,MATCH,2,1.12
Cpx,226,40,44,9,-4,152.4,17,9,6,3,6053,oNe,IMP,MATCH,2,1.12
Maverick,226,39,39,19,0,142.0,18,9,7,2,6053,oNe,IMP,MATCH,2,1.12
Zap,184,37,34,5,3,104.1,25,2,5,-3,6053,oNe,IMP,MATCH,2,1.12
Champzera,172,30,40,10,-10,116.6,18,2,3,-1,6053,oNe,IMP,MATCH,2,1.12
Sacy,263,55,43,15,12,194.2,33,3,10,-7,5284,RED,Mix,MATCH,3,1.12
pepa,209,41,46,11,-5,146.3,24,7,9,-2,5284,RED,Mix,MATCH,3,1.12
pollo,188,41,42,17,-1,129.7,23,3,2,1,5284,RED,Mix,MATCH,3,1.12
Masu,169,39,40,10,-1,104.6,28,2,7,-5,5284,RED,Mix,MATCH,3,1.12
prozin,147,27,47,13,-20,95.4,15,5,11,-6,5284,RED,Mix,MATCH,3,1.12
Evilkyk,271,58,40,10,18,164.5,25,9,4,5,5284,Mix,RED,MATCH,3,1.12
Biscoit1n,252,52,42,10,10,136.3,20,14,6,8,5284,Mix,RED,MATCH,3,1.12
tuyz,217,42,40,16,2,132.4,16,8,3,5,5284,Mix,RED,MATCH,3,1.12
txddy,171,35,41,14,-6,95.9,18,5,2,3,5284,Mix,RED,MATCH,3,1.12
rst,148,31,40,10,-9,98.6,23,3,5,-2,5284,Mix,RED,MATCH,3,1.12
txddy,224,35,19,4,16,129.0,23,3,1,2,5276,Mix,novi,MATCH,2,1.12
tuyz,223,33,25,8,8,129.4,21,8,3,5,5276,Mix,novi,MATCH,2,1.12
Biscoit1n,215,29,28,8,1,121.9,19,9,7,2,5276,Mix,novi,MATCH,2,1.12
Evilkyk,210,30,22,14,8,127.2,22,6,1,5,5276,Mix,novi,MATCH,2,1.12
rst,176,30,24,4,6,100.1,17,1,2,-1,5276,Mix,novi,MATCH,2,1.12
Enjoy,198,26,32,8,-6,149.6,18,1,3,-2,5276,novi,Mix,MATCH,2,1.12
surpriiseeee,190,25,33,9,-8,123.7,20,5,6,-1,5276,novi,Mix,MATCH,2,1.12
vett,183,28,27,7,1,125.7,23,3,6,-3,5276,novi,Mix,MATCH,2,1.12
