Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
rst,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,16.0,2.0,6527,IMP,paiN,,MATCH,3
Evilkyk,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,1.0,3.0,6527,IMP,paiN,,MATCH,3
tuyz,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,75.0,0.0,2.0,6527,IMP,paiN,,MATCH,3
Biscoit1n,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,6527,IMP,paiN,,MATCH,3
txddy,10.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,56.0,2.0,4.0,6527,IMP,paiN,,MATCH,3
murizzz,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,3.0,6527,paiN,IMP,,MATCH,3
Txozin,6.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,8.0,0.0,6527,paiN,IMP,,MATCH,3
matheuzin,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,7.0,2.0,6527,paiN,IMP,,MATCH,3
kon4n,5.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,72.0,5.0,2.0,6527,paiN,IMP,,MATCH,3
Veroneze,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,4.0,0.0,6527,paiN,IMP,,MATCH,3
rst,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,16.0,2.0,6527,IMP,paiN,,MATCH,3
Evilkyk,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,1.0,3.0,6527,IMP,paiN,,MATCH,3
tuyz,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,75.0,0.0,2.0,6527,IMP,paiN,,MATCH,3
Biscoit1n,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,6527,IMP,paiN,,MATCH,3
txddy,10.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,56.0,2.0,4.0,6527,IMP,paiN,,MATCH,3
murizzz,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,3.0,6527,paiN,IMP,,MATCH,3
Txozin,6.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,8.0,0.0,6527,paiN,IMP,,MATCH,3
matheuzin,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,7.0,2.0,6527,paiN,IMP,,MATCH,3
kon4n,5.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,72.0,5.0,2.0,6527,paiN,IMP,,MATCH,3
Veroneze,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,4.0,0.0,6527,paiN,IMP,,MATCH,3
rst,10.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,59.0,15.0,1.0,6053,IMP,oNe,1.12,MATCH,2
Evilkyk,6.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,46.0,2.0,3.0,6053,IMP,oNe,1.12,MATCH,2
tuyz,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,6053,IMP,oNe,1.12,MATCH,2
Biscoit1n,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2.0,4.0,6053,IMP,oNe,1.12,MATCH,2
txddy,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0,6053,IMP,oNe,1.12,MATCH,2
Cpx,8.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,49.0,2.0,1.0,6053,oNe,IMP,1.12,MATCH,2
Champzera,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,9.0,1.0,6053,oNe,IMP,1.12,MATCH,2
ntk,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,60.0,3.0,0.0,6053,oNe,IMP,1.12,MATCH,2
