Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
Ingaming,1,2,50.0,3,1,33.0,3,0,0.0,5,3,60.0,19,12,63.0,Real Esports,1.0,1.14,8230,ASCENT
Real Esports,1,2,50.0,3,2,67.0,2,0,0.0,5,3,60.0,20,9,45.0,Ingaming,1.0,1.14,8230,ASCENT
Ingaming,0,2,0.0,3,0,0.0,1,0,0.0,6,1,17.0,5,1,20.0,AU POINT,1.0,1.14,8243,SPLIT
AU POINT,2,2,100.0,2,2,100.0,0,0,,6,5,83.0,7,6,86.0,Ingaming,1.0,1.14,8243,SPLIT
Ingaming,2,2,100.0,2,2,100.0,2,1,50.0,7,3,43.0,12,7,58.0,AU POINT,1.0,1.14,8243,ASCENT
AU POINT,0,2,0.0,4,0,0.0,0,0,,4,3,75.0,15,7,47.0,Ingaming,1.0,1.14,8243,ASCENT
Ingaming,1,2,50.0,3,1,33.0,0,0,,6,1,17.0,15,9,60.0,AU POINT,1.0,1.14,8243,BIND
AU POINT,1,2,50.0,3,1,33.0,3,0,0.0,5,2,40.0,13,10,77.0,Ingaming,1.0,1.14,8243,BIND
GLB,0,2,0.0,4,1,25.0,0,0,,1,1,100.0,12,11,92.0,Ingaming,1.0,1.12,6681,HAVEN
Ingaming,2,2,100.0,3,2,67.0,4,0,0.0,3,1,33.0,7,1,14.0,GLB,1.0,1.12,6681,HAVEN
GLB,1,2,50.0,3,2,67.0,0,0,,3,3,100.0,11,8,73.0,Ingaming,1.0,1.12,6681,BIND
Ingaming,1,2,50.0,4,1,25.0,0,0,,5,0,0.0,8,3,38.0,GLB,1.0,1.12,6681,BIND
NMDM,2,2,100.0,2,2,100.0,0,0,,4,4,100.0,9,7,78.0,FKL,1.0,1.12,5280,SPLIT
FKL,0,2,0.0,3,0,0.0,1,0,0.0,5,1,20.0,6,1,17.0,NMDM,1.0,1.12,5280,SPLIT
NMDM,0,2,0.0,3,0,0.0,2,0,0.0,6,2,33.0,6,2,33.0,FKL,1.0,1.12,5280,HAVEN
FKL,2,2,100.0,2,2,100.0,0,0,,5,5,100.0,10,6,60.0,NMDM,1.0,1.12,5280,HAVEN
NMDM,1,2,50.0,4,2,50.0,2,0,0.0,3,1,33.0,15,10,67.0,FKL,1.0,1.12,5280,ASCENT
FKL,1,2,50.0,3,2,67.0,1,1,100.0,8,3,38.0,12,5,42.0,NMDM,1.0,1.12,5280,ASCENT
VK,1,2,50.0,3,1,33.0,2,2,100.0,9,4,44.0,10,4,40.0,NMDM,1.0,1.12,5271,BIND
NMDM,1,2,50.0,3,1,33.0,1,0,0.0,4,2,50.0,16,10,62.0,VK,1.0,1.12,5271,BIND
VK,1,2,50.0,3,1,33.0,2,0,0.0,3,2,67.0,14,10,71.0,NMDM,1.0,1.12,5271,ASCENT
NMDM,1,2,50.0,3,1,33.0,2,0,0.0,4,2,50.0,13,6,46.0,VK,1.0,1.12,5271,ASCENT
VK,0,2,0.0,4,0,0.0,1,0,0.0,4,3,75.0,12,5,42.0,NMDM,1.0,1.12,5271,HAVEN
NMDM,2,2,100.0,2,2,100.0,2,0,0.0,7,4,57.0,10,7,70.0,VK,1.0,1.12,5271,HAVEN
Feios e Freios,1,2,50.0,3,1,33.0,1,0,0.0,4,4,100.0,15,8,53.0,NMDM,1.0,1.11,5254,ASCENT
NMDM,1,2,50.0,3,1,33.0,3,0,0.0,4,2,50.0,13,7,54.0,Feios e Freios,1.0,1.11,5254,ASCENT
Feios e Freios,0,2,0.0,4,1,25.0,1,0,0.0,4,1,25.0,11,5,45.0,NMDM,1.0,1.11,5254,HAVEN
NMDM,2,2,100.0,2,2,100.0,0,0,,6,5,83.0,12,6,50.0,Feios e Freios,1.0,1.11,5254,HAVEN
Feios e Freios,1,2,50.0,3,1,33.0,0,0,,8,4,50.0,12,5,42.0,NMDM,1.0,1.11,5254,BIND
NMDM,1,2,50.0,3,1,33.0,3,3,100.0,3,1,33.0,14,8,57.0,Feios e Freios,1.0,1.11,5254,BIND
NMDM,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,11,8,73.0,Perfect AIM,1.0,1.11,5242,BIND
Perfect AIM,0,2,0.0,4,0,0.0,2,0,0.0,3,0,0.0,7,3,43.0,NMDM,1.0,1.11,5242,BIND
REVOADINHA,2,2,100.0,2,2,100.0,2,0,0.0,8,4,50.0,12,5,42.0,Ingaming,1.0,2.03,11982,ASCENT
Ingaming,0,2,0.0,4,0,0.0,1,0,0.0,1,0,0.0,18,13,72.0,REVOADINHA,1.0,2.03,11982,ASCENT
Ingaming,1,2,50.0,3,1,33.0,1,0,0.0,6,3,50.0,13,6,46.0,favela aimers,1.0,2.03,11986,HAVEN
favela aimers,1,2,50.0,3,1,33.0,1,0,0.0,2,1,50.0,17,11,65.0,Ingaming,1.0,2.03,11986,HAVEN
Ingaming,2,2,100.0,2,2,100.0,1,0,0.0,4,3,75.0,13,8,62.0,favela aimers,1.0,2.03,11986,BIND
favela aimers,0,2,0.0,4,1,25.0,1,0,0.0,6,3,50.0,9,3,33.0,Ingaming,1.0,2.03,11986,BIND
Ingaming,2,2,100.0,2,2,100.0,1,0,0.0,7,3,43.0,14,8,57.0,favela aimers,1.0,2.03,11986,ASCENT
