Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
Ingaming,1,2,50.0,3,1,33.0,3,0,0.0,5,3,60.0,19,12,63.0,Real Esports,1.0,1.14,8230,MATCH
Real Esports,1,2,50.0,3,2,67.0,2,0,0.0,5,3,60.0,20,9,45.0,Ingaming,1.0,1.14,8230,MATCH
Ingaming,3,6,50.0,8,3,38.0,3,1,33.0,19,5,26.0,32,17,53.0,AU POINT,3.0,1.14,8243,MATCH
AU POINT,3,6,50.0,9,3,33.0,3,0,0.0,15,10,67.0,35,23,66.0,Ingaming,3.0,1.14,8243,MATCH
GLB,1,4,25.0,7,3,43.0,0,0,,4,4,100.0,23,19,83.0,Ingaming,2.0,1.12,6681,MATCH
Ingaming,3,4,75.0,7,3,43.0,4,0,0.0,8,1,12.0,15,4,27.0,GLB,2.0,1.12,6681,MATCH
NMDM,3,6,50.0,9,4,44.0,4,0,0.0,13,7,54.0,30,19,63.0,FKL,3.0,1.12,5280,MATCH
FKL,3,6,50.0,8,4,50.0,2,1,50.0,18,9,50.0,28,12,43.0,NMDM,3.0,1.12,5280,MATCH
VK,2,6,33.0,10,2,20.0,5,2,40.0,16,9,56.0,36,19,53.0,NMDM,3.0,1.12,5271,MATCH
NMDM,4,6,67.0,8,4,50.0,5,0,0.0,15,8,53.0,39,23,59.0,VK,3.0,1.12,5271,MATCH
Feios e Freios,2,6,33.0,10,3,30.0,2,0,0.0,16,9,56.0,38,18,47.0,NMDM,3.0,1.11,5254,MATCH
NMDM,4,6,67.0,8,4,50.0,6,3,50.0,13,8,62.0,39,21,54.0,Feios e Freios,3.0,1.11,5254,MATCH
NMDM,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,11,8,73.0,Perfect AIM,1.0,1.11,5242,MATCH
Perfect AIM,0,2,0.0,4,0,0.0,2,0,0.0,3,0,0.0,7,3,43.0,NMDM,1.0,1.11,5242,MATCH
REVOADINHA,2,2,100.0,2,2,100.0,2,0,0.0,8,4,50.0,12,5,42.0,Ingaming,1.0,2.03,11982,MATCH
Ingaming,0,2,0.0,4,0,0.0,1,0,0.0,1,0,0.0,18,13,72.0,REVOADINHA,1.0,2.03,11982,MATCH
Ingaming,5,6,83.0,7,5,71.0,3,0,0.0,17,9,53.0,40,22,55.0,favela aimers,3.0,2.03,11986,MATCH
favela aimers,1,6,17.0,11,2,18.0,2,0,0.0,13,8,62.0,41,21,51.0,Ingaming,3.0,2.03,11986,MATCH
Ingaming,4,4,100.0,4,4,100.0,0,0,,10,8,80.0,25,14,56.0,OSKARAVELHO,2.0,2.03,11988,MATCH
OSKARAVELHO,0,4,0.0,8,0,0.0,5,0,0.0,3,1,33.0,23,12,52.0,Ingaming,2.0,2.03,11988,MATCH
Ingaming,2,2,100.0,2,2,100.0,0,0,,6,4,67.0,10,7,70.0,EXZ,1.0,2.04,13520,MATCH
EXZ,0,2,0.0,3,0,0.0,3,1,33.0,4,0,0.0,8,4,50.0,Ingaming,1.0,2.04,13520,MATCH
Ingaming,0,4,0.0,8,0,0.0,2,0,0.0,9,4,44.0,17,6,35.0,B4,2.0,2.04,13530,MATCH
B4,4,4,100.0,4,4,100.0,1,1,100.0,9,7,78.0,22,14,64.0,Ingaming,2.0,2.04,13530,MATCH
GLB,2,4,50.0,6,2,33.0,1,1,100.0,5,3,60.0,24,20,83.0,Ingaming,2.0,,14102,MATCH
