Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
dio9x,278,34,17,4,17,177.9,21,4,3,1,8230,Inga,Real,MATCH,1,1.14
ceegu1N,252,26,24,10,2,207.0,21,1,2,-1,8230,Inga,Real,MATCH,1,1.14
Pernalonga,240,23,26,13,-3,148.3,9,8,5,3,8230,Inga,Real,MATCH,1,1.14
ducK,203,18,20,20,-2,142.7,11,2,1,1,8230,Inga,Real,MATCH,1,1.14
jacobin,193,19,23,16,-4,120.4,24,3,1,2,8230,Inga,Real,MATCH,1,1.14
Gdz,258,25,27,7,-2,166.5,29,3,6,-3,8230,Real,Inga,MATCH,1,1.14
inq,230,24,24,3,0,136.9,29,5,3,2,8230,Real,Inga,MATCH,1,1.14
cfn,221,27,21,8,6,131.3,26,1,0,1,8230,Real,Inga,MATCH,1,1.14
guiih9,170,17,24,14,-7,119.2,18,2,8,-6,8230,Real,Inga,MATCH,1,1.14
panzol,169,17,24,8,-7,143.5,5,1,1,0,8230,Real,Inga,MATCH,1,1.14
ducK,217,45,52,25,-7,143.9,19,6,9,-3,8243,Inga,P,MATCH,3,1.14
dio9x,203,45,45,5,0,129.4,27,2,5,-3,8243,Inga,P,MATCH,3,1.14
Pernalonga,201,42,50,18,-8,138.5,13,9,14,-5,8243,Inga,P,MATCH,3,1.14
ceegu1N,194,44,46,16,-2,113.5,10,3,6,-3,8243,Inga,P,MATCH,3,1.14
jacobin,188,41,45,27,-4,114.6,24,8,0,8,8243,Inga,P,MATCH,3,1.14
pavel,307,62,47,20,15,174.2,8,20,10,10,8243,P,Inga,MATCH,3,1.14
zaxdeuS,216,51,42,24,9,137.5,21,3,2,1,8243,P,Inga,MATCH,3,1.14
mNdS,212,53,39,10,14,124.5,21,3,2,1,8243,P,Inga,MATCH,3,1.14
rpAiva,198,37,48,27,-11,129.7,20,5,9,-4,8243,P,Inga,MATCH,3,1.14
fAk,166,35,41,16,-6,103.4,18,3,5,-2,8243,P,Inga,MATCH,3,1.14
mwzera,377,45,26,13,19,220.0,15,6,4,2,6681,GL,Inga,MATCH,2,1.12
JhoW,208,26,18,17,8,144.4,21,2,3,-1,6681,GL,Inga,MATCH,2,1.12
Jonn,201,25,24,11,1,124.5,19,5,8,-3,6681,GL,Inga,MATCH,2,1.12
Nyang,176,26,15,8,11,98.8,21,2,1,1,6681,GL,Inga,MATCH,2,1.12
fznnn,167,17,16,15,1,107.0,29,2,1,1,6681,GL,Inga,MATCH,2,1.12
ducK,247,31,27,5,4,147.8,21,6,0,6,6681,Inga,GL,MATCH,2,1.12
jacobin,206,24,29,15,-5,111.9,32,6,3,3,6681,Inga,GL,MATCH,2,1.12
dio9x,160,17,27,6,-10,104.6,17,2,3,-1,6681,Inga,GL,MATCH,2,1.12
Pernalonga,141,15,29,7,-14,92.9,11,3,3,0,6681,Inga,GL,MATCH,2,1.12
ceegu1N,110,12,27,9,-15,71.2,9,0,8,-8,6681,Inga,GL,MATCH,2,1.12
Pernalonga,220,40,39,10,1,137.8,19,9,11,-2,5280,NMDM,FKL,MATCH,3,1.12
dio9x,214,38,39,17,-1,117.6,21,1,3,-2,5280,NMDM,FKL,MATCH,3,1.12
ceegu1N,208,43,41,10,2,127.6,16,5,4,1,5280,NMDM,FKL,MATCH,3,1.12
jacobin,207,38,38,19,0,140.6,26,6,4,2,5280,NMDM,FKL,MATCH,3,1.12
ducK,197,41,41,8,0,113.6,21,7,6,1,5280,NMDM,FKL,MATCH,3,1.12
qck,273,54,43,8,11,176.7,22,8,9,-1,5280,FKL,NMDM,MATCH,3,1.12
bld,214,42,42,24,0,125.7,29,7,7,0,5280,FKL,NMDM,MATCH,3,1.12
mch,192,41,35,11,6,119.4,16,6,2,4,5280,FKL,NMDM,MATCH,3,1.12
Khalil,190,38,39,10,-1,134.5,24,2,4,-2,5280,FKL,NMDM,MATCH,3,1.12
pava,132,23,41,16,-18,75.5,20,5,6,-1,5280,FKL,NMDM,MATCH,3,1.12
patochovsk,235,50,48,10,2,141.6,13,11,8,3,5271,Vivo,NMDM,MATCH,3,1.12
NikkoLAN,213,49,54,12,-5,119.1,18,14,10,4,5271,Vivo,NMDM,MATCH,3,1.12
FLG1,178,42,49,24,-7,118.1,31,2,3,-1,5271,Vivo,NMDM,MATCH,3,1.12
flainzz,177,43,43,12,0,118.6,17,5,4,1,5271,Vivo,NMDM,MATCH,3,1.12
NANZIN,174,36,46,23,-10,130.0,20,5,5,0,5271,Vivo,NMDM,MATCH,3,1.12
jacobin,260,63,41,24,22,157.7,32,6,6,0,5271,NMDM,Vivo,MATCH,3,1.12
ceegu1N,224,53,43,11,10,134.1,18,9,10,-1,5271,NMDM,Vivo,MATCH,3,1.12
Pernalonga,204,43,48,13,-5,125.7,18,6,11,-5,5271,NMDM,Vivo,MATCH,3,1.12
ducK,168,41,48,9,-7,105.9,24,7,7,0,5271,NMDM,Vivo,MATCH,3,1.12
dio9x,159,40,40,17,0,99.9,25,2,3,-1,5271,NMDM,Vivo,MATCH,3,1.12
RaffaaoT,241,52,47,18,5,166.4,17,9,11,-2,5254,Feio,NMDM,MATCH,3,1.11
jowzikk,223,55,52,7,3,158.6,24,7,10,-3,5254,Feio,NMDM,MATCH,3,1.11
scraw,211,48,44,22,4,136.3,31,6,2,4,5254,Feio,NMDM,MATCH,3,1.11
fame,190,44,45,10,-1,117.0,20,5,4,1,5254,Feio,NMDM,MATCH,3,1.11
stkJ,159,34,50,23,-16,106.7,28,4,8,-4,5254,Feio,NMDM,MATCH,3,1.11
ducK,224,52,49,8,3,132.7,26,13,7,6,5254,NMDM,Feio,MATCH,3,1.11
jacobin,221,52,40,25,12,130.6,25,2,4,-2,5254,NMDM,Feio,MATCH,3,1.11
ceegu1N,209,46,46,13,0,142.7,18,8,6,2,5254,NMDM,Feio,MATCH,3,1.11
Pernalonga,206,46,50,14,-4,125.8,13,5,8,-3,5254,NMDM,Feio,MATCH,3,1.11
dio9x,186,42,48,14,-6,112.4,19,7,6,1,5254,NMDM,Feio,MATCH,3,1.11
ceegu1N,302,19,7,3,12,165.1,17,3,0,3,5242,NMDM,Per,MATCH,1,1.11
ducK,234,13,7,2,6,131.3,23,6,2,4,5242,NMDM,Per,MATCH,1,1.11
Pernalonga,217,12,10,6,2,155.2,11,1,1,0,5242,NMDM,Per,MATCH,1,1.11
jacobin,193,12,7,10,5,116.4,18,2,1,1,5242,NMDM,Per,MATCH,1,1.11
dio9x,187,13,8,2,5,105.0,26,0,0,0,5242,NMDM,Per,MATCH,1,1.11
gugas,217,10,14,5,-4,154.4,20,1,3,-2,5242,Per,NMDM,MATCH,1,1.11
pLGodzao,193,9,15,4,-6,117.8,23,2,2,0,5242,Per,NMDM,MATCH,1,1.11
JeyJey,133,9,12,2,-3,73.8,20,0,3,-3,5242,Per,NMDM,MATCH,1,1.11
FeLiPaL,121,6,14,3,-8,71.1,10,1,2,-1,5242,Per,NMDM,MATCH,1,1.11
GRETTER,103,5,14,1,-9,61.7,31,0,2,-2,5242,Per,NMDM,MATCH,1,1.11
chase,247,20,19,6,1,150.3,18,7,3,4,11982,REVO,Inga,MATCH,1,2.03
Gabriel,207,18,16,2,2,120.3,26,2,3,-1,11982,REVO,Inga,MATCH,1,2.03
bielthemagician,179,15,16,7,-1,102.2,19,1,0,1,11982,REVO,Inga,MATCH,1,2.03
cqJESUS,156,14,16,2,-2,109.0,24,1,1,0,11982,REVO,Inga,MATCH,1,2.03
MATHR,89,8,19,0,-11,59.8,44,1,5,-4,11982,REVO,Inga,MATCH,1,2.03
ceegu1N,276,25,12,3,13,161.7,18,3,1,2,11982,Inga,REVO,MATCH,1,2.03
Pernalonga,232,19,15,3,4,144.7,25,3,5,-2,11982,Inga,REVO,MATCH,1,2.03
jacobin,201,15,16,12,-1,124.5,26,2,2,0,11982,Inga,REVO,MATCH,1,2.03
patochovsk,188,14,17,6,-3,134.8,11,3,4,-1,11982,Inga,REVO,MATCH,1,2.03
ducK,168,13,15,7,-2,105.0,26,1,0,1,11982,Inga,REVO,MATCH,1,2.03
patochovsk,264,57,43,25,14,191.3,17,11,8,3,11986,Inga,fave,MATCH,3,2.03
Pernalonga,221,53,43,13,10,114.3,20,16,10,6,11986,Inga,fave,MATCH,3,2.03
ducK,213,49,38,20,11,148.4,19,3,1,2,11986,Inga,fave,MATCH,3,2.03
ceegu1N,171,38,40,18,-2,106.9,16,5,5,0,11986,Inga,fave,MATCH,3,2.03
jacobin,164,40,38,33,2,93.4,20,4,4,0,11986,Inga,fave,MATCH,3,2.03
aspas,220,51,45,11,6,133.5,22,5,8,-3,11986,fave,Inga,MATCH,3,2.03
LKSHOW,219,45,46,19,-1,139.9,19,5,1,4,11986,fave,Inga,MATCH,3,2.03
cad,172,42,48,8,-6,106.4,19,10,14,-4,11986,fave,Inga,MATCH,3,2.03
dio9x,160,32,46,12,-14,109.2,22,4,6,-2,11986,fave,Inga,MATCH,3,2.03
Nether,141,32,52,15,-20,87.4,21,4,10,-6,11986,fave,Inga,MATCH,3,2.03
Pernalonga,282,39,26,6,13,168.8,30,13,3,10,11988,Inga,K,MATCH,2,2.03
patochovsk,229,30,22,9,8,142.6,20,5,5,0,11988,Inga,K,MATCH,2,2.03
ceegu1N,218,33,21,13,12,124.3,16,3,1,2,11988,Inga,K,MATCH,2,2.03
ducK,204,28,25,9,3,123.5,31,2,1,1,11988,Inga,K,MATCH,2,2.03
jacobin,153,22,26,21,-4,94.4,30,2,4,-2,11988,Inga,K,MATCH,2,2.03
Nozwerr,276,37,28,16,9,170.7,20,2,1,1,11988,K,Inga,MATCH,2,2.03
Leox,203,23,32,11,-9,133.7,21,6,7,-1,11988,K,Inga,MATCH,2,2.03
spacca,171,23,31,7,-8,163.5,23,0,4,-4,11988,K,Inga,MATCH,2,2.03
BiDa,166,22,30,11,-8,98.3,19,5,7,-2,11988,K,Inga,MATCH,2,2.03
Tixinha,139,15,31,9,-16,98.3,24,1,6,-5,11988,K,Inga,MATCH,2,2.03
