Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
dio9x,6,3,0,0.0,0,1,1,0.0,0.0,63,1,2,8230,Inga,Real,ASCENT,1.14
Pernalonga,7,1,0,0.0,0,0,0,0.0,0.0,48,2,1,8230,Inga,Real,ASCENT,1.14
ceegu1N,5,1,1,0.0,0,1,0,0.0,0.0,70,2,1,8230,Inga,Real,ASCENT,1.14
jacobin,2,1,0,0.0,0,0,0,0.0,0.0,36,0,1,8230,Inga,Real,ASCENT,1.14
ducK,3,1,0,0.0,0,1,0,0.0,0.0,51,7,0,8230,Inga,Real,ASCENT,1.14
guiih9,3,0,0,0.0,1,0,0,0.0,0.0,38,3,1,8230,Real,Inga,ASCENT,1.14
inq,1,1,1,0.0,0,0,0,0.0,0.0,43,1,0,8230,Real,Inga,ASCENT,1.14
panzol,2,2,0,0.0,2,1,0,0.0,0.0,49,5,3,8230,Real,Inga,ASCENT,1.14
cfn,7,1,0,0.0,2,0,0,0.0,0.0,44,0,0,8230,Real,Inga,ASCENT,1.14
Gdz,7,1,0,0.0,0,0,0,0.0,0.0,54,3,1,8230,Real,Inga,ASCENT,1.14
dio9x,1,1,0.0,0.0,0,0,0.0,0.0,0.0,67,1,0,8243,Inga,P,SPLIT,1.14
Pernalonga,1,0,0.0,0.0,0,0,0.0,0.0,0.0,35,0,0,8243,Inga,P,SPLIT,1.14
ceegu1N,1,2,0.0,0.0,1,0,0.0,0.0,0.0,52,2,0,8243,Inga,P,SPLIT,1.14
jacobin,1,0,0.0,0.0,0,0,0.0,0.0,0.0,40,2,0,8243,Inga,P,SPLIT,1.14
ducK,1,0,0.0,0.0,0,0,0.0,0.0,0.0,29,0,0,8243,Inga,P,SPLIT,1.14
pavel,6,0,0.0,0.0,0,1,0.0,0.0,0.0,65,0,0,8243,P,Inga,SPLIT,1.14
mNdS,0,1,0.0,0.0,0,0,0.0,0.0,0.0,82,1,0,8243,P,Inga,SPLIT,1.14
zaxdeuS,3,1,0.0,0.0,0,0,0.0,0.0,0.0,41,0,0,8243,P,Inga,SPLIT,1.14
rpAiva,4,1,0.0,0.0,0,1,0.0,0.0,0.0,63,1,1,8243,P,Inga,SPLIT,1.14
fAk,3,0,0.0,0.0,0,1,0.0,0.0,0.0,67,1,2,8243,P,Inga,SPLIT,1.14
dio9x,2,1,0,0.0,1,0,0.0,0.0,0.0,52,2,1,8243,Inga,P,ASCENT,1.14
Pernalonga,1,1,1,0.0,0,0,0.0,0.0,0.0,43,0,1,8243,Inga,P,ASCENT,1.14
ceegu1N,4,0,0,0.0,0,0,0.0,0.0,0.0,56,5,1,8243,Inga,P,ASCENT,1.14
jacobin,6,0,0,0.0,0,1,0.0,0.0,0.0,48,2,2,8243,Inga,P,ASCENT,1.14
ducK,0,1,0,0.0,0,0,0.0,0.0,0.0,47,1,0,8243,Inga,P,ASCENT,1.14
pavel,3,1,1,0.0,0,0,0.0,0.0,0.0,66,0,2,8243,P,Inga,ASCENT,1.14
mNdS,7,1,0,0.0,1,1,0.0,0.0,0.0,74,5,1,8243,P,Inga,ASCENT,1.14
zaxdeuS,2,0,0,0.0,0,0,0.0,0.0,0.0,49,3,1,8243,P,Inga,ASCENT,1.14
rpAiva,3,0,0,0.0,0,0,0.0,0.0,0.0,38,0,0,8243,P,Inga,ASCENT,1.14
fAk,4,0,0,0.0,0,0,0.0,0.0,0.0,42,1,0,8243,P,Inga,ASCENT,1.14
dio9x,3,1,0,0.0,0,0,0.0,0.0,0.0,39,1,0,8243,Inga,P,BIND,1.14
Pernalonga,7,1,0,0.0,1,0,0.0,0.0,0.0,69,0,1,8243,Inga,P,BIND,1.14
ceegu1N,3,1,0,0.0,0,0,0.0,0.0,0.0,33,4,0,8243,Inga,P,BIND,1.14
jacobin,2,0,1,0.0,0,0,0.0,0.0,0.0,44,2,0,8243,Inga,P,BIND,1.14
ducK,6,1,1,0.0,0,0,0.0,0.0,0.0,77,1,1,8243,Inga,P,BIND,1.14
pavel,5,2,0,0.0,0,1,0.0,0.0,0.0,50,0,1,8243,P,Inga,BIND,1.14
mNdS,4,3,0,0.0,0,0,0.0,0.0,0.0,54,1,1,8243,P,Inga,BIND,1.14
zaxdeuS,2,1,0,0.0,0,0,0.0,0.0,0.0,64,2,3,8243,P,Inga,BIND,1.14
rpAiva,0,2,0,0.0,1,0,0.0,0.0,0.0,43,0,2,8243,P,Inga,BIND,1.14
fAk,2,0,0,0.0,0,0,0.0,0.0,0.0,28,2,0,8243,P,Inga,BIND,1.14
Nyang,1,0,0,0.0,0,0.0,0.0,0.0,0.0,59,4,0,6681,GL,Inga,HAVEN,1.12
fznnn,1,0,0,0.0,2,0.0,0.0,0.0,0.0,70,2,0,6681,GL,Inga,HAVEN,1.12
JhoW,4,1,0,0.0,0,0.0,0.0,0.0,0.0,74,3,0,6681,GL,Inga,HAVEN,1.12
Jonn,0,3,0,0.0,1,0.0,0.0,0.0,0.0,50,0,0,6681,GL,Inga,HAVEN,1.12
mwzera,0,3,1,0.0,0,0.0,0.0,0.0,0.0,59,0,0,6681,GL,Inga,HAVEN,1.12
dio9x,2,0,0,0.0,0,0.0,0.0,0.0,0.0,41,0,0,6681,Inga,GL,HAVEN,1.12
Pernalonga,3,0,0,0.0,0,0.0,0.0,0.0,0.0,45,1,0,6681,Inga,GL,HAVEN,1.12
ceegu1N,1,0,0,0.0,0,0.0,0.0,0.0,0.0,40,0,0,6681,Inga,GL,HAVEN,1.12
jacobin,3,0,1,0.0,0,0.0,0.0,0.0,0.0,54,0,0,6681,Inga,GL,HAVEN,1.12
ducK,3,0,1,0.0,0,0.0,0.0,0.0,0.0,50,0,1,6681,Inga,GL,HAVEN,1.12
Nyang,2,1,1,0.0,1,0,0.0,0.0,0.0,58,1,1,6681,GL,Inga,BIND,1.12
fznnn,2,0,0,0.0,0,0,0.0,0.0,0.0,45,2,1,6681,GL,Inga,BIND,1.12
JhoW,2,1,0,0.0,1,1,0.0,0.0,0.0,48,7,1,6681,GL,Inga,BIND,1.12
Jonn,2,1,0,0.0,0,0,0.0,0.0,0.0,31,0,0,6681,GL,Inga,BIND,1.12
mwzera,7,3,0,0.0,0,0,0.0,0.0,0.0,93,0,0,6681,GL,Inga,BIND,1.12
dio9x,3,0,0,0.0,0,0,0.0,0.0,0.0,48,0,0,6681,Inga,GL,BIND,1.12
Pernalonga,0,0,0,0.0,0,0,0.0,0.0,0.0,26,0,1,6681,Inga,GL,BIND,1.12
ceegu1N,1,0,0,0.0,0,0,0.0,0.0,0.0,22,2,0,6681,Inga,GL,BIND,1.12
jacobin,1,0,0,0.0,0,0,0.0,0.0,0.0,34,1,1,6681,Inga,GL,BIND,1.12
ducK,3,2,0,0.0,0,0,0.0,0.0,0.0,62,0,0,6681,Inga,GL,BIND,1.12
dio9x,6,0,0.0,0.0,0,0,0.0,0.0,0.0,63,1,1,5280,NMDM,FKL,SPLIT,1.12
Pernalonga,1,2,0.0,0.0,0,0,0.0,0.0,0.0,63,0,0,5280,NMDM,FKL,SPLIT,1.12
ceegu1N,3,0,0.0,0.0,0,1,0.0,0.0,0.0,50,0,1,5280,NMDM,FKL,SPLIT,1.12
jacobin,1,1,0.0,0.0,2,0,0.0,0.0,0.0,52,2,2,5280,NMDM,FKL,SPLIT,1.12
ducK,4,1,0.0,0.0,0,0,0.0,0.0,0.0,55,0,0,5280,NMDM,FKL,SPLIT,1.12
mch,2,0,0.0,0.0,1,0,0.0,0.0,0.0,44,1,0,5280,FKL,NMDM,SPLIT,1.12
pava,0,1,0.0,0.0,0,0,0.0,0.0,0.0,30,1,0,5280,FKL,NMDM,SPLIT,1.12
bld,1,0,0.0,0.0,0,0,0.0,0.0,0.0,37,2,0,5280,FKL,NMDM,SPLIT,1.12
qck,0,2,0.0,0.0,0,0,0.0,0.0,0.0,86,1,0,5280,FKL,NMDM,SPLIT,1.12
Khalil,1,0,0.0,0.0,0,0,0.0,0.0,0.0,48,0,0,5280,FKL,NMDM,SPLIT,1.12
dio9x,3,1,0,0,0,0,0.0,0.0,0.0,55,1,0,5280,NMDM,FKL,HAVEN,1.12
Pernalonga,0,1,1,0,0,0,0.0,0.0,0.0,64,1,0,5280,NMDM,FKL,HAVEN,1.12
ceegu1N,0,0,0,0,0,0,0.0,0.0,0.0,38,1,0,5280,NMDM,FKL,HAVEN,1.12
jacobin,1,1,1,0,0,0,0.0,0.0,0.0,59,1,0,5280,NMDM,FKL,HAVEN,1.12
ducK,2,0,0,0,0,0,0.0,0.0,0.0,26,2,0,5280,NMDM,FKL,HAVEN,1.12
mch,5,0,0,0,1,0,0.0,0.0,0.0,59,1,1,5280,FKL,NMDM,HAVEN,1.12
pava,1,0,0,0,1,0,0.0,0.0,0.0,38,0,0,5280,FKL,NMDM,HAVEN,1.12
bld,4,0,0,1,0,0,0.0,0.0,0.0,58,2,0,5280,FKL,NMDM,HAVEN,1.12
qck,1,3,1,0,0,0,0.0,0.0,0.0,63,0,1,5280,FKL,NMDM,HAVEN,1.12
Khalil,4,0,1,0,0,1,0.0,0.0,0.0,44,1,0,5280,FKL,NMDM,HAVEN,1.12
dio9x,3,0,0,0.0,1,0,0.0,0.0,0.0,26,1,0,5280,NMDM,FKL,ASCENT,1.12
Pernalonga,2,0,0,0.0,0,0,0.0,0.0,0.0,52,0,1,5280,NMDM,FKL,ASCENT,1.12
ceegu1N,6,1,0,0.0,2,0,0.0,0.0,0.0,62,1,1,5280,NMDM,FKL,ASCENT,1.12
jacobin,2,0,0,0.0,0,0,0.0,0.0,0.0,55,5,0,5280,NMDM,FKL,ASCENT,1.12
ducK,1,1,1,0.0,0,1,0.0,0.0,0.0,56,1,1,5280,NMDM,FKL,ASCENT,1.12
mch,4,0,0,0.0,0,0,0.0,0.0,0.0,48,1,0,5280,FKL,NMDM,ASCENT,1.12
pava,1,0,0,0.0,0,0,0.0,0.0,0.0,24,1,0,5280,FKL,NMDM,ASCENT,1.12
bld,3,1,1,0.0,0,0,0.0,0.0,0.0,46,2,1,5280,FKL,NMDM,ASCENT,1.12
qck,5,2,0,0.0,0,0,0.0,0.0,0.0,76,1,0,5280,FKL,NMDM,ASCENT,1.12
Khalil,3,0,0,0.0,0,0,0.0,0.0,0.0,66,4,0,5280,FKL,NMDM,ASCENT,1.12
NANZIN,3,1,0,0.0,0,0,0,0.0,0.0,48,4,0,5271,Vivo,NMDM,BIND,1.12
flainzz,2,0,0,0.0,1,0,0,0.0,0.0,34,1,0,5271,Vivo,NMDM,BIND,1.12
patochovsk,5,0,0,0.0,0,0,0,0.0,0.0,43,0,0,5271,Vivo,NMDM,BIND,1.12
FLG1,3,2,0,0.0,0,1,1,0.0,0.0,54,4,4,5271,Vivo,NMDM,BIND,1.12
NikkoLAN,2,1,0,0.0,0,0,0,0.0,0.0,38,0,0,5271,Vivo,NMDM,BIND,1.12
dio9x,3,0,0,0.0,2,0,0,0.0,0.0,48,2,2,5271,NMDM,Vivo,BIND,1.12
Pernalonga,2,2,0,0.0,0,0,0,0.0,0.0,30,0,0,5271,NMDM,Vivo,BIND,1.12
ceegu1N,4,1,1,0.0,0,0,0,0.0,0.0,66,4,0,5271,NMDM,Vivo,BIND,1.12
jacobin,6,1,0,0.0,0,1,0,0.0,0.0,54,4,1,5271,NMDM,Vivo,BIND,1.12
ducK,4,2,0,0.0,0,0,0,0.0,0.0,67,0,0,5271,NMDM,Vivo,BIND,1.12
NANZIN,2,0,0.0,0.0,1,0,0.0,0.0,0.0,43,1,0,5271,Vivo,NMDM,ASCENT,1.12
flainzz,5,0,0.0,0.0,0,0,0.0,0.0,0.0,45,0,0,5271,Vivo,NMDM,ASCENT,1.12
patochovsk,6,2,0.0,0.0,0,1,0.0,0.0,0.0,88,0,3,5271,Vivo,NMDM,ASCENT,1.12
FLG1,0,1,0.0,0.0,0,0,0.0,0.0,0.0,41,2,1,5271,Vivo,NMDM,ASCENT,1.12
