Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
dio9x,6.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,63,1,2,8230,Inga,Real,1.14,MATCH,1
Pernalonga,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,2,1,8230,Inga,Real,1.14,MATCH,1
ceegu1N,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,70,2,1,8230,Inga,Real,1.14,MATCH,1
jacobin,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,1,8230,Inga,Real,1.14,MATCH,1
ducK,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51,7,0,8230,Inga,Real,1.14,MATCH,1
guiih9,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38,3,1,8230,Real,Inga,1.14,MATCH,1
inq,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43,1,0,8230,Real,Inga,1.14,MATCH,1
panzol,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,49,5,3,8230,Real,Inga,1.14,MATCH,1
cfn,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,44,0,0,8230,Real,Inga,1.14,MATCH,1
Gdz,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,3,1,8230,Real,Inga,1.14,MATCH,1
dio9x,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,53,4,1,8243,Inga,P,1.14,MATCH,3
Pernalonga,9.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,49,0,2,8243,Inga,P,1.14,MATCH,3
ceegu1N,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47,11,1,8243,Inga,P,1.14,MATCH,3
jacobin,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,44,6,2,8243,Inga,P,1.14,MATCH,3
ducK,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51,2,1,8243,Inga,P,1.14,MATCH,3
pavel,14.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,60,0,3,8243,P,Inga,1.14,MATCH,3
mNdS,11.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,70,7,2,8243,P,Inga,1.14,MATCH,3
zaxdeuS,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,5,4,8243,P,Inga,1.14,MATCH,3
rpAiva,7.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,48,1,3,8243,P,Inga,1.14,MATCH,3
fAk,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46,4,2,8243,P,Inga,1.14,MATCH,3
Nyang,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,59,5,1,6681,GL,Inga,1.12,MATCH,2
fznnn,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,58,4,1,6681,GL,Inga,1.12,MATCH,2
JhoW,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,61,10,1,6681,GL,Inga,1.12,MATCH,2
Jonn,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41,0,0,6681,GL,Inga,1.12,MATCH,2
mwzera,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76,0,0,6681,GL,Inga,1.12,MATCH,2
dio9x,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0,0,6681,Inga,GL,1.12,MATCH,2
Pernalonga,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,1,1,6681,Inga,GL,1.12,MATCH,2
ceegu1N,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,0,6681,Inga,GL,1.12,MATCH,2
jacobin,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44,1,1,6681,Inga,GL,1.12,MATCH,2
ducK,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0,1,6681,Inga,GL,1.12,MATCH,2
dio9x,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,3,1,5280,NMDM,FKL,1.12,MATCH,3
