Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
IMP,0,2,0.0,4,0,0.0,2,0,0.0,2,0,0.0,10,5,50.0,paiN,1.0,,6527,ASCENT
paiN,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,13,8,62.0,IMP,1.0,,6527,ASCENT
IMP,1,2,50.0,5,1,20.0,0,0,,3,1,33.0,15,11,73.0,paiN,1.0,,6527,SPLIT
paiN,1,2,50.0,3,1,33.0,2,0,0.0,3,1,33.0,15,8,53.0,IMP,1.0,,6527,SPLIT
IMP,2,2,100.0,2,2,100.0,1,0,0.0,5,2,40.0,13,9,69.0,paiN,1.0,,6527,HAVEN
paiN,0,2,0.0,3,0,0.0,1,0,0.0,6,4,67.0,11,4,36.0,IMP,1.0,,6527,HAVEN
paiN,2,2,100.0,2,2,100.0,0,0,,8,5,62.0,10,6,60.0,ITZA,1.0,1.12,6054,BIND
ITZA,0,2,0.0,4,0,0.0,1,0,0.0,4,1,25.0,11,6,55.0,paiN,1.0,1.12,6054,BIND
paiN,2,2,100.0,2,2,100.0,0,0,,3,2,67.0,10,9,90.0,ITZA,1.0,1.12,6054,HAVEN
ITZA,0,2,0.0,4,0,0.0,3,0,0.0,1,0,0.0,7,2,29.0,paiN,1.0,1.12,6054,HAVEN
NOORG2.0,0,2,0.0,4,0,0.0,3,0,0.0,0,0,,11,5,45.0,FF,1.0,1.08,3235,BIND
FF,2,2,100.0,2,2,100.0,0,0,,6,6,100.0,10,5,50.0,NOORG2.0,1.0,1.08,3235,BIND
NOORG2.0,2,2,100.0,2,2,100.0,3,0,0.0,4,3,75.0,15,8,53.0,FF,1.0,1.08,3235,ASCENT
FF,0,2,0.0,4,0,0.0,2,0,0.0,4,3,75.0,14,8,57.0,NOORG2.0,1.0,1.08,3235,ASCENT
NOORG2.0,2,2,100.0,2,2,100.0,1,1,100.0,8,4,50.0,15,7,47.0,FF,1.0,1.08,3235,SPLIT
FF,0,2,0.0,4,0,0.0,2,1,50.0,2,2,100.0,18,9,50.0,NOORG2.0,1.0,1.08,3235,SPLIT
VIMDOLOL,0,2,0.0,4,0,0.0,2,1,50.0,6,3,50.0,12,7,58.0,NOORG2.0,1.0,1.08,3213,ASCENT
NOORG2.0,2,2,100.0,3,2,67.0,2,0,0.0,5,4,80.0,14,7,50.0,VIMDOLOL,1.0,1.08,3213,ASCENT
VIMDOLOL,1,2,50.0,3,1,33.0,1,0,0.0,5,2,40.0,14,10,71.0,NOORG2.0,1.0,1.08,3213,SPLIT
NOORG2.0,1,2,50.0,3,1,33.0,2,0,0.0,2,2,100.0,16,7,44.0,VIMDOLOL,1.0,1.08,3213,SPLIT
VIMDOLOL,1,2,50.0,3,1,33.0,2,0,0.0,5,2,40.0,10,4,40.0,NOORG2.0,1.0,1.08,3213,BIND
NOORG2.0,1,2,50.0,3,1,33.0,1,0,0.0,3,2,67.0,13,10,77.0,VIMDOLOL,1.0,1.08,3213,BIND
B4,0,2,0.0,4,0,0.0,2,0,0.0,2,1,50.0,13,7,54.0,NOORG2.0,1.0,1.08,3170,SPLIT
NOORG2.0,2,2,100.0,2,2,100.0,1,0,0.0,4,2,50.0,14,9,64.0,B4,1.0,1.08,3170,SPLIT
B4,0,2,0.0,4,0,0.0,1,0,0.0,3,1,33.0,10,4,40.0,NOORG2.0,1.0,1.08,3170,ASCENT
NOORG2.0,2,2,100.0,3,2,67.0,0,0,,3,2,67.0,12,9,75.0,B4,1.0,1.08,3170,ASCENT
FAKEZIN,1,2,50.0,3,1,33.0,0,0,,6,3,50.0,14,6,43.0,NOORG2.0,1.0,1.08,3143,HAVEN
NOORG2.0,1,2,50.0,3,1,33.0,3,0,0.0,1,1,100.0,16,11,69.0,FAKEZIN,1.0,1.08,3143,HAVEN
FAKEZIN,1,2,50.0,3,1,33.0,1,0,0.0,8,3,38.0,9,4,44.0,NOORG2.0,1.0,1.08,3143,SPLIT
NOORG2.0,1,2,50.0,3,1,33.0,1,0,0.0,1,1,100.0,16,11,69.0,FAKEZIN,1.0,1.08,3143,SPLIT
FKL,1,2,50.0,3,1,33.0,1,0,0.0,6,0,0.0,11,7,64.0,NOORG2.0,1.0,1.08,2978,SPLIT
NOORG2.0,1,2,50.0,3,2,67.0,1,0,0.0,3,2,67.0,14,9,64.0,FKL,1.0,1.08,2978,SPLIT
FKL,0,2,0.0,3,0,0.0,3,1,33.0,8,4,50.0,5,1,20.0,NOORG2.0,1.0,1.08,2978,BIND
NOORG2.0,2,2,100.0,2,2,100.0,0,0,,3,2,67.0,14,9,64.0,FKL,1.0,1.08,2978,BIND
