Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
IMP,3,6,50.0,11,3,27.0,3,0,0.0,10,3,30.0,38,25,66.0,paiN,3.0,,6527,MATCH
paiN,3,6,50.0,8,3,38.0,3,0,0.0,12,8,67.0,39,20,51.0,IMP,3.0,,6527,MATCH
paiN,4,4,100.0,4,4,100.0,0,0,,11,7,64.0,20,15,75.0,ITZA,2.0,1.12,6054,MATCH
ITZA,0,4,0.0,8,0,0.0,4,0,0.0,5,1,20.0,18,8,44.0,paiN,2.0,1.12,6054,MATCH
NOORG2.0,4,6,67.0,8,4,50.0,7,1,14.0,12,7,58.0,41,20,49.0,FF,3.0,1.08,3235,MATCH
FF,2,6,33.0,10,2,20.0,4,1,25.0,12,11,92.0,42,22,52.0,NOORG2.0,3.0,1.08,3235,MATCH
VIMDOLOL,2,6,33.0,10,2,20.0,5,1,20.0,16,7,44.0,36,21,58.0,NOORG2.0,3.0,1.08,3213,MATCH
NOORG2.0,4,6,67.0,9,4,44.0,5,0,0.0,10,8,80.0,43,24,56.0,VIMDOLOL,3.0,1.08,3213,MATCH
B4,0,4,0.0,8,0,0.0,3,0,0.0,5,2,40.0,23,11,48.0,NOORG2.0,2.0,1.08,3170,MATCH
NOORG2.0,4,4,100.0,5,4,80.0,1,0,0.0,7,4,57.0,26,18,69.0,B4,2.0,1.08,3170,MATCH
FAKEZIN,2,4,50.0,6,2,33.0,1,0,0.0,14,6,43.0,23,10,43.0,NOORG2.0,2.0,1.08,3143,MATCH
NOORG2.0,2,4,50.0,6,2,33.0,4,0,0.0,2,2,100.0,32,22,69.0,FAKEZIN,2.0,1.08,3143,MATCH
FKL,1,4,25.0,6,1,17.0,4,1,25.0,14,4,29.0,16,8,50.0,NOORG2.0,2.0,1.08,2978,MATCH
