Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
txddy,cypher,259,16,15,4,1,165.7,38,2,3,-1,6527,IMP,paiN,5,13,5,7,0,6,ASCENT,
rst,omen,240,13,14,5,-1,214.9,16,1,2,-1,6527,IMP,paiN,5,13,5,7,0,6,ASCENT,
tuyz,raze,186,9,14,6,-5,162.7,10,0,2,-2,6527,IMP,paiN,5,13,5,7,0,6,ASCENT,
Biscoit1n,jett,135,9,17,0,-8,84.0,30,1,4,-3,6527,IMP,paiN,5,13,5,7,0,6,ASCENT,
Evilkyk,sova,104,7,15,4,-8,72.3,30,1,2,-1,6527,IMP,paiN,5,13,5,7,0,6,ASCENT,
kon4n,sage,330,21,8,7,13,180.9,19,3,0,3,6527,paiN,IMP,13,5,6,0,7,5,ASCENT,
murizzz,sova,246,14,11,10,3,135.7,12,4,0,4,6527,paiN,IMP,13,5,6,0,7,5,ASCENT,
Txozin,omen,237,17,11,2,6,139.1,28,1,1,0,6527,paiN,IMP,13,5,6,0,7,5,ASCENT,
Veroneze,jett,189,13,13,3,0,102.2,26,3,3,0,6527,paiN,IMP,13,5,6,0,7,5,ASCENT,
matheuzin,cypher,137,10,11,0,-1,88.0,35,2,1,1,6527,paiN,IMP,13,5,6,0,7,5,ASCENT,
tuyz,raze,292,23,15,3,8,172.3,18,2,1,1,6527,IMP,paiN,13,10,4,7,9,3,SPLIT,
Evilkyk,killjoy,242,19,15,5,4,149.3,12,0,2,-2,6527,IMP,paiN,13,10,4,7,9,3,SPLIT,
Biscoit1n,jett,183,15,17,3,-2,94.0,9,3,6,-3,6527,IMP,paiN,13,10,4,7,9,3,SPLIT,
txddy,cypher,164,12,17,1,-5,107.9,21,0,4,-4,6527,IMP,paiN,13,10,4,7,9,3,SPLIT,
rst,omen,100,8,12,6,-4,49.5,16,1,4,-3,6527,IMP,paiN,13,10,4,7,9,3,SPLIT,
Veroneze,reyna,222,16,15,4,1,177.0,20,3,0,3,6527,paiN,IMP,10,13,3,9,7,4,SPLIT,
murizzz,raze,191,13,19,7,-6,123.5,22,5,3,2,6527,paiN,IMP,10,13,3,9,7,4,SPLIT,
kon4n,breach,188,16,11,7,5,132.0,33,0,0,0,6527,paiN,IMP,10,13,3,9,7,4,SPLIT,
Txozin,omen,184,18,16,2,2,103.4,36,4,1,3,6527,paiN,IMP,10,13,3,9,7,4,SPLIT,
matheuzin,cypher,162,13,16,3,-3,110.4,27,5,2,3,6527,paiN,IMP,10,13,3,9,7,4,SPLIT,
txddy,cypher,290,23,12,4,11,171.4,24,1,1,0,6527,IMP,paiN,13,8,10,2,3,6,HAVEN,
tuyz,reyna,272,20,13,9,7,174.1,25,3,2,1,6527,IMP,paiN,13,8,10,2,3,6,HAVEN,
Biscoit1n,jett,257,20,15,1,5,128.8,15,4,4,0,6527,IMP,paiN,13,8,10,2,3,6,HAVEN,
rst,omen,176,11,15,9,-4,116.8,14,1,2,-1,6527,IMP,paiN,13,8,10,2,3,6,HAVEN,
Evilkyk,sova,140,9,16,9,-7,82.3,16,1,2,-1,6527,IMP,paiN,13,8,10,2,3,6,HAVEN,
Txozin,omen,310,22,16,2,6,196.4,33,2,1,1,6527,paiN,IMP,8,13,6,3,2,10,HAVEN,
kon4n,phoenix,213,15,16,9,-1,177.4,25,2,2,0,6527,paiN,IMP,8,13,6,3,2,10,HAVEN,
murizzz,sova,197,10,19,6,-9,140.2,26,3,1,2,6527,paiN,IMP,8,13,6,3,2,10,HAVEN,
matheuzin,cypher,182,14,16,1,-2,108.1,24,2,3,-1,6527,paiN,IMP,8,13,6,3,2,10,HAVEN,
Veroneze,jett,138,10,16,4,-6,98.0,45,2,3,-1,6527,paiN,IMP,8,13,6,3,2,10,HAVEN,
matheuzin,cypher,297,25,8,4,17,152.5,36,5,1,4,6054,paiN,ITZA,13,7,8,4,5,3,BIND,
Veroneze,raze,255,18,10,7,8,170.1,23,1,2,-1,6054,paiN,ITZA,13,7,8,4,5,3,BIND,
Txozin,omen,249,17,10,4,7,161.3,29,2,1,1,6054,paiN,ITZA,13,7,8,4,5,3,BIND,
kon4n,phoenix,228,15,12,6,3,148.7,22,5,1,4,6054,paiN,ITZA,13,7,8,4,5,3,BIND,
murizzz,sova,139,9,9,5,0,81.4,13,1,1,0,6054,paiN,ITZA,13,7,8,4,5,3,BIND,
Isaa,killjoy,266,16,17,2,-1,185.5,29,3,2,1,6054,ITZA,paiN,7,13,3,5,4,8,BIND,
Shizue,viper,193,13,17,1,-4,126.2,16,1,1,0,6054,ITZA,paiN,7,13,3,5,4,8,BIND,
celinett,sova,163,9,15,5,-6,100.9,3,2,3,-1,6054,ITZA,paiN,7,13,3,5,4,8,BIND,
shyz,raze,105,6,18,2,-12,54.0,6,0,6,-6,6054,ITZA,paiN,7,13,3,5,4,8,BIND,
tayhuhu,omen,85,5,17,4,-12,59.2,14,0,2,-2,6054,ITZA,paiN,7,13,3,5,4,8,BIND,
matheuzin,cypher,279,14,9,5,5,172.2,37,2,2,0,6054,paiN,ITZA,13,2,3,0,10,2,HAVEN,
Txozin,omen,271,16,8,3,8,176.5,24,3,0,3,6054,paiN,ITZA,13,2,3,0,10,2,HAVEN,
Veroneze,jett,249,15,8,2,7,162.9,20,1,0,1,6054,paiN,ITZA,13,2,3,0,10,2,HAVEN,
murizzz,sova,247,14,6,6,8,120.0,17,0,1,-1,6054,paiN,ITZA,13,2,3,0,10,2,HAVEN,
kon4n,phoenix,190,12,5,1,7,118.5,28,5,1,4,6054,paiN,ITZA,13,2,3,0,10,2,HAVEN,
Isaa,brimstone,189,9,14,2,-5,123.1,16,1,1,0,6054,ITZA,paiN,2,13,2,10,0,3,HAVEN,
shyz,raze,172,8,14,2,-6,107.5,18,2,5,-3,6054,ITZA,paiN,2,13,2,10,0,3,HAVEN,
celinett,sova,166,7,15,4,-8,105.3,18,0,4,-4,6054,ITZA,paiN,2,13,2,10,0,3,HAVEN,
tayhuhu,skye,164,7,14,5,-7,80.3,15,1,1,0,6054,ITZA,paiN,2,13,2,10,0,3,HAVEN,
Shizue,killjoy,109,5,14,3,-9,86.1,13,0,0,0,6054,ITZA,paiN,2,13,2,10,0,3,HAVEN,
matheuzin,cypher,296,18,15,8,3,172.1,33,6,2,4,3235,NOOR,FF,5,13,5,7,0,6,BIND,
ole,sage,172,9,14,6,-5,116.2,22,0,0,0,3235,NOOR,FF,5,13,5,7,0,6,BIND,
murizzz,sova,172,11,15,3,-4,92.3,9,2,1,1,3235,NOOR,FF,5,13,5,7,0,6,BIND,
Txozin,brimstone,163,11,15,3,-4,111.7,21,3,1,2,3235,NOOR,FF,5,13,5,7,0,6,BIND,
kon4n,phoenix,140,7,17,4,-10,85.3,28,1,2,-1,3235,NOOR,FF,5,13,5,7,0,6,BIND,
v1xen,omen,383,27,8,3,19,230.5,44,1,1,0,3235,FF,NOOR,13,5,6,0,7,5,BIND,
krain,sova,238,14,10,9,4,145.9,6,1,1,0,3235,FF,NOOR,13,5,6,0,7,5,BIND,
dragonite,cypher,203,10,15,6,-5,139.6,29,1,2,-1,3235,FF,NOOR,13,5,6,0,7,5,BIND,
fzkk,raze,182,13,12,4,1,99.4,10,2,3,-1,3235,FF,NOOR,13,5,6,0,7,5,BIND,
delevingne,jett,174,12,11,3,1,93.9,6,1,5,-4,3235,FF,NOOR,13,5,6,0,7,5,BIND,
murizzz,jett,285,26,18,4,8,145.6,11,5,2,3,3235,NOOR,FF,13,11,8,4,5,7,ASCENT,
kon4n,sage,247,22,16,6,6,180.3,50,3,1,2,3235,NOOR,FF,13,11,8,4,5,7,ASCENT,
ole,sova,231,19,14,9,5,137.5,10,0,1,-1,3235,NOOR,FF,13,11,8,4,5,7,ASCENT,
Txozin,omen,172,14,18,6,-4,113.8,19,2,2,0,3235,NOOR,FF,13,11,8,4,5,7,ASCENT,
matheuzin,cypher,103,9,15,9,-6,66.1,23,2,6,-4,3235,NOOR,FF,13,11,8,4,5,7,ASCENT,
dragonite,cypher,243,20,19,3,1,140.5,25,3,1,2,3235,FF,NOOR,11,13,7,5,4,8,ASCENT,
krain,sova,228,19,16,6,3,143.8,14,1,1,0,3235,FF,NOOR,11,13,7,5,4,8,ASCENT,
v1xen,omen,211,17,16,6,1,136.2,17,3,2,1,3235,FF,NOOR,11,13,7,5,4,8,ASCENT,
delevingne,jett,152,14,18,1,-4,74.9,8,3,2,1,3235,FF,NOOR,11,13,7,5,4,8,ASCENT,
fzkk,raze,143,10,21,6,-11,97.4,7,2,6,-4,3235,FF,NOOR,11,13,7,5,4,8,ASCENT,
kon4n,raze,329,28,14,12,14,218.8,21,3,2,1,3235,NOOR,FF,14,12,7,5,5,7,SPLIT,
Txozin,omen,230,27,12,5,15,136.0,30,1,1,0,3235,NOOR,FF,14,12,7,5,5,7,SPLIT,
murizzz,jett,197,17,19,3,-2,112.4,8,6,3,3,3235,NOOR,FF,14,12,7,5,5,7,SPLIT,
ole,killjoy,152,12,16,6,-4,109.8,7,1,1,0,3235,NOOR,FF,14,12,7,5,5,7,SPLIT,
matheuzin,cypher,133,12,19,5,-7,87.2,19,5,3,2,3235,NOOR,FF,14,12,7,5,5,7,SPLIT,
delevingne,jett,240,22,19,3,3,151.2,15,4,10,-6,3235,FF,NOOR,12,14,7,5,5,7,SPLIT,
fzkk,raze,221,17,23,5,-6,149.4,12,2,2,0,3235,FF,NOOR,12,14,7,5,5,7,SPLIT,
v1xen,omen,202,17,19,9,-2,137.9,19,1,0,1,3235,FF,NOOR,12,14,7,5,5,7,SPLIT,
krain,breach,138,13,16,11,-3,87.7,18,1,1,0,3235,FF,NOOR,12,14,7,5,5,7,SPLIT,
dragonite,cypher,135,11,19,4,-8,86.7,10,2,3,-1,3235,FF,NOOR,12,14,7,5,5,7,SPLIT,
pollo,jett,234,19,21,4,-2,133.4,21,4,4,0,3213,VIMD,NOOR,11,13,3,9,8,4,ASCENT,
Sacy,sova,219,17,20,6,-3,140.0,23,1,2,-1,3213,VIMD,NOOR,11,13,3,9,8,4,ASCENT,
Masu,breach,212,18,20,7,-2,136.8,26,3,2,1,3213,VIMD,NOOR,11,13,3,9,8,4,ASCENT,
prozin,killjoy,147,11,19,1,-8,107.8,11,0,4,-4,3213,VIMD,NOOR,11,13,3,9,8,4,ASCENT,
pepa,omen,119,8,19,7,-11,91.7,25,0,4,-4,3213,VIMD,NOOR,11,13,3,9,8,4,ASCENT,
