Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
tuyz,250,52,42,18,10,170.1,18,5,5,0,6527,IMP,paiN,MATCH,3,
txddy,238,51,44,9,7,146.2,27,3,8,-5,6527,IMP,paiN,MATCH,3,
Biscoit1n,192,44,49,4,-5,102.9,16,8,14,-6,6527,IMP,paiN,MATCH,3,
rst,172,32,41,20,-9,120.3,15,3,8,-5,6527,IMP,paiN,MATCH,3,
Evilkyk,162,35,46,18,-11,104.3,15,2,6,-4,6527,IMP,paiN,MATCH,3,
kon4n,244,52,35,23,17,161.6,25,5,2,3,6527,paiN,IMP,MATCH,3,
Txozin,244,57,43,6,14,145.3,32,7,3,4,6527,paiN,IMP,MATCH,3,
murizzz,211,37,49,23,-12,132.7,20,12,4,8,6527,paiN,IMP,MATCH,3,
Veroneze,183,39,44,11,-5,128.5,29,8,6,2,6527,paiN,IMP,MATCH,3,
matheuzin,160,37,43,4,-6,103.1,28,9,6,3,6527,paiN,IMP,MATCH,3,
matheuzin,288,39,17,9,22,160.9,36,7,3,4,6054,paiN,ITZA,MATCH,2,1.12
Txozin,260,33,18,7,15,167.8,27,5,1,4,6054,paiN,ITZA,MATCH,2,1.12
Veroneze,252,33,18,9,15,167.0,22,2,2,0,6054,paiN,ITZA,MATCH,2,1.12
kon4n,209,27,17,7,10,135.7,24,10,2,8,6054,paiN,ITZA,MATCH,2,1.12
murizzz,193,23,15,11,8,97.9,16,1,2,-1,6054,paiN,ITZA,MATCH,2,1.12
isa,228,25,31,4,-6,158.7,25,4,3,1,6054,ITZA,paiN,MATCH,2,1.12
celinett,165,16,30,9,-14,102.8,9,2,7,-5,6054,ITZA,paiN,MATCH,2,1.12
Shizue,151,18,31,4,-13,109.0,15,1,1,0,6054,ITZA,paiN,MATCH,2,1.12
shyz,139,14,32,4,-18,76.9,12,2,11,-9,6054,ITZA,paiN,MATCH,2,1.12
tayhuhu,125,12,31,9,-19,68.2,15,1,3,-2,6054,ITZA,paiN,MATCH,2,1.12
kon4n,239,57,47,22,10,169.9,31,7,5,2,3235,NOOR,FF,MATCH,3,1.08
murizzz,218,54,52,10,2,118.8,10,13,6,7,3235,NOOR,FF,MATCH,3,1.08
Txozin,188,52,45,14,7,121.8,24,6,4,2,3235,NOOR,FF,MATCH,3,1.08
ole,185,40,44,21,-4,121.3,11,1,2,-1,3235,NOOR,FF,MATCH,3,1.08
matheuzin,177,39,49,22,-10,102.2,26,13,11,2,3235,NOOR,FF,MATCH,3,1.08
v1xen,265,61,43,18,18,161.8,26,5,3,2,3235,FF,NOOR,MATCH,3,1.08
krain,201,46,42,26,4,122.9,12,3,3,0,3235,FF,NOOR,MATCH,3,1.08
dragonite,194,41,53,13,-12,119.7,21,6,6,0,3235,FF,NOOR,MATCH,3,1.08
delevingne,189,48,48,7,0,109.1,11,8,17,-9,3235,FF,NOOR,MATCH,3,1.08
fzkk,182,40,56,15,-16,117.8,10,6,11,-5,3235,FF,NOOR,MATCH,3,1.08
pollo,271,60,50,9,10,155.1,21,11,12,-1,3213,VIMD,NOOR,MATCH,3,1.08
Sacy,234,57,47,13,10,143.8,27,6,7,-1,3213,VIMD,NOOR,MATCH,3,1.08
prozin,161,37,49,11,-12,106.1,16,2,8,-6,3213,VIMD,NOOR,MATCH,3,1.08
Masu,157,37,52,29,-15,105.8,18,3,2,1,3213,VIMD,NOOR,MATCH,3,1.08
pepa,133,26,54,16,-28,86.4,16,7,9,-2,3213,VIMD,NOOR,MATCH,3,1.08
murizzz,223,52,41,18,11,135.1,19,8,8,0,3213,NOOR,VIMD,MATCH,3,1.08
matheuzin,218,53,47,23,6,138.2,29,9,7,2,3213,NOOR,VIMD,MATCH,3,1.08
ole,208,51,40,29,11,132.2,16,6,0,6,3213,NOOR,VIMD,MATCH,3,1.08
kon4n,203,49,42,24,7,138.7,21,7,7,0,3213,NOOR,VIMD,MATCH,3,1.08
Txozin,187,46,49,11,-3,141.6,17,8,7,1,3213,NOOR,VIMD,MATCH,3,1.08
pancada,225,31,25,6,6,141.7,23,4,4,0,3170,B4,NOOR,MATCH,2,1.08
akemy,208,26,28,14,-2,138.6,23,2,2,0,3170,B4,NOOR,MATCH,2,1.08
frz,199,26,29,11,-3,128.7,16,3,4,-1,3170,B4,NOOR,MATCH,2,1.08
xand,174,22,33,6,-11,103.5,19,8,7,1,3170,B4,NOOR,MATCH,2,1.08
v1nny,134,17,31,6,-14,86.7,22,0,5,-5,3170,B4,NOOR,MATCH,2,1.08
murizzz,260,41,26,4,15,177.5,16,5,2,3,3170,NOOR,B4,MATCH,2,1.08
