Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
rst,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,16.0,2.0,6527,IMP,paiN,,MATCH,3
Evilkyk,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,1.0,3.0,6527,IMP,paiN,,MATCH,3
tuyz,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,75.0,0.0,2.0,6527,IMP,paiN,,MATCH,3
Biscoit1n,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,6527,IMP,paiN,,MATCH,3
txddy,10.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,56.0,2.0,4.0,6527,IMP,paiN,,MATCH,3
murizzz,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,3.0,6527,paiN,IMP,,MATCH,3
Txozin,6.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,8.0,0.0,6527,paiN,IMP,,MATCH,3
matheuzin,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,7.0,2.0,6527,paiN,IMP,,MATCH,3
kon4n,5.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,72.0,5.0,2.0,6527,paiN,IMP,,MATCH,3
Veroneze,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,4.0,0.0,6527,paiN,IMP,,MATCH,3
murizzz,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,2.0,1.0,6054,paiN,ITZA,1.12,MATCH,2
ole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6054,paiN,ITZA,1.12,MATCH,2
Txozin,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81.0,7.0,2.0,6054,paiN,ITZA,1.12,MATCH,2
matheuzin,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,6.0,0.0,6054,paiN,ITZA,1.12,MATCH,2
kon4n,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0,6054,paiN,ITZA,1.12,MATCH,2
Veroneze,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69.0,1.0,0.0,6054,paiN,paiN,1.12,MATCH,2
celinett,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,3.0,0.0,6054,ITZA,paiN,1.12,MATCH,2
isa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6054,ITZA,paiN,1.12,MATCH,2
tayhuhu,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,2.0,6054,ITZA,paiN,1.12,MATCH,2
shyz,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,0.0,1.0,6054,ITZA,paiN,1.12,MATCH,2
Shizue,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,1.0,6054,ITZA,,1.12,MATCH,2
Isaa,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,1.0,6054,ITZA,,1.12,MATCH,2
murizzz,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,1.0,3235,NOOR,FF,1.08,MATCH,3
ole,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,9.0,2.0,3235,NOOR,FF,1.08,MATCH,3
Txozin,10.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,2.0,2.0,3235,NOOR,FF,1.08,MATCH,3
matheuzin,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,1.0,3235,NOOR,FF,1.08,MATCH,3
kon4n,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,3.0,3235,NOOR,FF,1.08,MATCH,3
v1xen,9.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,77.0,20.0,2.0,3235,FF,NOOR,1.08,MATCH,3
