Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
DLWZK,1,2,50.0,3,2,67.0,0,0,,2,1,50.0,16,10,62.0,Rise,1.0,2.01,8611,ICEBOX
Rise,1,2,50.0,3,1,33.0,3,0,0.0,3,1,33.0,12,6,50.0,DLWZK,1.0,2.01,8611,ICEBOX
DLWZK,1,2,50.0,3,2,67.0,0,0,,3,2,67.0,15,12,80.0,Rise,1.0,2.01,8611,ASCENT
Rise,1,2,50.0,3,1,33.0,3,0,0.0,5,1,20.0,10,3,30.0,DLWZK,1.0,2.01,8611,ASCENT
DLWZK,2,2,100.0,3,2,67.0,2,0,0.0,9,6,67.0,10,3,30.0,Rise,1.0,2.01,8611,BIND
Rise,0,2,0.0,3,0,0.0,1,0,0.0,4,4,100.0,16,9,56.0,DLWZK,1.0,2.01,8611,BIND
DLWZK,1,2,50.0,2,1,50.0,0,0,,5,3,60.0,11,9,82.0,Rise,1.0,2.01,8611,SPLIT
Rise,1,2,50.0,3,1,33.0,2,0,0.0,6,0,0.0,7,4,57.0,DLWZK,1.0,2.01,8611,SPLIT
Rise,0,2,0.0,4,0,0.0,2,0,0.0,2,1,50.0,12,6,50.0,ATHZ,1.0,2.01,8610,HAVEN
ATHZ,2,2,100.0,2,2,100.0,0,0,,6,5,83.0,12,6,50.0,Rise,1.0,2.01,8610,HAVEN
Rise,1,2,50.0,3,1,33.0,1,0,0.0,6,5,83.0,11,7,64.0,ATHZ,1.0,2.01,8610,ICEBOX
ATHZ,1,2,50.0,3,1,33.0,2,0,0.0,5,2,40.0,11,5,45.0,Rise,1.0,2.01,8610,ICEBOX
Rise,0,2,0.0,4,0,0.0,1,0,0.0,1,1,100.0,17,12,71.0,ATHZ,1.0,2.01,8610,BIND
ATHZ,2,2,100.0,2,2,100.0,2,1,50.0,6,3,50.0,13,4,31.0,Rise,1.0,2.01,8610,BIND
Rise,1,2,50.0,3,1,33.0,0,0,,5,4,80.0,13,8,62.0,aim hor$e,1.0,,8607,HAVEN
aim hor$e,1,2,50.0,3,1,33.0,1,1,100.0,6,2,33.0,11,4,36.0,Rise,1.0,,8607,HAVEN
Rise,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,11,10,91.0,aim hor$e,1.0,,8607,ASCENT
aim hor$e,1,2,50.0,3,1,33.0,1,0,0.0,9,2,22.0,3,0,0.0,Rise,1.0,,8607,ASCENT
