Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
DLWZK,5,8,62.0,11,7,64.0,2,0,0.0,19,12,63.0,52,34,65.0,Rise,4.0,2.01,8611,MATCH
Rise,3,8,38.0,12,3,25.0,9,0,0.0,18,6,33.0,45,22,49.0,DLWZK,4.0,2.01,8611,MATCH
Rise,1,6,17.0,11,1,9.0,4,0,0.0,9,7,78.0,40,25,62.0,ATHZ,3.0,2.01,8610,MATCH
ATHZ,5,6,83.0,7,5,71.0,4,1,25.0,17,10,59.0,36,15,42.0,Rise,3.0,2.01,8610,MATCH
Rise,2,4,50.0,6,2,33.0,0,0,,7,6,86.0,24,18,75.0,aim hor$e,2.0,,8607,MATCH
aim hor$e,2,4,50.0,6,2,33.0,2,1,50.0,15,4,27.0,14,4,29.0,Rise,2.0,,8607,MATCH
RED,1,4,25.0,5,1,20.0,5,1,20.0,12,6,50.0,32,15,47.0,Rise,2.0,2.02,10294,MATCH
Rise,3,4,75.0,7,3,43.0,1,0,0.0,9,4,44.0,37,24,65.0,RED,2.0,2.02,10294,MATCH
JAG,2,6,33.0,10,2,20.0,8,2,25.0,14,10,71.0,28,10,36.0,Rise,3.0,2.02,10266,MATCH
Rise,4,6,67.0,9,4,44.0,3,1,33.0,15,8,53.0,33,23,70.0,JAG,3.0,2.02,10266,MATCH
RED,1,4,25.0,5,1,20.0,5,1,20.0,12,6,50.0,32,15,47.0,Rise,2.0,2.02,10294,MATCH
Rise,3,4,75.0,7,3,43.0,1,0,0.0,9,4,44.0,37,24,65.0,RED,2.0,2.02,10294,MATCH
IMP,1,2,50.0,3,1,33.0,3,1,33.0,3,2,67.0,13,5,38.0,Rise,1.0,2.02,10339,MATCH
Rise,1,2,50.0,3,1,33.0,2,0,0.0,4,3,75.0,13,9,69.0,IMP,1.0,2.02,10339,MATCH
Rise,1,4,25.0,6,1,17.0,5,0,0.0,10,4,40.0,17,7,41.0,GLB,2.0,2.02,10343,MATCH
GLB,3,4,75.0,4,3,75.0,3,3,100.0,10,5,50.0,21,15,71.0,Rise,2.0,2.02,10343,MATCH
Rise,2,4,50.0,7,2,29.0,5,0,0.0,6,2,33.0,21,9,43.0,FUR,2.0,2.02,10347,MATCH
