Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
fluyr,sage,277,21,13,11,8,159.9,19,4,0,4,8611,DLWZK,Rise,13,8,8,4,5,4,ICEBOX,
BRNWOWZK1,raze,263,19,17,7,2,139.4,23,2,3,-1,8611,DLWZK,Rise,13,8,8,4,5,4,ICEBOX,
heat,jett,234,18,15,4,3,147.4,26,4,3,1,8611,DLWZK,Rise,13,8,8,4,5,4,ICEBOX,
zam,omen,217,16,16,5,0,143.3,18,1,4,-3,8611,DLWZK,Rise,13,8,8,4,5,4,ICEBOX,
rhamurti,sova,208,16,13,11,3,141.7,15,0,0,0,8611,DLWZK,Rise,13,8,8,4,5,4,ICEBOX,
glym,jett,250,17,19,6,-2,162.5,12,3,3,0,8611,Rise,DLWZK,8,13,4,5,4,8,ICEBOX,
DmL,reyna,241,16,18,7,-2,155.0,27,2,2,0,8611,Rise,DLWZK,8,13,4,5,4,8,ICEBOX,
Slag,sage,214,16,19,6,-3,128.5,36,3,5,-2,8611,Rise,DLWZK,8,13,4,5,4,8,ICEBOX,
leonzhet,sova,200,14,17,3,-3,134.8,39,1,0,1,8611,Rise,DLWZK,8,13,4,5,4,8,ICEBOX,
GuhRVN,brimstone,161,11,17,7,-6,99.0,10,1,1,0,8611,Rise,DLWZK,8,13,4,5,4,8,ICEBOX,
heat,jett,366,21,10,4,11,233.5,25,4,2,2,8611,DLWZK,Rise,13,2,3,0,10,2,ASCENT,
BRNWOWZK1,raze,280,14,8,8,6,168.5,21,0,0,0,8611,DLWZK,Rise,13,2,3,0,10,2,ASCENT,
rhamurti,sova,202,12,6,7,6,194.1,36,2,0,2,8611,DLWZK,Rise,13,2,3,0,10,2,ASCENT,
fluyr,killjoy,192,11,4,3,7,126.7,26,1,2,-1,8611,DLWZK,Rise,13,2,3,0,10,2,ASCENT,
zam,omen,142,7,10,5,-3,99.9,28,3,1,2,8611,DLWZK,Rise,13,2,3,0,10,2,ASCENT,
glym,jett,260,13,12,3,1,153.9,18,4,1,3,8611,Rise,DLWZK,2,13,2,10,0,3,ASCENT,
GuhRVN,brimstone,146,7,13,4,-6,72.3,17,0,1,-1,8611,Rise,DLWZK,2,13,2,10,0,3,ASCENT,
Slag,cypher,133,7,13,3,-6,76.3,37,0,1,-1,8611,Rise,DLWZK,2,13,2,10,0,3,ASCENT,
DmL,reyna,130,6,14,2,-8,84.1,17,0,6,-6,8611,Rise,DLWZK,2,13,2,10,0,3,ASCENT,
leonzhet,sova,119,5,13,3,-8,72.2,9,1,1,0,8611,Rise,DLWZK,2,13,2,10,0,3,ASCENT,
heat,jett,274,22,18,7,4,174.5,32,6,4,2,8611,DLWZK,Rise,11,13,5,7,6,6,BIND,
BRNWOWZK1,raze,271,23,14,6,9,153.1,15,0,2,-2,8611,DLWZK,Rise,11,13,5,7,6,6,BIND,
rhamurti,sova,200,15,18,8,-3,131.6,14,2,1,1,8611,DLWZK,Rise,11,13,5,7,6,6,BIND,
zam,omen,199,17,19,8,-2,109.8,15,1,3,-2,8611,DLWZK,Rise,11,13,5,7,6,6,BIND,
fluyr,cypher,87,6,16,6,-10,66.8,19,1,4,-3,8611,DLWZK,Rise,11,13,5,7,6,6,BIND,
glym,jett,259,21,17,7,4,167.1,17,3,1,2,8611,Rise,DLWZK,13,11,6,6,7,5,BIND,
Slag,cypher,245,21,19,4,2,137.7,28,5,3,2,8611,Rise,DLWZK,13,11,6,6,7,5,BIND,
DmL,reyna,216,20,15,4,5,164.1,16,5,2,3,8611,Rise,DLWZK,13,11,6,6,7,5,BIND,
leonzhet,sova,173,13,17,6,-4,103.5,16,1,0,1,8611,Rise,DLWZK,13,11,6,6,7,5,BIND,
GuhRVN,brimstone,136,10,15,6,-5,94.2,13,0,4,-4,8611,Rise,DLWZK,13,11,6,6,7,5,BIND,
heat,jett,314,22,11,2,11,174.9,41,5,3,2,8611,DLWZK,Rise,13,5,5,1,7,4,SPLIT,
