Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
heat,297,83,54,17,29,178.6,31,19,12,7,8611,DLWZK,Rise,MATCH,4,2.01
BRNWOWZK1,277,74,48,26,26,157.6,19,4,7,-3,8611,DLWZK,Rise,MATCH,4,2.01
rhamurti,202,54,46,32,8,148.6,20,6,1,5,8611,DLWZK,Rise,MATCH,4,2.01
fluyr,187,52,42,22,10,112.8,20,6,7,-1,8611,DLWZK,Rise,MATCH,4,2.01
zam,178,50,59,23,-9,112.8,19,6,10,-4,8611,DLWZK,Rise,MATCH,4,2.01
glym,266,71,63,18,8,163.3,17,13,5,8,8611,Rise,DLWZK,MATCH,4,2.01
Slag,182,49,67,21,-18,112.4,28,11,12,-1,8611,Rise,DLWZK,MATCH,4,2.01
leonzhet,182,46,60,14,-14,132.3,27,5,3,2,8611,Rise,DLWZK,MATCH,4,2.01
DmL,171,48,62,14,-14,124.7,19,7,12,-5,8611,Rise,DLWZK,MATCH,4,2.01
GuhRVN,144,35,61,21,-26,87.9,13,1,9,-8,8611,Rise,DLWZK,MATCH,4,2.01
glym,263,56,44,8,12,156.8,16,9,8,1,8610,Rise,ATHZ,MATCH,3,2.01
GuhRVN,249,56,40,13,16,150.0,23,8,2,6,8610,Rise,ATHZ,MATCH,3,2.01
leonzhet,192,43,38,18,5,129.1,25,1,7,-6,8610,Rise,ATHZ,MATCH,3,2.01
Slag,178,38,45,17,-7,110.1,22,6,8,-2,8610,Rise,ATHZ,MATCH,3,2.01
DmL,150,30,49,18,-19,100.3,22,6,9,-3,8610,Rise,ATHZ,MATCH,3,2.01
kato,229,49,42,17,7,141.7,15,7,2,5,8610,ATHZ,Rise,MATCH,3,2.01
vtrg0d,193,43,44,19,-1,123.4,17,4,7,-3,8610,ATHZ,Rise,MATCH,3,2.01
PxL,192,43,49,19,-6,115.6,22,7,11,-4,8610,ATHZ,Rise,MATCH,3,2.01
BladeZ,190,43,45,14,-2,109.2,31,7,6,1,8610,ATHZ,Rise,MATCH,3,2.01
REPOW,166,38,43,19,-5,102.2,23,9,4,5,8610,ATHZ,Rise,MATCH,3,2.01
GuhRVN,259,31,20,15,11,167.9,18,4,1,3,8607,Rise,aim,MATCH,2,
Slag,248,34,27,8,7,140.4,39,9,4,5,8607,Rise,aim,MATCH,2,
glym,235,30,24,7,6,129.9,13,6,2,4,8607,Rise,aim,MATCH,2,
leonzhet,226,28,19,21,9,122.1,25,1,3,-2,8607,Rise,aim,MATCH,2,
DmL,195,29,19,9,10,146.8,17,4,3,1,8607,Rise,aim,MATCH,2,
chase,285,32,32,8,0,169.2,21,5,6,-1,8607,aim,Rise,MATCH,2,
havoc,198,22,32,9,-10,109.7,14,4,6,-2,8607,aim,Rise,MATCH,2,
