Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
BRNWOWZK1,4,2,0,0.0,0,0,0,0.0,0.0,50,0,0,8611,DLWZ,Rise,ICEBOX,2.01
fluyr,4,1,0,0.0,0,1,0,0.0,0.0,65,6,1,8611,DLWZ,Rise,ICEBOX,2.01
rhamurti,5,0,0,0.0,0,0,0,0.0,0.0,61,0,2,8611,DLWZ,Rise,ICEBOX,2.01
zam,2,1,1,0.0,0,1,0,0.0,0.0,52,0,1,8611,DLWZ,Rise,ICEBOX,2.01
heat,3,2,0,0.0,0,0,0,0.0,0.0,58,0,0,8611,DLWZ,Rise,ICEBOX,2.01
GuhRVN,1,0,0,0.0,0,1,1,0.0,0.0,40,6,0,8611,Rise,DLWZ,ICEBOX,2.01
leonzhet,4,0,0,0.0,0,0,0,0.0,0.0,53,0,2,8611,Rise,DLWZ,ICEBOX,2.01
DmL,2,1,0,0.0,1,0,0,0.0,0.0,60,0,0,8611,Rise,DLWZ,ICEBOX,2.01
glym,2,2,0,0.0,0,0,0,0.0,0.0,62,1,0,8611,Rise,DLWZ,ICEBOX,2.01
Slag,3,1,0,0.0,0,0,0,0.0,0.0,45,0,0,8611,Rise,DLWZ,ICEBOX,2.01
BRNWOWZK1,2,2,0,0.0,0.0,0,0,0.0,0.0,76,0,0,8611,DLWZ,Rise,ASCENT,2.01
fluyr,2,0,0,0.0,0.0,1,0,0.0,0.0,100,5,0,8611,DLWZ,Rise,ASCENT,2.01
rhamurti,2,1,0,0.0,0.0,0,0,0.0,0.0,97,4,0,8611,DLWZ,Rise,ASCENT,2.01
zam,0,0,1,0.0,0.0,0,0,0.0,0.0,41,0,0,8611,DLWZ,Rise,ASCENT,2.01
heat,2,2,1,0.0,0.0,0,1,0.0,0.0,79,0,1,8611,DLWZ,Rise,ASCENT,2.01
GuhRVN,2,0,0,0.0,0.0,0,0,0.0,0.0,30,1,0,8611,Rise,DLWZ,ASCENT,2.01
leonzhet,0,0,0,0.0,0.0,0,0,0.0,0.0,28,0,0,8611,Rise,DLWZ,ASCENT,2.01
DmL,2,0,0,0.0,0.0,0,0,0.0,0.0,35,0,0,8611,Rise,DLWZ,ASCENT,2.01
glym,4,0,0,0.0,0.0,0,0,0.0,0.0,69,0,1,8611,Rise,DLWZ,ASCENT,2.01
Slag,1,0,0,0.0,0.0,0,0,0.0,0.0,31,0,0,8611,Rise,DLWZ,ASCENT,2.01
BRNWOWZK1,5,3,0,0.0,1,0,0.0,0.0,0.0,66,0,0,8611,DLWZ,Rise,BIND,2.01
fluyr,2,0,0,0.0,0,0,0.0,0.0,0.0,27,4,0,8611,DLWZ,Rise,BIND,2.01
rhamurti,3,2,0,0.0,0,0,0.0,0.0,0.0,50,0,0,8611,DLWZ,Rise,BIND,2.01
zam,2,0,1,0.0,0,1,0.0,0.0,0.0,45,3,0,8611,DLWZ,Rise,BIND,2.01
heat,8,0,0,0.0,0,0,0.0,0.0,0.0,68,0,1,8611,DLWZ,Rise,BIND,2.01
GuhRVN,0,1,0,0.0,0,0,0.0,0.0,0.0,44,5,1,8611,Rise,DLWZ,BIND,2.01
leonzhet,2,1,0,0.0,0,0,0.0,0.0,0.0,38,0,1,8611,Rise,DLWZ,BIND,2.01
DmL,4,0,1,0.0,1,0,0.0,0.0,0.0,63,2,0,8611,Rise,DLWZ,BIND,2.01
glym,5,0,1,0.0,0,0,0.0,0.0,0.0,75,0,0,8611,Rise,DLWZ,BIND,2.01
Slag,3,2,0,0.0,0,0,0.0,0.0,0.0,47,0,0,8611,Rise,DLWZ,BIND,2.01
BRNWOWZK1,4,2,0,0,0,1,0.0,0.0,0.0,77,3,0,8611,DLWZ,Rise,SPLIT,2.01
fluyr,2,1,0,0,2,0,0.0,0.0,0.0,42,5,0,8611,DLWZ,Rise,SPLIT,2.01
rhamurti,3,0,0,0,0,0,0.0,0.0,0.0,67,1,1,8611,DLWZ,Rise,SPLIT,2.01
zam,2,0,0,0,0,0,0.0,0.0,0.0,33,0,0,8611,DLWZ,Rise,SPLIT,2.01
heat,5,1,1,0,0,0,0.0,0.0,0.0,71,0,1,8611,DLWZ,Rise,SPLIT,2.01
GuhRVN,2,0,0,0,1,0,0.0,0.0,0.0,33,1,0,8611,Rise,DLWZ,SPLIT,2.01
leonzhet,1,2,0,0,1,0,0.0,0.0,0.0,87,1,1,8611,Rise,DLWZ,SPLIT,2.01
DmL,1,0,0,0,0,0,0.0,0.0,0.0,31,0,0,8611,Rise,DLWZ,SPLIT,2.01
glym,3,2,0,1,0,0,0.0,0.0,0.0,77,0,1,8611,Rise,DLWZ,SPLIT,2.01
Slag,0,0,0,0,0,0,0.0,0.0,0.0,35,1,0,8611,Rise,DLWZ,SPLIT,2.01
GuhRVN,1,1,0.0,0.0,0,0,0,0.0,0.0,44,4,0,8610,Rise,ATHZ,HAVEN,2.01
leonzhet,1,1,0.0,0.0,0,0,1,0.0,0.0,57,0,1,8610,Rise,ATHZ,HAVEN,2.01
DmL,1,0,0.0,0.0,0,0,0,0.0,0.0,29,0,0,8610,Rise,ATHZ,HAVEN,2.01
glym,5,1,0.0,0.0,0,0,0,0.0,0.0,74,4,0,8610,Rise,ATHZ,HAVEN,2.01
Slag,0,0,0.0,0.0,0,0,0,0.0,0.0,34,1,0,8610,Rise,ATHZ,HAVEN,2.01
BladeZ,3,1,0.0,0.0,0,0,0,0.0,0.0,44,1,0,8610,ATHZ,Rise,HAVEN,2.01
PxL,5,0,0.0,0.0,0,0,0,0.0,0.0,38,5,0,8610,ATHZ,Rise,HAVEN,2.01
vtrg0d,4,1,0.0,0.0,0,1,0,0.0,0.0,64,1,0,8610,ATHZ,Rise,HAVEN,2.01
REPOW,3,0,0.0,0.0,1,0,0,0.0,0.0,41,1,2,8610,ATHZ,Rise,HAVEN,2.01
kato,3,1,0.0,0.0,0,0,0,0.0,0.0,56,0,1,8610,ATHZ,Rise,HAVEN,2.01
GuhRVN,5,2,0.0,0.0,0,1,0.0,0.0,0.0,71,6,2,8610,Rise,ATHZ,ICEBOX,2.01
leonzhet,2,1,0.0,0.0,1,0,0.0,0.0,0.0,70,1,1,8610,Rise,ATHZ,ICEBOX,2.01
DmL,2,0,0.0,0.0,0,0,0.0,0.0,0.0,28,0,0,8610,Rise,ATHZ,ICEBOX,2.01
glym,7,2,0.0,0.0,0,0,0.0,0.0,0.0,89,2,0,8610,Rise,ATHZ,ICEBOX,2.01
Slag,6,1,0.0,0.0,0,0,0.0,0.0,0.0,53,0,1,8610,Rise,ATHZ,ICEBOX,2.01
BladeZ,2,1,0.0,0.0,0,0,0.0,0.0,0.0,40,6,0,8610,ATHZ,Rise,ICEBOX,2.01
PxL,1,0,0.0,0.0,0,0,0.0,0.0,0.0,54,0,0,8610,ATHZ,Rise,ICEBOX,2.01
vtrg0d,3,0,0.0,0.0,0,0,0.0,0.0,0.0,52,3,1,8610,ATHZ,Rise,ICEBOX,2.01
REPOW,2,0,0.0,0.0,0,0,0.0,0.0,0.0,38,0,0,8610,ATHZ,Rise,ICEBOX,2.01
kato,4,2,0.0,0.0,1,0,0.0,0.0,0.0,62,1,1,8610,ATHZ,Rise,ICEBOX,2.01
GuhRVN,5,1,0.0,0.0,0.0,0,0.0,0.0,0.0,82,7,1,8610,Rise,ATHZ,BIND,2.01
leonzhet,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,53,0,1,8610,Rise,ATHZ,BIND,2.01
DmL,3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,68,0,0,8610,Rise,ATHZ,BIND,2.01
glym,3,1,0.0,0.0,0.0,0,0.0,0.0,0.0,31,0,1,8610,Rise,ATHZ,BIND,2.01
Slag,4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42,1,0,8610,Rise,ATHZ,BIND,2.01
BladeZ,2,2,0.0,0.0,0.0,1,0.0,0.0,0.0,57,1,0,8610,ATHZ,Rise,BIND,2.01
PxL,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,38,2,2,8610,ATHZ,Rise,BIND,2.01
vtrg0d,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,35,0,0,8610,ATHZ,Rise,BIND,2.01
REPOW,4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,44,3,0,8610,ATHZ,Rise,BIND,2.01
kato,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,49,1,0,8610,ATHZ,Rise,BIND,2.01
GuhRVN,2,1,1,0,0,0.0,0.0,0.0,0.0,86,7,1,8607,Rise,aim,HAVEN,
leonzhet,3,0,0,0,0,0.0,0.0,0.0,0.0,50,0,1,8607,Rise,aim,HAVEN,
DmL,2,1,0,1,1,0.0,0.0,0.0,0.0,105,1,0,8607,Rise,aim,HAVEN,
glym,3,3,0,0,0,0.0,0.0,0.0,0.0,50,1,0,8607,Rise,aim,HAVEN,
Slag,1,1,0,0,0,0.0,0.0,0.0,0.0,30,0,0,8607,Rise,aim,HAVEN,
bielthemagician,1,0,0,0,0,0.0,0.0,0.0,0.0,28,3,0,8607,aim,Rise,HAVEN,
chase,4,1,0,0,1,0.0,0.0,0.0,0.0,58,0,1,8607,aim,Rise,HAVEN,
cqJESUS,6,0,0,0,0,0.0,0.0,0.0,0.0,40,1,0,8607,aim,Rise,HAVEN,
mtr,3,2,0,0,1,0.0,0.0,0.0,0.0,48,0,1,8607,aim,Rise,HAVEN,
havoc,1,0,0,0,1,0.0,0.0,0.0,0.0,46,1,0,8607,aim,Rise,HAVEN,
GuhRVN,1,1,0,0.0,2,0.0,0.0,0.0,0.0,56,2,2,8607,Rise,aim,ASCENT,
leonzhet,4,2,0,0.0,1,0.0,0.0,0.0,0.0,68,0,1,8607,Rise,aim,ASCENT,
