Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
BRNWOWZK1,15.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,67.0,3.0,0.0,8611,DLWZ,Rise,2.01,MATCH,4
fluyr,10.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,59.0,20.0,1.0,8611,DLWZ,Rise,2.01,MATCH,4
rhamurti,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,5.0,3.0,8611,DLWZ,Rise,2.01,MATCH,4
zam,6.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,3.0,1.0,8611,DLWZ,Rise,2.01,MATCH,4
heat,18.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0,0.0,3.0,8611,DLWZ,Rise,2.01,MATCH,4
GuhRVN,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,37.0,13.0,1.0,8611,Rise,DLWZ,2.01,MATCH,4
leonzhet,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,1.0,4.0,8611,Rise,DLWZ,2.01,MATCH,4
DmL,9.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,47.0,2.0,0.0,8611,Rise,DLWZ,2.01,MATCH,4
glym,14.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,71.0,1.0,2.0,8611,Rise,DLWZ,2.01,MATCH,4
Slag,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,8611,Rise,DLWZ,2.01,MATCH,4
GuhRVN,11.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,17.0,3.0,8610,Rise,ATHZ,2.01,MATCH,3
leonzhet,5.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,60.0,1.0,3.0,8610,Rise,ATHZ,2.01,MATCH,3
DmL,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,8610,Rise,ATHZ,2.01,MATCH,3
glym,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,6.0,1.0,8610,Rise,ATHZ,2.01,MATCH,3
Slag,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,1.0,8610,Rise,ATHZ,2.01,MATCH,3
BladeZ,7.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,8.0,0.0,8610,ATHZ,Rise,2.01,MATCH,3
PxL,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,7.0,2.0,8610,ATHZ,Rise,2.01,MATCH,3
vtrg0d,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,4.0,1.0,8610,ATHZ,Rise,2.01,MATCH,3
REPOW,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,4.0,2.0,8610,ATHZ,Rise,2.01,MATCH,3
kato,9.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,56.0,2.0,2.0,8610,ATHZ,Rise,2.01,MATCH,3
GuhRVN,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,71.0,9.0,3.0,8607,Rise,aim,,MATCH,2
leonzhet,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,0.0,2.0,8607,Rise,aim,,MATCH,2
DmL,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,69.0,1.0,1.0,8607,Rise,aim,,MATCH,2
glym,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,0.0,8607,Rise,aim,,MATCH,2
Slag,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,8607,Rise,aim,,MATCH,2
cad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8607,aim,Rise,,MATCH,2
bielthemagician,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,6.0,0.0,8607,aim,Rise,,MATCH,2
chase,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,69.0,0.0,1.0,8607,aim,Rise,,MATCH,2
cqJESUS,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,8607,aim,Rise,,MATCH,2
