Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
DLWZK,1,2,50.0,3,1,33.0,1,0,0.0,8,3,38.0,7,2,29.0,SHK,1.0,2.03,12079,ASCENT
SHK,1,2,50.0,3,1,33.0,1,0,0.0,2,1,50.0,13,11,85.0,DLWZK,1.0,2.03,12079,ASCENT
DLWZK,1,2,50.0,4,1,25.0,0,0,,3,2,67.0,21,10,48.0,SHK,1.0,2.03,12079,HAVEN
SHK,1,2,50.0,4,2,50.0,2,1,50.0,4,1,25.0,18,11,61.0,DLWZK,1.0,2.03,12079,HAVEN
B4,0,2,0.0,4,0,0.0,2,0,0.0,4,3,75.0,11,5,45.0,SHK,1.0,2.03,12075,HAVEN
SHK,2,2,100.0,2,2,100.0,2,0,0.0,6,4,67.0,11,7,64.0,B4,1.0,2.03,12075,HAVEN
S5,2,2,100.0,2,2,100.0,1,0,0.0,4,3,75.0,11,8,73.0,JAG,1.0,2.03,11588,HAVEN
JAG,0,2,0.0,6,0,0.0,1,0,0.0,2,1,50.0,9,4,44.0,S5,1.0,2.03,11588,HAVEN
S5,2,2,100.0,2,2,100.0,0,0,,3,2,67.0,12,9,75.0,JAG,1.0,2.03,11588,ASCENT
JAG,0,2,0.0,4,0,0.0,2,1,50.0,5,1,20.0,6,2,33.0,S5,1.0,2.03,11588,ASCENT
S5,0,2,0.0,5,0,0.0,1,1,100.0,1,0,0.0,16,12,75.0,Ingaming,1.0,2.03,11583,HAVEN
Ingaming,2,2,100.0,2,2,100.0,1,0,0.0,9,5,56.0,11,3,27.0,S5,1.0,2.03,11583,HAVEN
S5,0,2,0.0,4,0,0.0,2,1,50.0,1,0,0.0,17,12,71.0,Ingaming,1.0,2.03,11583,BIND
Ingaming,2,2,100.0,3,2,67.0,1,1,100.0,10,5,50.0,10,3,30.0,S5,1.0,2.03,11583,BIND
GLB,0,2,0.0,4,0,0.0,2,1,50.0,5,2,40.0,7,2,29.0,S5,1.0,2.02,10321,BIND
S5,2,2,100.0,3,2,67.0,0,0,,6,6,100.0,9,5,56.0,GLB,1.0,2.02,10321,BIND
GLB,1,2,50.0,3,1,33.0,1,0,0.0,8,4,50.0,12,6,50.0,S5,1.0,2.02,10321,ASCENT
S5,1,2,50.0,3,1,33.0,1,0,0.0,3,2,67.0,17,10,59.0,GLB,1.0,2.02,10321,ASCENT
S5,1,2,50.0,3,2,67.0,0,0,,5,4,80.0,12,7,58.0,HL,1.0,2.02,10320,HAVEN
HL,1,2,50.0,3,1,33.0,3,1,33.0,7,3,43.0,7,2,29.0,S5,1.0,2.02,10320,HAVEN
S5,0,2,0.0,4,0,0.0,1,0,0.0,4,1,25.0,17,13,76.0,HL,1.0,2.02,10320,BIND
HL,2,2,100.0,2,2,100.0,0,0,,11,5,45.0,13,5,38.0,S5,1.0,2.02,10320,BIND
IMP,1,2,50.0,3,1,33.0,3,0,0.0,6,4,67.0,11,5,45.0,S5,1.0,2.02,10307,BIND
S5,1,2,50.0,3,1,33.0,2,0,0.0,2,1,50.0,16,11,69.0,IMP,1.0,2.02,10307,BIND
IMP,1,2,50.0,3,1,33.0,1,0,0.0,5,2,40.0,13,6,46.0,S5,1.0,2.02,10307,ASCENT
S5,1,2,50.0,2,1,50.0,4,1,25.0,2,1,50.0,14,10,71.0,IMP,1.0,2.02,10307,ASCENT
VK,1,2,50.0,2,1,50.0,1,0,0.0,8,4,50.0,8,1,12.0,S5,1.0,2.02,10305,HAVEN
S5,1,2,50.0,3,1,33.0,1,0,0.0,2,0,0.0,13,12,92.0,VK,1.0,2.02,10305,HAVEN
S5,2,2,100.0,3,2,67.0,2,1,50.0,7,5,71.0,16,5,31.0,IMP,1.0,2.01,9427,HAVEN
IMP,0,2,0.0,4,0,0.0,2,1,50.0,4,2,50.0,18,12,67.0,S5,1.0,2.01,9427,HAVEN
S5,2,2,100.0,2,2,100.0,1,0,0.0,10,6,60.0,17,6,35.0,IMP,1.0,2.01,9427,BIND
IMP,0,2,0.0,4,0,0.0,2,0,0.0,2,1,50.0,22,15,68.0,S5,1.0,2.01,9427,BIND
S5,0,2,0.0,4,0,0.0,2,0,0.0,5,2,40.0,7,3,43.0,VKS,1.0,2.01,9425,ASCENT
VKS,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,13,8,62.0,S5,1.0,2.01,9425,ASCENT
S5,1,2,50.0,4,1,25.0,3,1,33.0,3,2,67.0,10,3,30.0,VKS,1.0,2.01,9425,BIND
VKS,1,2,50.0,3,1,33.0,0,0,,4,3,75.0,13,9,69.0,S5,1.0,2.01,9425,BIND
DLWZK,1,2,50.0,2,1,50.0,3,2,67.0,7,2,29.0,8,2,25.0,S5,1.0,2.01,9261,ASCENT
S5,1,2,50.0,3,2,67.0,2,0,0.0,3,1,33.0,12,10,83.0,DLWZK,1.0,2.01,9261,ASCENT
favela aimers,1,2,50.0,3,1,33.0,3,0,0.0,5,4,80.0,13,6,46.0,S5,1.0,2.01,9330,HAVEN
S5,1,2,50.0,3,1,33.0,4,2,50.0,1,1,100.0,16,9,56.0,favela aimers,1.0,2.01,9330,HAVEN
