Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
DLWZK,2,4,50.0,7,2,29.0,1,0,0.0,11,5,45.0,28,12,43.0,SHK,2.0,2.03,12079,MATCH
SHK,2,4,50.0,7,3,43.0,3,1,33.0,6,2,33.0,31,22,71.0,DLWZK,2.0,2.03,12079,MATCH
B4,0,2,0.0,4,0,0.0,2,0,0.0,4,3,75.0,11,5,45.0,SHK,1.0,2.03,12075,MATCH
SHK,2,2,100.0,2,2,100.0,2,0,0.0,6,4,67.0,11,7,64.0,B4,1.0,2.03,12075,MATCH
S5,4,4,100.0,4,4,100.0,1,0,0.0,7,5,71.0,23,17,74.0,JAG,2.0,2.03,11588,MATCH
JAG,0,4,0.0,10,0,0.0,3,1,33.0,7,2,29.0,15,6,40.0,S5,2.0,2.03,11588,MATCH
S5,0,4,0.0,9,0,0.0,3,2,67.0,2,0,0.0,33,24,73.0,Ingaming,2.0,2.03,11583,MATCH
Ingaming,4,4,100.0,5,4,80.0,2,1,50.0,19,10,53.0,21,6,29.0,S5,2.0,2.03,11583,MATCH
GLB,1,4,25.0,7,1,14.0,3,1,33.0,13,6,46.0,19,8,42.0,S5,2.0,2.02,10321,MATCH
S5,3,4,75.0,6,3,50.0,1,0,0.0,9,8,89.0,26,15,58.0,GLB,2.0,2.02,10321,MATCH
S5,1,4,25.0,7,2,29.0,1,0,0.0,9,5,56.0,29,20,69.0,HL,2.0,2.02,10320,MATCH
HL,3,4,75.0,5,3,60.0,3,1,33.0,18,8,44.0,20,7,35.0,S5,2.0,2.02,10320,MATCH
IMP,2,4,50.0,6,2,33.0,4,0,0.0,11,6,55.0,24,11,46.0,S5,2.0,2.02,10307,MATCH
S5,2,4,50.0,5,2,40.0,6,1,17.0,4,2,50.0,30,21,70.0,IMP,2.0,2.02,10307,MATCH
VK,1,2,50.0,2,1,50.0,1,0,0.0,8,4,50.0,8,1,12.0,S5,1.0,2.02,10305,MATCH
S5,1,2,50.0,3,1,33.0,1,0,0.0,2,0,0.0,13,12,92.0,VK,1.0,2.02,10305,MATCH
S5,4,4,100.0,5,4,80.0,3,1,33.0,17,11,65.0,33,11,33.0,IMP,2.0,2.01,9427,MATCH
IMP,0,4,0.0,8,0,0.0,4,1,25.0,6,3,50.0,40,27,68.0,S5,2.0,2.01,9427,MATCH
S5,1,4,25.0,8,1,12.0,5,1,20.0,8,4,50.0,17,6,35.0,VKS,2.0,2.01,9425,MATCH
VKS,3,4,75.0,5,3,60.0,0,0,,7,6,86.0,26,17,65.0,S5,2.0,2.01,9425,MATCH
DLWZK,1,2,50.0,2,1,50.0,3,2,67.0,7,2,29.0,8,2,25.0,S5,1.0,2.01,9261,MATCH
S5,1,2,50.0,3,2,67.0,2,0,0.0,3,1,33.0,12,10,83.0,DLWZK,1.0,2.01,9261,MATCH
favela aimers,2,4,50.0,6,2,33.0,5,0,0.0,11,6,55.0,18,6,33.0,S5,2.0,2.01,9330,MATCH
S5,2,4,50.0,5,2,40.0,5,3,60.0,3,2,67.0,27,19,70.0,favela aimers,2.0,2.01,9330,MATCH
Barrados Do Divine,1,6,17.0,10,1,10.0,9,1,11.0,13,10,77.0,36,18,50.0,S5,3.0,2.01,9329,MATCH
