Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
heat,jett,268,19,11,0,8,193.0,30,2,0,2,12079,DLWZK,SHK,6,13,1,6,5,7,ASCENT,
BRNWOWZK1,raze,209,14,14,1,0,123.3,18,1,3,-2,12079,DLWZK,SHK,6,13,1,6,5,7,ASCENT,
rhamurti,sova,158,10,15,6,-5,97.8,16,2,2,0,12079,DLWZK,SHK,6,13,1,6,5,7,ASCENT,
zam,omen,89,6,14,3,-8,48.6,12,0,2,-2,12079,DLWZK,SHK,6,13,1,6,5,7,ASCENT,
fluyr,killjoy,74,2,16,5,-14,63.3,21,0,7,-7,12079,DLWZK,SHK,6,13,1,6,5,7,ASCENT,
prozin,raze,324,22,10,3,12,239.7,20,5,0,5,12079,SHK,DLWZK,13,6,7,5,6,1,ASCENT,
fra,killjoy,225,16,10,3,6,131.2,27,4,0,4,12079,SHK,DLWZK,13,6,7,5,6,1,ASCENT,
light,omen,179,11,9,6,2,97.5,37,0,0,0,12079,SHK,DLWZK,13,6,7,5,6,1,ASCENT,
gaabxx,jett,178,12,12,2,0,105.0,46,5,4,1,12079,SHK,DLWZK,13,6,7,5,6,1,ASCENT,
deNaro,sova,171,9,10,11,-1,114.7,17,0,1,-1,12079,SHK,DLWZK,13,6,7,5,6,1,ASCENT,
BRNWOWZK1,raze,286,27,18,5,9,171.3,14,5,4,1,12079,DLWZK,SHK,13,15,5,7,7,5,HAVEN,
zam,omen,215,20,19,9,1,140.4,13,3,1,2,12079,DLWZK,SHK,13,15,5,7,7,5,HAVEN,
heat,jett,211,23,21,4,2,128.1,26,2,4,-2,12079,DLWZK,SHK,13,15,5,7,7,5,HAVEN,
rhamurti,sova,162,14,19,10,-5,116.0,24,2,4,-2,12079,DLWZK,SHK,13,15,5,7,7,5,HAVEN,
fluyr,cypher,129,12,17,6,-5,100.4,16,2,1,1,12079,DLWZK,SHK,13,15,5,7,7,5,HAVEN,
deNaro,sova,265,26,19,10,7,170.9,18,3,1,2,12079,SHK,DLWZK,15,13,5,7,7,5,HAVEN,
fra,cypher,225,23,18,4,5,127.5,18,1,2,-1,12079,SHK,DLWZK,15,13,5,7,7,5,HAVEN,
gaabxx,jett,221,19,20,10,-1,190.8,26,3,4,-1,12079,SHK,DLWZK,15,13,5,7,7,5,HAVEN,
