Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
BRNWOWZK1,248,41,32,6,9,151.9,15,6,7,-1,12079,DLWZK,Sharks,MATCH,2,2.03
heat,240,42,32,4,10,154.4,28,4,4,0,12079,DLWZK,Sharks,MATCH,2,2.03
rhamurti,160,24,34,16,-10,108.6,20,4,6,-2,12079,DLWZK,Sharks,MATCH,2,2.03
zam,152,26,33,12,-7,103.3,13,3,3,0,12079,DLWZK,Sharks,MATCH,2,2.03
fluyr,102,14,33,11,-19,85.4,18,2,8,-6,12079,DLWZK,Sharks,MATCH,2,2.03
prozin,248,39,29,11,10,156.1,22,11,2,9,12079,Sharks,DLWZK,MATCH,2,2.03
fra,225,39,28,7,11,129.0,22,5,2,3,12079,Sharks,DLWZK,MATCH,2,2.03
deNaro,218,35,29,21,6,148.2,17,3,2,1,12079,Sharks,DLWZK,MATCH,2,2.03
gaabxx,200,31,32,12,-1,156.1,32,8,8,0,12079,Sharks,DLWZK,MATCH,2,2.03
light,140,20,29,14,-9,80.1,33,1,5,-4,12079,Sharks,DLWZK,MATCH,2,2.03
pancada,202,15,19,3,-4,129.3,26,4,2,2,12075,B4,Sharks,MATCH,1,2.03
Mazin,192,13,18,6,-5,145.5,40,2,2,0,12075,B4,Sharks,MATCH,1,2.03
fuzari,190,12,18,5,-6,116.7,15,0,3,-3,12075,B4,Sharks,MATCH,1,2.03
v1nny,146,11,15,7,-4,101.7,21,0,2,-2,12075,B4,Sharks,MATCH,1,2.03
dgzin,134,10,16,4,-6,88.4,30,2,4,-2,12075,B4,Sharks,MATCH,1,2.03
prozin,325,24,12,9,12,192.2,26,1,0,1,12075,Sharks,B4,MATCH,1,2.03
gaabxx,235,19,12,5,7,127.8,40,4,1,3,12075,Sharks,B4,MATCH,1,2.03
light,198,16,9,6,7,105.4,17,3,2,1,12075,Sharks,B4,MATCH,1,2.03
deNaro,194,15,13,2,2,120.0,39,3,2,1,12075,Sharks,B4,MATCH,1,2.03
fra,169,12,15,7,-3,106.2,26,2,3,-1,12075,Sharks,B4,MATCH,1,2.03
deNaro,310,40,14,22,26,168.5,27,3,0,3,11588,S5,JAG,MATCH,2,2.03
gaabxx,266,34,18,7,16,166.5,19,6,2,4,11588,S5,JAG,MATCH,2,2.03
prozin,246,31,21,12,10,142.4,7,6,5,1,11588,S5,JAG,MATCH,2,2.03
fra,212,28,18,13,10,132.3,25,5,3,2,11588,S5,JAG,MATCH,2,2.03
