Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
BRNWOWZK1,3,1,0,0,0.0,0,0.0,0.0,0.0,49,1,0,12079,DLWZ,SHK,ASCENT,
fluyr,0,0,0,0,0.0,0,0.0,0.0,0.0,30,1,0,12079,DLWZ,SHK,ASCENT,
rhamurti,3,1,0,0,0.0,0,0.0,0.0,0.0,38,3,0,12079,DLWZ,SHK,ASCENT,
zam,1,0,0,0,0.0,0,0.0,0.0,0.0,19,1,0,12079,DLWZ,SHK,ASCENT,
heat,3,1,1,0,0.0,0,0.0,0.0,0.0,73,1,1,12079,DLWZ,SHK,ASCENT,
fra,5,0,0,0,0.0,0,0.0,0.0,0.0,63,1,0,12079,SHK,DLWZ,ASCENT,
light,3,0,1,0,0.0,1,0.0,0.0,0.0,56,2,0,12079,SHK,DLWZ,ASCENT,
prozin,3,1,1,1,0.0,0,0.0,0.0,0.0,103,0,1,12079,SHK,DLWZ,ASCENT,
deNaro,2,0,0,0,0.0,0,0.0,0.0,0.0,45,4,0,12079,SHK,DLWZ,ASCENT,
gaabxx,2,0,1,0,0.0,0,0.0,0.0,0.0,48,0,2,12079,SHK,DLWZ,ASCENT,
BRNWOWZK1,3,3,0,0.0,0,0,0,0.0,0.0,59,5,0,12079,DLWZ,SHK,HAVEN,
fluyr,3,0,0,0.0,1,0,0,0.0,0.0,35,0,1,12079,DLWZ,SHK,HAVEN,
rhamurti,3,1,0,0.0,0,0,0,0.0,0.0,42,5,0,12079,DLWZ,SHK,HAVEN,
zam,4,0,0,0.0,0,0,0,0.0,0.0,49,3,0,12079,DLWZ,SHK,HAVEN,
heat,3,1,2,0.0,0,0,1,0.0,0.0,45,0,0,12079,DLWZ,SHK,HAVEN,
fra,3,1,0,0.0,1,0,0,0.0,0.0,43,1,2,12079,SHK,DLWZ,HAVEN,
light,2,1,0,0.0,0,0,0,0.0,0.0,26,2,0,12079,SHK,DLWZ,HAVEN,
prozin,2,2,0,0.0,0,0,0,0.0,0.0,34,0,2,12079,SHK,DLWZ,HAVEN,
deNaro,8,1,0,0.0,0,3,0,0.0,0.0,60,4,2,12079,SHK,DLWZ,HAVEN,
gaabxx,7,0,0,0.0,0,1,0,0.0,0.0,73,2,0,12079,SHK,DLWZ,HAVEN,
pancada,4,1,0,0.0,0,0.0,0.0,0.0,0.0,43,0,0,12075,B4,SHK,HAVEN,
fuzari,2,1,0,0.0,0,0.0,0.0,0.0,0.0,42,2,0,12075,B4,SHK,HAVEN,
v1nny,0,0,0,0.0,2,0.0,0.0,0.0,0.0,48,2,1,12075,B4,SHK,HAVEN,
Mazin,1,1,0,0.0,0,0.0,0.0,0.0,0.0,58,1,0,12075,B4,SHK,HAVEN,
dgzin,3,0,0,0.0,2,0.0,0.0,0.0,0.0,37,1,0,12075,B4,SHK,HAVEN,
fra,0,1,0,0.0,0,0.0,0.0,0.0,0.0,37,0,0,12075,SHK,B4,HAVEN,
light,5,1,0,0.0,0,0.0,0.0,0.0,0.0,50,0,0,12075,SHK,B4,HAVEN,
prozin,4,3,0,0.0,0,0.0,0.0,0.0,0.0,87,4,1,12075,SHK,B4,HAVEN,
deNaro,2,1,0,0.0,0,0.0,0.0,0.0,0.0,46,1,1,12075,SHK,B4,HAVEN,
gaabxx,4,0,1,0.0,0,0.0,0.0,0.0,0.0,58,0,1,12075,SHK,B4,HAVEN,
fra,2,2,0,0.0,0,0.0,0.0,0.0,0.0,55,2,0,11588,S5,JAG,HAVEN,
