Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
BRNWOWZK1,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,6.0,0.0,12079,DLWZ,SHK,2.03,MATCH,2
fluyr,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,1.0,1.0,12079,DLWZ,SHK,2.03,MATCH,2
rhamurti,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8.0,0.0,12079,DLWZ,SHK,2.03,MATCH,2
zam,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,0.0,12079,DLWZ,SHK,2.03,MATCH,2
heat,6.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,1.0,1.0,12079,DLWZ,SHK,2.03,MATCH,2
fra,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,53.0,2.0,2.0,12079,SHK,DLWZ,2.03,MATCH,2
light,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,4.0,0.0,12079,SHK,DLWZ,2.03,MATCH,2
prozin,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,3.0,12079,SHK,DLWZ,2.03,MATCH,2
deNaro,10.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,53.0,8.0,2.0,12079,SHK,DLWZ,2.03,MATCH,2
gaabxx,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,2.0,2.0,12079,SHK,DLWZ,2.03,MATCH,2
pancada,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,12075,B4,SHK,2.03,MATCH,1
fuzari,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,12075,B4,SHK,2.03,MATCH,1
v1nny,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,48.0,2.0,1.0,12075,B4,SHK,2.03,MATCH,1
Mazin,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,0.0,12075,B4,SHK,2.03,MATCH,1
dgzin,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,12075,B4,SHK,2.03,MATCH,1
fra,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,12075,SHK,B4,2.03,MATCH,1
light,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,12075,SHK,B4,2.03,MATCH,1
prozin,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,4.0,1.0,12075,SHK,B4,2.03,MATCH,1
deNaro,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,1.0,12075,SHK,B4,2.03,MATCH,1
gaabxx,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,1.0,12075,SHK,B4,2.03,MATCH,1
fra,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,3.0,1.0,11588,S5,JAG,2.03,MATCH,2
light,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,0.0,11588,S5,JAG,2.03,MATCH,2
prozin,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,0.0,11588,S5,JAG,2.03,MATCH,2
deNaro,10.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,83.0,4.0,4.0,11588,S5,JAG,2.03,MATCH,2
