Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
SLK,1,2,50.0,3,1,33.0,2,0,0.0,5,2,40.0,14,8,57.0,Vorax,1.0,2.01,9424,BIND
Vorax,1,2,50.0,3,1,33.0,2,0,0.0,5,3,60.0,14,9,64.0,SLK,1.0,2.01,9424,BIND
SLK,2,2,100.0,4,2,50.0,2,0,0.0,3,1,33.0,12,10,83.0,Vorax,1.0,2.01,9424,SPLIT
Vorax,0,2,0.0,4,0,0.0,1,0,0.0,5,3,60.0,11,5,45.0,SLK,1.0,2.01,9424,SPLIT
SLK,2,2,100.0,2,2,100.0,4,0,0.0,8,4,50.0,7,2,29.0,FUR,1.0,2.01,9422,ASCENT
FUR,0,2,0.0,3,0,0.0,0,0,,5,4,80.0,13,9,69.0,SLK,1.0,2.01,9422,ASCENT
SLK,1,2,50.0,3,1,33.0,2,0,0.0,5,3,60.0,16,8,50.0,FUR,1.0,2.01,9422,HAVEN
FUR,1,2,50.0,2,1,50.0,3,1,33.0,9,5,56.0,12,7,58.0,SLK,1.0,2.01,9422,HAVEN
Vorax,2,2,100.0,2,2,100.0,1,0,0.0,10,5,50.0,11,4,36.0,SLK,1.0,2.01,9257,BIND
SLK,0,2,0.0,4,0,0.0,1,0,0.0,4,3,75.0,15,10,67.0,Vorax,1.0,2.01,9257,BIND
VK,0,2,0.0,2,0,0.0,3,1,33.0,6,3,50.0,13,7,54.0,SLK,1.0,2.01,9099,ASCENT
SLK,2,2,100.0,3,2,67.0,2,0,0.0,4,2,50.0,15,9,60.0,VK,1.0,2.01,9099,ASCENT
VK,1,2,50.0,2,1,50.0,4,1,25.0,4,2,50.0,11,4,36.0,SLK,1.0,2.01,9099,BIND
SLK,1,2,50.0,3,1,33.0,2,0,0.0,4,3,75.0,12,9,75.0,VK,1.0,2.01,9099,BIND
VK Gaming,1,2,50.0,3,1,33.0,2,0,0.0,4,2,50.0,14,7,50.0,SLK,1.0,2.01,9086,SPLIT
SLK,1,2,50.0,3,1,33.0,0,0,,4,3,75.0,16,9,56.0,VK Gaming,1.0,2.01,9086,SPLIT
VK Gaming,1,2,50.0,3,1,33.0,0,0,,7,3,43.0,11,4,36.0,SLK,1.0,2.01,9086,ASCENT
SLK,1,2,50.0,3,1,33.0,1,0,0.0,4,3,75.0,13,9,69.0,VK Gaming,1.0,2.01,9086,ASCENT
Vorax,2,2,100.0,2,2,100.0,1,0,0.0,10,5,50.0,11,4,36.0,SLK,1.0,2.01,9257,BIND
SLK,0,2,0.0,4,0,0.0,1,0,0.0,4,3,75.0,15,10,67.0,Vorax,1.0,2.01,9257,BIND
SLK,2,2,100.0,2,2,100.0,4,0,0.0,8,4,50.0,7,2,29.0,FUR,1.0,2.01,9422,ASCENT
FUR,0,2,0.0,3,0,0.0,0,0,,5,4,80.0,13,9,69.0,SLK,1.0,2.01,9422,ASCENT
SLK,1,2,50.0,3,1,33.0,2,0,0.0,5,3,60.0,16,8,50.0,FUR,1.0,2.01,9422,HAVEN
FUR,1,2,50.0,2,1,50.0,3,1,33.0,9,5,56.0,12,7,58.0,SLK,1.0,2.01,9422,HAVEN
SLK,1,2,50.0,3,1,33.0,2,0,0.0,5,2,40.0,14,8,57.0,Vorax,1.0,2.01,9424,BIND
Vorax,1,2,50.0,3,1,33.0,2,0,0.0,5,3,60.0,14,9,64.0,SLK,1.0,2.01,9424,BIND
SLK,2,2,100.0,4,2,50.0,2,0,0.0,3,1,33.0,12,10,83.0,Vorax,1.0,2.01,9424,SPLIT
Vorax,0,2,0.0,4,0,0.0,1,0,0.0,5,3,60.0,11,5,45.0,SLK,1.0,2.01,9424,SPLIT
Vorax,1,2,50.0,2,1,50.0,0,0,,4,4,100.0,12,8,67.0,SLK,1.0,2.02,10288,BIND
SLK,1,2,50.0,4,1,25.0,3,1,33.0,5,1,20.0,6,2,33.0,Vorax,1.0,2.02,10288,BIND
paiN,0,2,0.0,4,0,0.0,2,0,0.0,4,2,50.0,13,8,62.0,SLK,1.0,2.02,10308,HAVEN
