Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
ntk,sova,286,23,14,7,9,180.9,33,2,2,0,9424,SLK,Vora,11,13,10,2,1,11,BIND,
bld,sage,245,22,18,7,4,147.5,47,2,2,0,9424,SLK,Vora,11,13,10,2,1,11,BIND,
Hastad,raze,167,12,16,7,-4,109.8,17,4,3,1,9424,SLK,Vora,11,13,10,2,1,11,BIND,
mNdS,omen,159,13,20,4,-7,96.7,35,2,3,-1,9424,SLK,Vora,11,13,10,2,1,11,BIND,
DiMAS,cypher,148,12,20,6,-8,84.5,11,2,2,0,9424,SLK,Vora,11,13,10,2,1,11,BIND,
krain,sova,373,29,13,7,16,223.5,12,2,1,1,9424,Vora,SLK,13,11,11,1,2,10,BIND,
fzkk,jett,220,20,18,2,2,128.1,33,8,7,1,9424,Vora,SLK,13,11,11,1,2,10,BIND,
dragonite,cypher,193,17,16,4,1,126.3,24,1,2,-1,9424,Vora,SLK,13,11,11,1,2,10,BIND,
delevingne,breach,183,14,18,14,-4,99.4,10,1,2,-1,9424,Vora,SLK,13,11,11,1,2,10,BIND,
v1xen,omen,114,8,17,7,-9,78.5,22,0,0,0,9424,Vora,SLK,13,11,11,1,2,10,BIND,
ntk,sova,262,21,11,11,10,156.2,26,1,2,-1,9424,SLK,Vora,13,8,3,6,10,2,SPLIT,
DiMAS,killjoy,249,20,15,5,5,166.4,21,2,2,0,9424,SLK,Vora,13,8,3,6,10,2,SPLIT,
mNdS,omen,220,18,13,4,5,130.6,23,2,2,0,9424,SLK,Vora,13,8,3,6,10,2,SPLIT,
Hastad,raze,212,13,20,10,-7,127.6,14,5,3,2,9424,SLK,Vora,13,8,3,6,10,2,SPLIT,
bld,sage,155,12,13,7,-1,152.4,31,2,0,2,9424,SLK,Vora,13,8,3,6,10,2,SPLIT,
dragonite,cypher,270,19,18,8,1,186.1,15,2,1,1,9424,Vora,SLK,8,13,2,10,6,3,SPLIT,
krain,sova,265,20,13,6,7,205.0,14,1,1,0,9424,Vora,SLK,8,13,2,10,6,3,SPLIT,
fzkk,jett,239,16,18,2,-2,134.6,9,6,4,2,9424,Vora,SLK,8,13,2,10,6,3,SPLIT,
delevingne,breach,119,10,17,4,-7,77.3,14,0,3,-3,9424,Vora,SLK,8,13,2,10,6,3,SPLIT,
v1xen,omen,114,7,18,4,-11,89.8,31,0,3,-3,9424,Vora,SLK,8,13,2,10,6,3,SPLIT,
mNdS,omen,256,17,21,8,-4,156.2,26,3,2,1,9422,SLK,FUR,8,13,4,5,4,8,ASCENT,
DiMAS,killjoy,238,19,17,2,2,163.2,35,3,0,3,9422,SLK,FUR,8,13,4,5,4,8,ASCENT,
ntk,sova,201,16,14,6,2,138.8,21,1,1,0,9422,SLK,FUR,8,13,4,5,4,8,ASCENT,
Hastad,raze,127,8,17,4,-9,79.8,12,1,4,-3,9422,SLK,FUR,8,13,4,5,4,8,ASCENT,
bld,sage,97,6,17,5,-11,63.8,35,1,5,-4,9422,SLK,FUR,8,13,4,5,4,8,ASCENT,
Nozwerr,sova,374,26,10,15,16,225.0,26,2,0,2,9422,FUR,SLK,13,8,8,4,5,4,ASCENT,
txddy,cypher,252,18,12,8,6,196.1,25,3,2,1,9422,FUR,SLK,13,8,8,4,5,4,ASCENT,
xand,jett,178,14,18,7,-4,105.4,11,6,4,2,9422,FUR,SLK,13,8,8,4,5,4,ASCENT,
Khalil,omen,178,15,9,8,6,112.0,24,0,0,0,9422,FUR,SLK,13,8,8,4,5,4,ASCENT,
Quick,reyna,175,13,17,8,-4,109.7,22,1,3,-2,9422,FUR,SLK,13,8,8,4,5,4,ASCENT,
ntk,sova,264,23,17,8,6,173.7,22,2,2,0,9422,SLK,FUR,12,14,5,7,7,5,HAVEN,
Hastad,raze,258,22,26,9,-4,149.6,14,4,4,0,9422,SLK,FUR,12,14,5,7,7,5,HAVEN,
DiMAS,killjoy,229,21,19,7,2,145.0,20,3,4,-1,9422,SLK,FUR,12,14,5,7,7,5,HAVEN,
bld,sage,199,19,18,6,1,135.4,26,1,3,-2,9422,SLK,FUR,12,14,5,7,7,5,HAVEN,
mNdS,omen,171,18,18,3,0,94.2,33,1,2,-1,9422,SLK,FUR,12,14,5,7,7,5,HAVEN,
xand,jett,294,26,22,2,4,173.2,24,8,5,3,9422,FUR,SLK,14,12,5,7,7,5,HAVEN,
Nozwerr,sova,258,23,21,12,2,155.8,17,2,1,1,9422,FUR,SLK,14,12,5,7,7,5,HAVEN,
txddy,cypher,245,22,21,4,1,155.4,30,2,3,-1,9422,FUR,SLK,14,12,5,7,7,5,HAVEN,
