Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
ntk,274,44,25,18,19,169.4,29,3,4,-1,9424,SLK,Vora,MATCH,2,2.01
bld,200,34,31,14,3,149.8,40,4,2,2,9424,SLK,Vora,MATCH,2,2.01
DiMAS,199,32,35,11,-3,122.7,17,4,4,0,9424,SLK,Vora,MATCH,2,2.01
Hastad,190,25,36,17,-11,118.1,15,9,6,3,9424,SLK,Vora,MATCH,2,2.01
mNdS,190,31,33,8,-2,112.5,28,4,5,-1,9424,SLK,Vora,MATCH,2,2.01
krain,319,49,26,13,23,214.9,13,3,2,1,9424,Vora,SLK,MATCH,2,2.01
dragonite,232,36,34,12,2,154.2,18,3,3,0,9424,Vora,SLK,MATCH,2,2.01
fzkk,230,36,36,4,0,131.2,19,14,11,3,9424,Vora,SLK,MATCH,2,2.01
delevingne,151,24,35,18,-11,89.1,12,1,5,-4,9424,Vora,SLK,MATCH,2,2.01
v1xen,114,15,35,11,-20,83.8,27,0,3,-3,9424,Vora,SLK,MATCH,2,2.01
DiMAS,234,40,36,9,4,153.1,25,6,4,2,9422,SLK,FURI,MATCH,2,2.01
ntk,233,39,31,14,8,158.1,22,3,3,0,9422,SLK,FURI,MATCH,2,2.01
mNdS,214,35,39,11,-4,121.9,29,4,4,0,9422,SLK,FURI,MATCH,2,2.01
Hastad,193,30,43,13,-13,118.4,13,5,8,-3,9422,SLK,FURI,MATCH,2,2.01
bld,148,25,35,11,-10,103.4,28,2,8,-6,9422,SLK,FURI,MATCH,2,2.01
Nozwerr,316,49,31,27,18,186.8,21,4,1,3,9422,FURI,SLK,MATCH,2,2.01
txddy,249,40,33,12,7,173.6,28,5,5,0,9422,FURI,SLK,MATCH,2,2.01
xand,236,40,40,9,0,142.9,19,14,9,5,9422,FURI,SLK,MATCH,2,2.01
Khalil,173,30,29,16,1,107.3,17,3,1,2,9422,FURI,SLK,MATCH,2,2.01
qck,157,25,36,27,-11,94.5,23,1,4,-3,9422,FURI,SLK,MATCH,2,2.01
krain,235,18,17,7,1,149.8,30,2,1,1,9257,Vora,SLK,MATCH,1,2.01
dragonite,211,18,17,5,1,126.5,29,3,1,2,9257,Vora,SLK,MATCH,1,2.01
v1xen,209,19,18,6,1,114.2,16,3,1,2,9257,Vora,SLK,MATCH,1,2.01
fzkk,189,15,19,3,-4,124.3,24,6,5,1,9257,Vora,SLK,MATCH,1,2.01
delevingne,93,8,20,9,-12,57.5,7,0,2,-2,9257,Vora,SLK,MATCH,1,2.01
ntk,334,27,14,7,13,183.7,16,6,2,4,9257,SLK,Vora,MATCH,1,2.01
Hastad,229,19,13,4,6,138.5,12,1,2,-1,9257,SLK,Vora,MATCH,1,2.01
bld,211,19,14,7,5,156.9,21,1,4,-3,9257,SLK,Vora,MATCH,1,2.01
DiMAS,171,13,18,7,-5,109.0,11,2,3,-1,9257,SLK,Vora,MATCH,1,2.01
mNdS,155,13,19,7,-6,146.6,27,0,3,-3,9257,SLK,Vora,MATCH,1,2.01
Carlin,337,50,35,7,15,201.1,21,12,4,8,9086,G,SLK,MATCH,2,2.01
Sushi,232,35,32,10,3,153.9,23,3,2,1,9086,G,SLK,MATCH,2,2.01
CeLLo,161,22,37,10,-15,113.1,16,5,5,0,9086,G,SLK,MATCH,2,2.01
Tk4h,126,20,34,10,-14,100.4,21,2,6,-4,9086,G,SLK,MATCH,2,2.01
rosha,99,15,34,8,-19,67.3,18,3,2,1,9086,G,SLK,MATCH,2,2.01
Hastad,303,45,33,13,12,172.1,11,8,6,2,9086,SLK,G,MATCH,2,2.01
ntk,223,34,24,20,10,142.9,23,1,4,-3,9086,SLK,G,MATCH,2,2.01
bld,203,31,32,9,-1,130.1,36,8,9,-1,9086,SLK,G,MATCH,2,2.01
DiMAS,198,34,24,4,10,135.3,15,0,4,-4,9086,SLK,G,MATCH,2,2.01
mNdS,175,28,29,12,-1,112.4,23,2,2,0,9086,SLK,G,MATCH,2,2.01
