Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
DiMAS,3,0,0,0.0,0,0,0.0,0.0,0.0,28,0,1,9424,SLK,Vora,BIND,2.01
bld,3,3,0,0.0,0,0,0.0,0.0,0.0,52,4,1,9424,SLK,Vora,BIND,2.01
ntk,7,1,0,0.0,0,0,0.0,0.0,0.0,92,0,1,9424,SLK,Vora,BIND,2.01
Hastad,1,1,0,0.0,1,0,0.0,0.0,0.0,47,1,1,9424,SLK,Vora,BIND,2.01
DONSA,2,1,0,0.0,0,0,0.0,0.0,0.0,35,3,0,9424,SLK,Vora,BIND,2.01
v1xen,3,0,0,0.0,0,0,0.0,0.0,0.0,29,5,1,9424,Vora,SLK,BIND,2.01
delevingne,3,1,0,0.0,1,1,0.0,0.0,0.0,34,0,2,9424,Vora,SLK,BIND,2.01
krain,2,1,3,0.0,0,0,0.0,0.0,0.0,87,1,2,9424,Vora,SLK,BIND,2.01
fzkk,4,2,0,0.0,0,1,0.0,0.0,0.0,54,0,1,9424,Vora,SLK,BIND,2.01
dragonite,2,0,1,0.0,0,0,0.0,0.0,0.0,47,0,1,9424,Vora,SLK,BIND,2.01
DiMAS,4,1,1,0.0,0,1,0.0,0,0.0,58,0,1,9424,SLK,Vora,SPLIT,2.01
bld,2,0,0,0.0,0,0,0.0,0,0.0,65,2,1,9424,SLK,Vora,SPLIT,2.01
ntk,6,0,1,0.0,0,1,0.0,1,0.0,71,1,0,9424,SLK,Vora,SPLIT,2.01
Hastad,2,1,0,0.0,0,0,0.0,0,0.0,41,1,0,9424,SLK,Vora,SPLIT,2.01
DONSA,4,1,0,0.0,0,0,0.0,0,0.0,58,6,0,9424,SLK,Vora,SPLIT,2.01
v1xen,1,0,0,0.0,0,0,0.0,0,0.0,34,2,0,9424,Vora,SLK,SPLIT,2.01
delevingne,2,0,0,0.0,0,0,0.0,0,0.0,30,5,0,9424,Vora,SLK,SPLIT,2.01
krain,3,2,0,0.0,2,0,0.0,0,0.0,82,0,1,9424,Vora,SLK,SPLIT,2.01
fzkk,4,0,0,0.0,0,0,0.0,0,0.0,51,0,0,9424,Vora,SLK,SPLIT,2.01
dragonite,5,1,0,0.0,0,0,0.0,0,0.0,72,1,0,9424,Vora,SLK,SPLIT,2.01
DiMAS,4,1,0,0.0,0,0.0,0.0,0.0,0.0,61,0,2,9422,SLK,FURI,ASCENT,2.01
bld,0,0,0,0.0,0,0.0,0.0,0.0,0.0,26,2,1,9422,SLK,FURI,ASCENT,2.01
ntk,2,2,0,0.0,2,0.0,0.0,0.0,0.0,56,2,1,9422,SLK,FURI,ASCENT,2.01
Hastad,0,0,0,0.0,0,0.0,0.0,0.0,0.0,31,0,0,9422,SLK,FURI,ASCENT,2.01
DONSA,4,0,0,0.0,0,0.0,0.0,0.0,0.0,55,5,0,9422,SLK,FURI,ASCENT,2.01
xand,2,1,0,0.0,1,0.0,0.0,0.0,0.0,34,0,1,9422,FURI,SLK,ASCENT,2.01
Nozwerr,2,3,1,0.0,0,0.0,0.0,0.0,0.0,118,2,2,9422,FURI,SLK,ASCENT,2.01
Quick,5,0,0,0.0,0,0.0,0.0,0.0,0.0,44,0,0,9422,FURI,SLK,ASCENT,2.01
Khalil,2,0,0,0.0,0,0.0,0.0,0.0,0.0,63,6,2,9422,FURI,SLK,ASCENT,2.01
txddy,4,0,0,0.0,0,0.0,0.0,0.0,0.0,84,1,0,9422,FURI,SLK,ASCENT,2.01
DiMAS,2,3,0,0.0,0,0,0.0,0.0,0.0,50,0,0,9422,SLK,FURI,HAVEN,2.01
bld,2,2,0,0.0,0,0,0.0,0.0,0.0,44,6,2,9422,SLK,FURI,HAVEN,2.01
ntk,5,1,0,0.0,0,0,0.0,0.0,0.0,76,1,0,9422,SLK,FURI,HAVEN,2.01
Hastad,3,1,1,0.0,0,0,0.0,0.0,0.0,49,1,0,9422,SLK,FURI,HAVEN,2.01
DONSA,5,0,0,0.0,0,0,0.0,0.0,0.0,37,3,0,9422,SLK,FURI,HAVEN,2.01
xand,4,2,1,0.0,1,0,0.0,0.0,0.0,60,0,0,9422,FURI,SLK,HAVEN,2.01
Nozwerr,3,1,0,0.0,0,0,0.0,0.0,0.0,56,1,1,9422,FURI,SLK,HAVEN,2.01
Quick,2,0,0,0.0,1,0,0.0,0.0,0.0,28,2,1,9422,FURI,SLK,HAVEN,2.01
Khalil,0,1,0,0.0,0,1,0.0,0.0,0.0,36,6,2,9422,FURI,SLK,HAVEN,2.01
txddy,2,0,1,0.0,2,0,0.0,0.0,0.0,54,1,0,9422,FURI,SLK,HAVEN,2.01
v1xen,5,0,1,0.0,0,0,1,0.0,0.0,42,5,2,9257,Vora,SLK,BIND,2.01
delevingne,2,0,0,0.0,0,0,0,0.0,0.0,20,2,0,9257,Vora,SLK,BIND,2.01
krain,2,2,0,0.0,1,0,0,0.0,0.0,54,0,1,9257,Vora,SLK,BIND,2.01
fzkk,2,1,0,0.0,0,1,0,0.0,0.0,49,0,1,9257,Vora,SLK,BIND,2.01
dragonite,5,0,0,0.0,0,1,0,0.0,0.0,45,1,1,9257,Vora,SLK,BIND,2.01
DiMAS,2,0,0,0.0,0,0,0,0.0,0.0,39,1,0,9257,SLK,Vora,BIND,2.01
bld,5,1,0,0.0,0,0,0,0.0,0.0,76,4,1,9257,SLK,Vora,BIND,2.01
ntk,7,2,0,0.0,0,0,0,0.0,0.0,88,0,1,9257,SLK,Vora,BIND,2.01
Hastad,5,1,0,0.0,0,0,0,0.0,0.0,66,0,2,9257,SLK,Vora,BIND,2.01
DONSA,3,1,0,0.0,0,1,0,0.0,0.0,54,5,0,9257,SLK,Vora,BIND,2.01
PryZee,5,0,0,0.0,0,0,0,0.0,0.0,40,0,0,9099,Vivo,SLK,ASCENT,2.01
Cpx,5,0,0,0.0,0,0,0,0.0,0.0,50,0,0,9099,Vivo,SLK,ASCENT,2.01
Veroneze,5,2,0,0.0,1,0,0,0.0,0.0,67,0,1,9099,Vivo,SLK,ASCENT,2.01
Zap,0,2,0,0.0,0,2,0,0.0,0.0,45,0,2,9099,Vivo,SLK,ASCENT,2.01
Maverick,1,1,1,0.0,1,0,1,0.0,0.0,73,6,2,9099,Vivo,SLK,ASCENT,2.01
DiMAS,4,0,0,0.0,0,0,0,0.0,0.0,40,1,1,9099,SLK,Vivo,ASCENT,2.01
bld,4,1,0,0.0,0,0,1,0.0,0.0,56,1,1,9099,SLK,Vivo,ASCENT,2.01
ntk,7,0,1,0.0,0,0,0,0.0,0.0,63,0,1,9099,SLK,Vivo,ASCENT,2.01
Hastad,2,1,1,0.0,0,0,0,0.0,0.0,57,1,1,9099,SLK,Vivo,ASCENT,2.01
DONSA,4,0,0,0.0,0,0,0,0.0,0.0,39,5,0,9099,SLK,Vivo,ASCENT,2.01
PryZee,4,0,0,0,0.0,0,0,0.0,0.0,46,0,0,9099,Vivo,SLK,BIND,2.01
Cpx,1,1,0,0,0.0,0,0,0.0,0.0,38,0,0,9099,Vivo,SLK,BIND,2.01
Veroneze,2,2,0,0,0.0,0,1,0.0,0.0,50,0,2,9099,Vivo,SLK,BIND,2.01
Zap,1,1,0,0,0.0,0,0,0.0,0.0,55,3,0,9099,Vivo,SLK,BIND,2.01
Maverick,1,3,0,0,0.0,0,0,0.0,0.0,56,2,0,9099,Vivo,SLK,BIND,2.01
DiMAS,4,0,0,0,0.0,0,0,0.0,0.0,33,1,0,9099,SLK,Vivo,BIND,2.01
bld,2,0,1,0,0.0,0,0,0.0,0.0,57,4,0,9099,SLK,Vivo,BIND,2.01
ntk,3,0,1,0,0.0,2,0,0.0,0.0,72,1,0,9099,SLK,Vivo,BIND,2.01
Hastad,3,1,0,1,0.0,0,0,0.0,0.0,101,0,0,9099,SLK,Vivo,BIND,2.01
DONSA,2,0,0,0,0.0,0,0,0.0,0.0,26,3,2,9099,SLK,Vivo,BIND,2.01
rosha,0,0,0.0,0,1,0,0.0,0.0,0.0,26,6,0,9086,G,SLK,SPLIT,2.01
Sushi,4,1,0.0,0,0,0,0.0,0.0,0.0,66,0,0,9086,G,SLK,SPLIT,2.01
CeLLo,2,0,0.0,0,0,0,0.0,0.0,0.0,46,1,1,9086,G,SLK,SPLIT,2.01
Carlin,5,3,0.0,0,0,0,0.0,0.0,0.0,103,0,0,9086,G,SLK,SPLIT,2.01
Tk4h,3,0,0.0,0,0,0,0.0,0.0,0.0,47,1,1,9086,G,SLK,SPLIT,2.01
DiMAS,3,2,0.0,0,0,0,0.0,0.0,0.0,51,2,1,9086,SLK,G,SPLIT,2.01
bld,1,1,0.0,0,0,0,0.0,0.0,0.0,35,2,0,9086,SLK,G,SPLIT,2.01
ntk,2,0,0.0,1,1,1,0.0,0.0,0.0,43,2,0,9086,SLK,G,SPLIT,2.01
Hastad,5,4,0.0,0,0,1,0.0,0.0,0.0,70,0,1,9086,SLK,G,SPLIT,2.01
DONSA,6,0,0.0,0,0,0,0.0,0.0,0.0,44,2,0,9086,SLK,G,SPLIT,2.01
rosha,0,1,0,0.0,0,0,0.0,0.0,0.0,33,3,0,9086,G,SLK,ASCENT,2.01
