Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
DiMAS,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,0.0,2.0,9424,SLK,Vora,2.01,MATCH,2
bld,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,6.0,2.0,9424,SLK,Vora,2.01,MATCH,2
ntk,13.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,82.0,1.0,1.0,9424,SLK,Vora,2.01,MATCH,2
Hastad,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,2.0,1.0,9424,SLK,Vora,2.01,MATCH,2
DONSA,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,9.0,0.0,9424,SLK,Vora,2.01,MATCH,2
v1xen,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,1.0,9424,Vora,SLK,2.01,MATCH,2
delevingne,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,32.0,5.0,2.0,9424,Vora,SLK,2.01,MATCH,2
krain,5.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,85.0,1.0,3.0,9424,Vora,SLK,2.01,MATCH,2
fzkk,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,0.0,1.0,9424,Vora,SLK,2.01,MATCH,2
dragonite,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,1.0,9424,Vora,SLK,2.01,MATCH,2
DiMAS,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,2.0,9422,SLK,FURI,2.01,MATCH,2
bld,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,8.0,3.0,9422,SLK,FURI,2.01,MATCH,2
ntk,7.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,66.0,3.0,1.0,9422,SLK,FURI,2.01,MATCH,2
Hastad,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,9422,SLK,FURI,2.01,MATCH,2
DONSA,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,8.0,0.0,9422,SLK,FURI,2.01,MATCH,2
xand,6.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,47.0,0.0,1.0,9422,FURI,SLK,2.01,MATCH,2
Nozwerr,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,3.0,3.0,9422,FURI,SLK,2.01,MATCH,2
Quick,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,2.0,1.0,9422,FURI,SLK,2.01,MATCH,2
Khalil,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,12.0,4.0,9422,FURI,SLK,2.01,MATCH,2
txddy,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,69.0,2.0,0.0,9422,FURI,SLK,2.01,MATCH,2
v1xen,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,5.0,2.0,9257,Vora,SLK,2.01,MATCH,1
delevingne,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,9257,Vora,SLK,2.01,MATCH,1
krain,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,0.0,1.0,9257,Vora,SLK,2.01,MATCH,1
fzkk,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,1.0,9257,Vora,SLK,2.01,MATCH,1
dragonite,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,1.0,1.0,9257,Vora,SLK,2.01,MATCH,1
DiMAS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,9257,SLK,Vora,2.01,MATCH,1
bld,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,4.0,1.0,9257,SLK,Vora,2.01,MATCH,1
ntk,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,1.0,9257,SLK,Vora,2.01,MATCH,1
Hastad,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,2.0,9257,SLK,Vora,2.01,MATCH,1
DONSA,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,5.0,0.0,9257,SLK,Vora,2.01,MATCH,1
PryZee,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,9099,Vivo,SLK,2.01,MATCH,2
Cpx,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,9099,Vivo,SLK,2.01,MATCH,2
Veroneze,7.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,59.0,0.0,3.0,9099,Vivo,SLK,2.01,MATCH,2
Zap,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,50.0,3.0,2.0,9099,Vivo,SLK,2.01,MATCH,2
Maverick,2.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,65.0,8.0,2.0,9099,Vivo,SLK,2.01,MATCH,2
DiMAS,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,1.0,9099,SLK,Vivo,2.01,MATCH,2
bld,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,5.0,1.0,9099,SLK,Vivo,2.01,MATCH,2
ntk,10.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,68.0,1.0,1.0,9099,SLK,Vivo,2.01,MATCH,2
Hastad,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,79.0,1.0,1.0,9099,SLK,Vivo,2.01,MATCH,2
DONSA,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,8.0,2.0,9099,SLK,Vivo,2.01,MATCH,2
VK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9086,G,SLK,2.01,MATCH,2
rosha,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,9.0,0.0,9086,G,SLK,2.01,MATCH,2
Sushi,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,60.0,1.0,1.0,9086,G,SLK,2.01,MATCH,2
CeLLo,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,1.0,9086,G,SLK,2.01,MATCH,2
Carlin,8.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,92.0,1.0,0.0,9086,G,SLK,2.01,MATCH,2
Tk4h,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,2.0,9086,G,G,2.01,MATCH,2
DiMAS,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,3.0,2.0,9086,SLK,G,2.01,MATCH,2
bld,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0,9086,SLK,G,2.01,MATCH,2
ntk,5.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,63.0,2.0,1.0,9086,SLK,G,2.01,MATCH,2
Hastad,9.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,65.0,0.0,2.0,9086,SLK,G,2.01,MATCH,2
DONSA,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.0,0.0,9086,SLK,,2.01,MATCH,2
v1xen,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,5.0,2.0,9257,Vora,SLK,2.01,MATCH,1
delevingne,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,9257,Vora,SLK,2.01,MATCH,1
krain,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,0.0,1.0,9257,Vora,SLK,2.01,MATCH,1
fzkk,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,1.0,9257,Vora,SLK,2.01,MATCH,1
dragonite,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,1.0,1.0,9257,Vora,SLK,2.01,MATCH,1
