Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,Team,Opp_Team,rounds_won,rounds_lost,Map,Patch
Jonn,jett,398,22,9,5,13,224.6,18,3,1,2,GL,IMP,13,3,SPLIT,1.12
mwzera,raze,268,14,12,5,2,181.0,17,2,1,1,GL,IMP,13,3,SPLIT,1.12
JhoW,omen,185,13,8,7,5,103.9,19,1,1,0,GL,IMP,13,3,SPLIT,1.12
fznnn,cypher,155,8,9,9,-1,83.6,14,1,5,-4,GL,IMP,13,3,SPLIT,1.12
Nyang,breach,131,8,10,3,-2,66.6,15,0,1,-1,GL,IMP,13,3,SPLIT,1.12
tuyz,raze,236,11,12,2,-1,140.9,17,3,1,2,IMP,GL,3,13,SPLIT,1.12
txddy,cypher,232,15,13,0,2,130.3,35,0,1,-1,IMP,GL,3,13,SPLIT,1.12
Biscoit1n,jett,199,10,15,3,-5,119.4,11,4,2,2,IMP,GL,3,13,SPLIT,1.12
Evilkyk,killjoy,129,7,14,5,-7,81.6,28,2,2,0,IMP,GL,3,13,SPLIT,1.12
rst,omen,113,5,11,4,-6,69.4,17,0,1,-1,IMP,GL,3,13,SPLIT,1.12
mwzera,raze,320,26,13,6,13,194.6,23,7,1,6,GL,IMP,13,9,BIND,1.12
JhoW,cypher,228,17,16,5,1,146.2,11,2,2,0,GL,IMP,13,9,BIND,1.12
fznnn,sova,193,16,15,6,1,120.2,18,3,1,2,GL,IMP,13,9,BIND,1.12
Nyang,omen,188,14,12,8,2,124.5,28,1,1,0,GL,IMP,13,9,BIND,1.12
Jonn,reyna,150,12,14,5,-2,74.0,25,2,2,0,GL,IMP,13,9,BIND,1.12
rst,omen,230,18,15,3,3,179.0,27,2,1,1,IMP,GL,9,13,BIND,1.12
txddy,cypher,208,16,18,4,-2,130.1,21,1,4,-3,IMP,GL,9,13,BIND,1.12
Biscoit1n,jett,189,13,19,3,-6,110.9,19,1,6,-5,IMP,GL,9,13,BIND,1.12
Evilkyk,sova,188,11,17,9,-6,129.9,22,1,2,-1,IMP,GL,9,13,BIND,1.12
tuyz,raze,144,11,16,3,-5,108.7,20,2,2,0,IMP,GL,9,13,BIND,1.12
