Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,Team,Opp_Team,Map,Num_maps,Patch
mwzera,294,40,25,11,15,188.9,21,9,2,7,GL,IMP,MATCH,2,1.12
Jonn,274,34,23,10,11,137.4,20,5,3,2,GL,IMP,MATCH,2,1.12
JhoW,207,30,24,12,6,128.4,14,3,3,0,GL,IMP,MATCH,2,1.12
fznnn,174,24,24,15,0,104.8,16,4,6,-2,GL,IMP,MATCH,2,1.12
Nyang,160,22,22,11,0,100.1,24,1,2,-1,GL,IMP,MATCH,2,1.12
txddy,220,31,31,4,0,130.2,26,1,5,-4,IMP,GL,MATCH,2,1.12
Biscoit1n,194,23,34,6,-11,114.5,16,5,8,-3,IMP,GL,MATCH,2,1.12
tuyz,190,22,28,5,-6,122.3,18,5,3,2,IMP,GL,MATCH,2,1.12
rst,172,23,26,7,-3,132.9,24,2,2,0,IMP,GL,MATCH,2,1.12
Evilkyk,159,18,31,14,-13,109.6,24,3,4,-1,IMP,GL,MATCH,2,1.12
