Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
VKS,0,2,0.0,3,1,33.0,2,0,0.0,0,0,,14,12,86.0,IMP,1.0,,8298,HAVEN
IMP,2,2,100.0,3,2,67.0,3,0,0.0,5,2,40.0,8,2,25.0,VKS,1.0,,8298,HAVEN
VKS,2,2,100.0,2,2,100.0,1,0,0.0,4,3,75.0,11,8,73.0,IMP,1.0,,8298,BIND
IMP,0,2,0.0,4,0,0.0,3,0,0.0,1,1,100.0,10,4,40.0,VKS,1.0,,8298,BIND
VKS,2,2,100.0,2,2,100.0,4,1,25.0,5,3,60.0,15,6,40.0,IMP,1.0,,8298,ICEBOX
IMP,0,2,0.0,4,0,0.0,1,0,0.0,3,2,67.0,18,12,67.0,VKS,1.0,,8298,ICEBOX
VKS,2,2,100.0,2,2,100.0,0,0,,3,2,67.0,11,9,82.0,IMP,1.0,,8298,ASCENT
IMP,0,2,0.0,5,0,0.0,1,0,0.0,4,1,25.0,6,2,33.0,VKS,1.0,,8298,ASCENT
VKS,1,2,50.0,2,1,50.0,2,0,0.0,5,2,40.0,21,13,62.0,VK,1.0,,8296,BIND
VK,1,2,50.0,4,2,50.0,3,0,0.0,3,1,33.0,20,11,55.0,VKS,1.0,,8296,BIND
VKS,1,2,50.0,4,1,25.0,0,0,,3,2,67.0,11,10,91.0,VK,1.0,,8296,HAVEN
VK,1,2,50.0,3,1,33.0,1,0,0.0,7,2,29.0,7,2,29.0,VKS,1.0,,8296,HAVEN
VKS,1,2,50.0,3,1,33.0,1,0,0.0,4,3,75.0,10,9,90.0,AU POINT,1.0,,8292,HAVEN
AU POINT,1,2,50.0,3,1,33.0,2,0,0.0,5,2,40.0,8,2,25.0,VKS,1.0,,8292,HAVEN
VKS,2,2,100.0,2,2,100.0,2,1,50.0,4,2,50.0,12,8,67.0,AU POINT,1.0,,8292,ASCENT
AU POINT,0,2,0.0,4,0,0.0,1,0,0.0,4,2,50.0,11,5,45.0,VKS,1.0,,8292,ASCENT
VKS,1,2,50.0,3,1,33.0,1,0,0.0,4,3,75.0,12,9,75.0,ZAM+4,1.0,1.14,8244,BIND
ZAM+4,1,2,50.0,4,1,25.0,1,0,0.0,7,2,29.0,8,4,50.0,VKS,1.0,1.14,8244,BIND
VKS,1,2,50.0,3,1,33.0,2,1,50.0,3,3,100.0,12,8,67.0,ZAM+4,1.0,1.14,8244,ASCENT
ZAM+4,1,2,50.0,2,1,50.0,2,0,0.0,8,3,38.0,8,3,38.0,VKS,1.0,1.14,8244,ASCENT
VKS,2,2,100.0,2,2,100.0,0,0,,4,3,75.0,10,8,80.0,mato30eperco,1.0,1.14,8232,HAVEN
mato30eperco,0,2,0.0,4,0,0.0,4,0,0.0,1,0,0.0,7,3,43.0,VKS,1.0,1.14,8232,HAVEN
paiN,0,2,0.0,5,0,0.0,0,0,,6,1,17.0,6,3,50.0,VKS,1.0,2.01,9101,ASCENT
VKS,2,2,100.0,2,2,100.0,0,0,,3,2,67.0,12,9,75.0,paiN,1.0,2.01,9101,ASCENT
paiN,1,2,50.0,3,1,33.0,2,0,0.0,6,2,33.0,8,3,38.0,VKS,1.0,2.01,9101,HAVEN
VKS,1,2,50.0,3,1,33.0,1,0,0.0,3,3,100.0,12,9,75.0,paiN,1.0,2.01,9101,HAVEN
IMP,0,2,0.0,4,0,0.0,3,0,0.0,2,0,0.0,10,6,60.0,VKS,1.0,2.01,9260,ASCENT
VKS,2,2,100.0,2,2,100.0,1,1,100.0,5,3,60.0,11,7,64.0,IMP,1.0,2.01,9260,ASCENT
S5,0,2,0.0,4,0,0.0,2,0,0.0,5,2,40.0,7,3,43.0,VKS,1.0,2.01,9425,ASCENT
VKS,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,13,8,62.0,S5,1.0,2.01,9425,ASCENT
S5,1,2,50.0,4,1,25.0,3,1,33.0,3,2,67.0,10,3,30.0,VKS,1.0,2.01,9425,BIND
VKS,1,2,50.0,3,1,33.0,0,0,,4,3,75.0,13,9,69.0,S5,1.0,2.01,9425,BIND
VKS,0,2,0.0,4,0,0.0,1,0,0.0,6,4,67.0,13,7,54.0,Vorax,1.0,2.02,10342,BIND
Vorax,2,2,100.0,3,2,67.0,0,0,,6,3,50.0,15,8,53.0,VKS,1.0,2.02,10342,BIND
B4,0,2,0.0,4,0,0.0,2,1,50.0,4,3,75.0,16,8,50.0,VKS,1.0,2.02,10346,ICEBOX
VKS,2,2,100.0,2,2,100.0,1,1,100.0,9,3,33.0,14,8,57.0,B4,1.0,2.02,10346,ICEBOX
B4,2,2,100.0,3,3,100.0,1,0,0.0,6,4,67.0,11,6,55.0,VKS,1.0,2.02,10346,HAVEN
VKS,0,2,0.0,3,0,0.0,3,1,33.0,6,2,33.0,9,5,56.0,B4,1.0,2.02,10346,HAVEN
B4,0,2,0.0,4,1,25.0,3,0,0.0,5,4,80.0,11,5,45.0,VKS,1.0,2.02,10346,BIND
VKS,2,2,100.0,2,2,100.0,1,0,0.0,6,3,50.0,14,8,57.0,B4,1.0,2.02,10346,BIND
SLK,0,2,0.0,3,0,0.0,3,0,0.0,3,1,33.0,9,4,44.0,VKS,1.0,2.02,10348,BIND
VKS,2,2,100.0,2,2,100.0,0,0,,4,3,75.0,12,8,67.0,SLK,1.0,2.02,10348,BIND
SLK,1,2,50.0,3,1,33.0,2,0,0.0,4,2,50.0,13,6,46.0,VKS,1.0,2.02,10348,SPLIT
VKS,1,2,50.0,3,1,33.0,2,0,0.0,5,4,80.0,12,8,67.0,SLK,1.0,2.02,10348,SPLIT
VKS,0,2,0.0,3,0,0.0,1,0,0.0,6,3,50.0,7,1,14.0,SHK,1.0,2.03,13024,HAVEN
SHK,2,2,100.0,3,2,67.0,0,0,,3,2,67.0,11,9,82.0,VKS,1.0,2.03,13024,HAVEN
VKS,1,2,50.0,2,1,50.0,0,0,,5,4,80.0,10,8,80.0,SHK,1.0,2.03,13024,ASCENT
SHK,1,2,50.0,3,2,67.0,3,1,33.0,4,0,0.0,7,1,14.0,VKS,1.0,2.03,13024,ASCENT
VKS,1,2,50.0,3,2,67.0,1,0,0.0,6,4,67.0,10,7,70.0,SHK,1.0,2.03,13024,BIND
SHK,1,2,50.0,4,1,25.0,1,0,0.0,9,3,33.0,6,3,50.0,VKS,1.0,2.03,13024,BIND
paiN,0,2,0.0,4,0,0.0,2,0,0.0,1,0,0.0,15,9,60.0,VKS,1.0,2.03,13026,BIND
VKS,2,2,100.0,2,2,100.0,3,1,33.0,2,2,100.0,15,8,53.0,paiN,1.0,2.03,13026,BIND
paiN,0,2,0.0,4,0,0.0,2,0,0.0,3,0,0.0,5,1,20.0,VKS,1.0,2.03,13026,HAVEN
VKS,2,2,100.0,2,2,100.0,0,0,,4,3,75.0,8,8,100.0,paiN,1.0,2.03,13026,HAVEN
GLB,2,2,100.0,3,2,67.0,1,0,0.0,8,3,38.0,10,4,40.0,VKS,1.0,2.03,13027,HAVEN
VKS,0,2,0.0,4,0,0.0,0,0,,4,4,100.0,14,9,64.0,GLB,1.0,2.03,13027,HAVEN
GLB,1,2,50.0,2,1,50.0,2,0,0.0,8,5,62.0,10,3,30.0,VKS,1.0,2.03,13027,BIND
VKS,1,2,50.0,3,1,33.0,2,1,50.0,2,1,50.0,15,10,67.0,GLB,1.0,2.03,13027,BIND
GLB,1,2,50.0,3,1,33.0,2,0,0.0,4,2,50.0,15,8,53.0,VKS,1.0,2.03,13027,ICEBOX
VKS,1,2,50.0,3,1,33.0,1,0,0.0,5,2,40.0,15,10,67.0,GLB,1.0,2.03,13027,ICEBOX
VKS,0,2,0.0,4,0,0.0,2,0,0.0,6,2,33.0,10,7,70.0,B4,1.0,,14098,HAVEN
B4,2,2,100.0,3,2,67.0,2,0,0.0,3,3,100.0,14,8,57.0,VKS,1.0,,14098,HAVEN
VKS,2,2,100.0,2,2,100.0,0,0,,4,4,100.0,11,7,64.0,B4,1.0,,14098,BIND
B4,0,2,0.0,3,0,0.0,3,1,33.0,3,0,0.0,8,3,38.0,VKS,1.0,,14098,BIND
VKS,2,2,100.0,2,2,100.0,0,0,,5,5,100.0,9,6,67.0,B4,1.0,,14098,ASCENT
B4,0,2,0.0,4,0,0.0,3,0,0.0,2,0,0.0,7,3,43.0,VKS,1.0,,14098,ASCENT
VKS,2,2,100.0,2,2,100.0,0,0,,3,3,100.0,14,8,57.0,FREEAGENTS,1.0,,14198,ICEBOX
FREEAGENTS,0,2,0.0,5,0,0.0,1,0,0.0,6,2,33.0,7,4,57.0,VKS,1.0,,14198,ICEBOX
VKS,0,2,0.0,3,0,0.0,2,2,100.0,3,1,33.0,15,10,67.0,Vorax,1.0,,14202,HAVEN
Vorax,2,2,100.0,2,2,100.0,3,0,0.0,6,4,67.0,12,4,33.0,VKS,1.0,,14202,HAVEN
VKS,0,2,0.0,4,1,25.0,0,0,,5,5,100.0,14,7,50.0,Vorax,1.0,,14202,ICEBOX
Vorax,2,2,100.0,4,2,50.0,3,0,0.0,3,1,33.0,13,7,54.0,VKS,1.0,,14202,ICEBOX
VKS,2,2,100.0,2,2,100.0,1,1,100.0,4,4,100.0,14,6,43.0,GLB,1.0,2.06,15735,ASCENT
GLB,0,2,0.0,3,0,0.0,3,0,0.0,5,3,60.0,10,5,50.0,VKS,1.0,2.06,15735,ASCENT
VKS,1,2,50.0,3,1,33.0,4,0,0.0,2,2,100.0,12,5,42.0,GLB,1.0,2.06,15735,ICEBOX
GLB,1,2,50.0,3,1,33.0,0,0,,3,2,67.0,15,10,67.0,VKS,1.0,2.06,15735,ICEBOX
VKS,0,2,0.0,3,0,0.0,3,1,33.0,4,2,50.0,16,9,56.0,GLB,1.0,2.06,15735,HAVEN
GLB,2,2,100.0,2,2,100.0,1,0,0.0,7,5,71.0,16,7,44.0,VKS,1.0,2.06,15735,HAVEN
VKS,1,2,50.0,3,1,33.0,0,0,,2,1,50.0,12,11,92.0,SLK,1.0,2.06,15737,HAVEN
SLK,1,2,50.0,3,1,33.0,2,0,0.0,4,1,25.0,8,2,25.0,VKS,1.0,2.06,15737,HAVEN
VKS,0,2,0.0,3,0,0.0,0,0,,2,2,100.0,14,11,79.0,SLK,1.0,2.06,15737,BIND
SLK,2,2,100.0,3,2,67.0,2,0,0.0,5,1,20.0,9,3,33.0,VKS,1.0,2.06,15737,BIND
