Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
gtnziN,raze,320,21,11,7,10,197.3,12,1,4,-3,8298,VKS,IMP,13,6,6,1,7,5,HAVEN,
frz,phoenix,229,16,11,6,5,139.7,20,1,5,-4,8298,VKS,IMP,13,6,6,1,7,5,HAVEN,
Sacy,sova,227,15,10,6,5,147.8,31,2,1,1,8298,VKS,IMP,13,6,6,1,7,5,HAVEN,
saadhak,cypher,211,13,8,6,5,130.1,16,2,1,1,8298,VKS,IMP,13,6,6,1,7,5,HAVEN,
sutecas,omen,137,8,11,11,-3,133.6,24,2,0,2,8298,VKS,IMP,13,6,6,1,7,5,HAVEN,
Evilkyk,reyna,235,15,17,5,-2,152.6,37,4,2,2,8298,IMP,VKS,6,13,5,7,1,6,HAVEN,
gustt1nha,sova,217,12,14,4,-2,152.6,20,2,1,1,8298,IMP,VKS,6,13,5,7,1,6,HAVEN,
Biscoit1n,omen,175,12,14,3,-2,109.9,23,3,2,1,8298,IMP,VKS,6,13,5,7,1,6,HAVEN,
tuyz,jett,109,7,15,2,-8,67.9,32,2,3,-1,8298,IMP,VKS,6,13,5,7,1,6,HAVEN,
rst,cypher,92,5,13,3,-8,66.2,19,0,0,0,8298,IMP,VKS,6,13,5,7,1,6,HAVEN,
sutecas,omen,306,21,10,5,11,165.7,13,2,0,2,8298,VKS,IMP,13,5,3,3,10,2,BIND,
saadhak,cypher,275,18,9,8,9,151.3,20,4,1,3,8298,VKS,IMP,13,5,3,3,10,2,BIND,
frz,reyna,222,14,9,6,5,134.2,30,5,3,2,8298,VKS,IMP,13,5,3,3,10,2,BIND,
Sacy,sova,185,12,8,9,4,130.6,23,1,0,1,8298,VKS,IMP,13,5,3,3,10,2,BIND,
gtnziN,raze,161,11,10,3,1,99.6,16,0,2,-2,8298,VKS,IMP,13,5,3,3,10,2,BIND,
Evilkyk,sova,226,14,15,3,-1,151.1,29,2,0,2,8298,IMP,VKS,5,13,2,10,3,3,BIND,
gustt1nha,raze,178,11,15,2,-4,110.8,20,1,4,-3,8298,IMP,VKS,5,13,2,10,3,3,BIND,
tuyz,jett,147,8,16,3,-8,102.2,22,2,5,-3,8298,IMP,VKS,5,13,2,10,3,3,BIND,
rst,cypher,131,6,14,9,-8,144.1,13,1,1,0,8298,IMP,VKS,5,13,2,10,3,3,BIND,
Biscoit1n,omen,120,7,16,6,-9,86.9,33,0,2,-2,8298,IMP,VKS,5,13,2,10,3,3,BIND,
gtnziN,raze,262,23,18,5,5,152.4,12,8,2,6,8298,VKS,IMP,12,14,5,7,7,5,ICEBOX,
saadhak,killjoy,248,21,21,15,0,167.1,19,1,6,-5,8298,VKS,IMP,12,14,5,7,7,5,ICEBOX,
sutecas,omen,210,20,21,2,-1,139.9,25,1,3,-2,8298,VKS,IMP,12,14,5,7,7,5,ICEBOX,
