Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
gtnziN,264,75,48,20,27,157.5,13,11,10,1,8298,VKS,IMP,MATCH,4,
sutecas,235,66,49,21,17,149.9,20,8,4,4,8298,VKS,IMP,MATCH,4,
frz,233,60,48,29,12,130.9,28,13,9,4,8298,VKS,IMP,MATCH,4,
saadhak,211,58,45,31,13,137.7,18,7,9,-2,8298,VKS,IMP,MATCH,4,
Sacy,194,55,45,30,10,134.6,26,7,1,6,8298,VKS,IMP,MATCH,4,
gustt1nha,227,61,59,16,2,148.3,18,7,9,-2,8298,IMP,VKS,MATCH,4,
Evilkyk,204,52,70,19,-18,134.4,29,6,6,0,8298,IMP,VKS,MATCH,4,
Biscoit1n,174,48,60,15,-12,114.1,18,4,8,-4,8298,IMP,VKS,MATCH,4,
rst,145,39,58,17,-19,115.4,17,7,5,2,8298,IMP,VKS,MATCH,4,
tuyz,137,35,67,11,-32,97.7,28,9,18,-9,8298,IMP,VKS,MATCH,4,
saadhak,332,52,30,17,22,175.4,26,11,3,8,8296,VKS,Vivo,MATCH,2,
gtnziN,275,47,27,12,20,177.9,13,7,2,5,8296,VKS,Vivo,MATCH,2,
Sacy,259,43,25,20,18,164.9,30,6,0,6,8296,VKS,Vivo,MATCH,2,
frz,174,32,29,9,3,114.5,22,8,9,-1,8296,VKS,Vivo,MATCH,2,
sutecas,89,14,29,16,-15,65.1,13,0,2,-2,8296,VKS,Vivo,MATCH,2,
patochovsk,247,39,36,12,3,176.4,21,6,7,-1,8296,Vivo,VKS,MATCH,2,
NikkoLAN,242,39,35,8,4,195.9,19,2,4,-2,8296,Vivo,VKS,MATCH,2,
NANZIN,146,23,40,10,-17,98.5,39,1,3,-2,8296,Vivo,VKS,MATCH,2,
flainzz,142,25,36,5,-11,93.3,15,3,6,-3,8296,Vivo,VKS,MATCH,2,
FLG1,87,14,41,7,-27,59.3,24,4,12,-8,8296,Vivo,VKS,MATCH,2,
frz,253,33,26,13,7,157.6,24,4,6,-2,8292,VKS,P,MATCH,2,
gtnziN,250,34,26,11,8,157.5,12,7,5,2,8292,VKS,P,MATCH,2,
sutecas,248,38,20,9,18,151.8,35,0,4,-4,8292,VKS,P,MATCH,2,
Sacy,209,26,23,17,3,142.2,26,2,3,-1,8292,VKS,P,MATCH,2,
saadhak,198,24,20,7,4,128.4,18,4,3,1,8292,VKS,P,MATCH,2,
rpAiva,266,35,34,7,1,179.0,28,11,1,10,8292,P,VKS,MATCH,2,
pavel,241,30,30,13,0,154.4,15,1,7,-6,8292,P,VKS,MATCH,2,
fAk,142,18,31,2,-13,84.3,19,6,5,1,8292,P,VKS,MATCH,2,
mNdS,131,16,31,10,-15,96.1,27,2,2,0,8292,P,VKS,MATCH,2,
zaxdeuS,128,16,29,7,-13,87.4,29,1,2,-1,8292,P,VKS,MATCH,2,
