Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
frz,2,1,1,0,0.0,0.0,0.0,0,0.0,58,0,0,8298,VKS,IMP,HAVEN,
Sacy,2,2,0,0,0.0,0.0,0.0,0,0.0,75,3,1,8298,VKS,IMP,HAVEN,
saadhak,1,2,0,0,0.0,0.0,0.0,0,0.0,79,2,1,8298,VKS,IMP,HAVEN,
gtnziN,4,0,2,0,0.0,0.0,0.0,0,0.0,89,1,0,8298,VKS,IMP,HAVEN,
sutecas,1,0,0,1,0.0,0.0,0.0,1,0.0,60,3,0,8298,VKS,IMP,HAVEN,
rst,0,0,0,0,0.0,0.0,0.0,0,0.0,26,1,0,8298,IMP,VKS,HAVEN,
Evilkyk,5,1,0,0,0.0,0.0,0.0,0,0.0,55,0,1,8298,IMP,VKS,HAVEN,
gustt1nha,2,0,0,0,0.0,0.0,0.0,0,0.0,55,2,0,8298,IMP,VKS,HAVEN,
tuyz,0,1,0,0,0.0,0.0,0.0,0,0.0,29,0,1,8298,IMP,VKS,HAVEN,
Biscoit1n,1,1,0,0,0.0,0.0,0.0,0,0.0,45,0,0,8298,IMP,VKS,HAVEN,
frz,4,0,0.0,0.0,0,0,0.0,0.0,0.0,52,1,0,8298,VKS,IMP,BIND,
Sacy,0,0,0.0,0.0,0,0,0.0,0.0,0.0,63,2,0,8298,VKS,IMP,BIND,
saadhak,4,2,0.0,0.0,1,0,0.0,0.0,0.0,69,3,0,8298,VKS,IMP,BIND,
gtnziN,2,1,0.0,0.0,0,1,0.0,0.0,0.0,41,1,0,8298,VKS,IMP,BIND,
sutecas,5,1,0.0,0.0,0,0,0.0,0.0,0.0,64,2,0,8298,VKS,IMP,BIND,
rst,0,1,0.0,0.0,0,0,0.0,0.0,0.0,64,1,0,8298,IMP,VKS,BIND,
Evilkyk,2,1,0.0,0.0,1,0,0.0,0.0,0.0,67,1,0,8298,IMP,VKS,BIND,
gustt1nha,3,0,0.0,0.0,0,0,0.0,0.0,0.0,48,0,1,8298,IMP,VKS,BIND,
tuyz,1,1,0.0,0.0,0,0,0.0,0.0,0.0,41,0,0,8298,IMP,VKS,BIND,
Biscoit1n,1,0,0.0,0.0,0,0,0.0,0.0,0.0,37,1,0,8298,IMP,VKS,BIND,
frz,2,0,0,0.0,0,1,0.0,0.0,0.0,29,0,2,8298,VKS,IMP,ICEBOX,
