Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Patch,Map,Num_maps
frz,11.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,1.0,2.0,8298,VKS,IMP,,MATCH,4
Sacy,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.0,10.0,3.0,8298,VKS,IMP,,MATCH,4
saadhak,8.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.0,12.0,1.0,8298,VKS,IMP,,MATCH,4
gtnziN,15.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,62.0,3.0,0.0,8298,VKS,IMP,,MATCH,4
sutecas,15.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,67.0,9.0,1.0,8298,VKS,IMP,,MATCH,4
rst,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,5.0,0.0,8298,IMP,VKS,,MATCH,4
Evilkyk,13.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,51.0,1.0,1.0,8298,IMP,VKS,,MATCH,4
gustt1nha,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,9.0,3.0,8298,IMP,VKS,,MATCH,4
tuyz,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,1.0,8298,IMP,VKS,,MATCH,4
Biscoit1n,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,8298,IMP,VKS,,MATCH,4
frz,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,8296,VKS,Vivo,,MATCH,2
Sacy,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77.0,4.0,2.0,8296,VKS,Vivo,,MATCH,2
saadhak,7.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,6.0,1.0,8296,VKS,Vivo,,MATCH,2
gtnziN,12.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65.0,4.0,1.0,8296,VKS,Vivo,,MATCH,2
sutecas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,9.0,1.0,8296,VKS,Vivo,,MATCH,2
NANZIN,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,6.0,1.0,8296,Vivo,VKS,,MATCH,2
flainzz,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,1.0,8296,Vivo,VKS,,MATCH,2
patochovsk,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61.0,1.0,2.0,8296,Vivo,VKS,,MATCH,2
FLG1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,1.0,8296,Vivo,VKS,,MATCH,2
NikkoLAN,7.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,78.0,0.0,3.0,8296,Vivo,VKS,,MATCH,2
frz,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0,8292,VKS,P,,MATCH,2
Sacy,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,4.0,0.0,8292,VKS,P,,MATCH,2
saadhak,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,6.0,1.0,8292,VKS,P,,MATCH,2
gtnziN,7.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,2.0,0.0,8292,VKS,P,,MATCH,2
sutecas,9.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,72.0,2.0,0.0,8292,VKS,P,,MATCH,2
pavel,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,0.0,8292,P,VKS,,MATCH,2
DONSA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,0.0,8292,P,VKS,,MATCH,2
rpAiva,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,8292,P,VKS,,MATCH,2
fAk,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,8292,P,VKS,,MATCH,2
zaxdeuS,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,1.0,8292,P,VKS,,MATCH,2
frz,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,53.0,0.0,2.0,8244,VKS,ZAM+,1.14,MATCH,2
Sacy,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.0,7.0,2.0,8244,VKS,ZAM+,1.14,MATCH,2
saadhak,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,2.0,8244,VKS,ZAM+,1.14,MATCH,2
gtnziN,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,1.0,8244,VKS,ZAM+,1.14,MATCH,2
sutecas,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,3.0,0.0,8244,VKS,ZAM+,1.14,MATCH,2
BRNWOWZK1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,0.0,8244,ZAM+,VKS,1.14,MATCH,2
DiMAS,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,2.0,2.0,8244,ZAM+,VKS,1.14,MATCH,2
deM0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,0.0,8244,ZAM+,VKS,1.14,MATCH,2
rhamurti,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,3.0,0.0,8244,ZAM+,VKS,1.14,MATCH,2
zam,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,0.0,8244,ZAM+,VKS,1.14,MATCH,2
frz,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,2.0,8232,VKS,mato,1.14,MATCH,1
Sacy,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,8232,VKS,mato,1.14,MATCH,1
saadhak,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,8232,VKS,mato,1.14,MATCH,1
gtnziN,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,1.0,8232,VKS,mato,1.14,MATCH,1
sutecas,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,1.0,0.0,8232,VKS,mato,1.14,MATCH,1
caixinhadesom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,8232,mato,VKS,1.14,MATCH,1
furlan,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,8232,mato,VKS,1.14,MATCH,1
batini,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,8232,mato,VKS,1.14,MATCH,1
goNtheKING,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,8232,mato,VKS,1.14,MATCH,1
brh1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,8232,mato,VKS,1.14,MATCH,1
