Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
NOORG2.0,0,2,0.0,4,0,0.0,3,0,0.0,0,0,,11,5,45.0,FF,1.0,1.08,3235,BIND
FF,2,2,100.0,2,2,100.0,0,0,,6,6,100.0,10,5,50.0,NOORG2.0,1.0,1.08,3235,BIND
NOORG2.0,2,2,100.0,2,2,100.0,3,0,0.0,4,3,75.0,15,8,53.0,FF,1.0,1.08,3235,ASCENT
FF,0,2,0.0,4,0,0.0,2,0,0.0,4,3,75.0,14,8,57.0,NOORG2.0,1.0,1.08,3235,ASCENT
NOORG2.0,2,2,100.0,2,2,100.0,1,1,100.0,8,4,50.0,15,7,47.0,FF,1.0,1.08,3235,SPLIT
FF,0,2,0.0,4,0,0.0,2,1,50.0,2,2,100.0,18,9,50.0,NOORG2.0,1.0,1.08,3235,SPLIT
GLB,0,2,0.0,4,0,0.0,1,0,0.0,6,4,67.0,9,3,33.0,FF,1.0,1.08,3214,BIND
FF,2,2,100.0,2,2,100.0,1,1,100.0,4,3,75.0,13,7,54.0,GLB,1.0,1.08,3214,BIND
GLB,1,2,50.0,2,1,50.0,3,0,0.0,5,1,20.0,8,3,38.0,FF,1.0,1.08,3214,ASCENT
FF,1,2,50.0,3,1,33.0,0,0,,3,3,100.0,12,9,75.0,GLB,1.0,1.08,3214,ASCENT
VIMDOLOL,0,2,0.0,4,1,25.0,0,0,,3,0,0.0,19,13,68.0,FF,1.0,1.08,3084,HAVEN
FF,2,2,100.0,3,2,67.0,3,0,0.0,2,1,50.0,18,9,50.0,VIMDOLOL,1.0,1.08,3084,HAVEN
FF,2,2,100.0,2,2,100.0,2,1,50.0,4,2,50.0,10,8,80.0,QSM,1.0,1.08,3085,BIND
QSM,0,2,0.0,4,0,0.0,2,0,0.0,3,1,33.0,9,4,44.0,FF,1.0,1.08,3085,BIND
FF,2,2,100.0,2,2,100.0,1,0,0.0,4,4,100.0,12,7,58.0,QSM,1.0,1.08,3085,ASCENT
QSM,0,2,0.0,4,0,0.0,4,1,25.0,0,0,,11,5,45.0,FF,1.0,1.08,3085,ASCENT
N2B,0,2,0.0,4,0,0.0,1,0,0.0,3,0,0.0,11,6,55.0,FF,1.0,1.08,3048,BIND
FF,2,2,100.0,2,2,100.0,0,0,,5,4,80.0,12,7,58.0,N2B,1.0,1.08,3048,BIND
Mix,1,2,50.0,3,1,33.0,1,0,0.0,6,3,50.0,12,5,42.0,FF,1.0,1.1,4702,BIND
FF,1,2,50.0,3,1,33.0,1,1,100.0,2,2,100.0,16,9,56.0,Mix,1.0,1.1,4702,BIND
Mix,1,2,50.0,3,1,33.0,0,0,,7,6,86.0,9,6,67.0,FF,1.0,1.1,4702,SPLIT
FF,1,2,50.0,3,1,33.0,0,0,,8,3,38.0,8,2,25.0,Mix,1.0,1.1,4702,SPLIT
Mix,1,2,50.0,4,2,50.0,1,0,0.0,3,0,0.0,16,9,56.0,FF,1.0,1.1,4702,HAVEN
FF,1,2,50.0,2,1,50.0,4,1,25.0,4,1,25.0,14,10,71.0,Mix,1.0,1.1,4702,HAVEN
FF,1,2,50.0,3,1,33.0,0,0,,2,2,100.0,14,10,71.0,FKL,1.0,1.1,4701,SPLIT
FKL,1,2,50.0,3,1,33.0,4,1,25.0,6,2,33.0,6,2,33.0,FF,1.0,1.1,4701,SPLIT
FF,0,2,0.0,5,0,0.0,0,0,,1,0,0.0,18,13,72.0,FKL,1.0,1.1,4701,ASCENT
FKL,2,2,100.0,3,2,67.0,0,0,,5,2,40.0,16,7,44.0,FF,1.0,1.1,4701,ASCENT
FF,1,2,50.0,2,1,50.0,3,0,0.0,3,2,67.0,24,14,58.0,ME CONTRATA,1.0,1.1,4631,SPLIT
