Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
NOORG2.0,4,6,67.0,8,4,50.0,7,1,14.0,12,7,58.0,41,20,49.0,FF,3.0,1.08,3235,MATCH
FF,2,6,33.0,10,2,20.0,4,1,25.0,12,11,92.0,42,22,52.0,NOORG2.0,3.0,1.08,3235,MATCH
GLB,1,4,25.0,6,1,17.0,4,0,0.0,11,5,45.0,17,6,35.0,FF,2.0,1.08,3214,MATCH
FF,3,4,75.0,5,3,60.0,1,1,100.0,7,6,86.0,25,16,64.0,GLB,2.0,1.08,3214,MATCH
VIMDOLOL,0,2,0.0,4,1,25.0,0,0,,3,0,0.0,19,13,68.0,FF,1.0,1.08,3084,MATCH
FF,2,2,100.0,3,2,67.0,3,0,0.0,2,1,50.0,18,9,50.0,VIMDOLOL,1.0,1.08,3084,MATCH
FF,4,4,100.0,4,4,100.0,3,1,33.0,8,6,75.0,22,15,68.0,QSM,2.0,1.08,3085,MATCH
QSM,0,4,0.0,8,0,0.0,6,1,17.0,3,1,33.0,20,9,45.0,FF,2.0,1.08,3085,MATCH
N2B,0,2,0.0,4,0,0.0,1,0,0.0,3,0,0.0,11,6,55.0,FF,1.0,1.08,3048,MATCH
FF,2,2,100.0,2,2,100.0,0,0,,5,4,80.0,12,7,58.0,N2B,1.0,1.08,3048,MATCH
Mix,3,6,50.0,10,4,40.0,2,0,0.0,16,9,56.0,37,20,54.0,FF,3.0,1.1,4702,MATCH
FF,3,6,50.0,8,3,38.0,5,2,40.0,14,6,43.0,38,21,55.0,Mix,3.0,1.1,4702,MATCH
FF,1,4,25.0,8,1,12.0,0,0,,3,2,67.0,32,23,72.0,FKL,2.0,1.1,4701,MATCH
FKL,3,4,75.0,6,3,50.0,4,1,25.0,11,4,36.0,22,9,41.0,FF,2.0,1.1,4701,MATCH
FF,4,6,67.0,7,4,57.0,8,1,12.0,11,7,64.0,55,28,51.0,ME CONTRATA,3.0,1.1,4631,MATCH
ME CONTRATA,2,6,33.0,10,2,20.0,4,1,25.0,16,9,56.0,51,29,57.0,FF,3.0,1.1,4631,MATCH
novidades em breve,1,2,50.0,4,1,25.0,0,0,,8,5,62.0,11,4,36.0,FF,1.0,1.1,4624,MATCH
FF,1,2,50.0,3,1,33.0,2,0,0.0,6,3,50.0,12,9,75.0,novidades em breve,1.0,1.1,4624,MATCH
FAKEZIN,0,2,0.0,3,0,0.0,1,0,0.0,3,2,67.0,17,11,65.0,FF,1.0,1.08,3066,MATCH
FF,2,2,100.0,3,2,67.0,2,0,0.0,3,2,67.0,16,7,44.0,FAKEZIN,1.0,1.08,3066,MATCH
B4,1,2,50.0,3,1,33.0,2,0,0.0,4,2,50.0,23,14,61.0,FF,1.0,1.08,2939,MATCH
FF,1,2,50.0,3,1,33.0,0,0,,4,3,75.0,25,11,44.0,B4,1.0,1.08,2939,MATCH
FF,2,2,100.0,2,2,100.0,0,0,,2,2,100.0,10,9,90.0,HL,1.0,1.08,3063,MATCH
HL,0,2,0.0,3,0,0.0,4,0,0.0,2,0,0.0,5,1,20.0,FF,1.0,1.08,3063,MATCH
FF,1,2,50.0,3,1,33.0,2,0,0.0,3,3,100.0,14,9,64.0,QSM,1.0,1.08,3058,MATCH
QSM,1,2,50.0,2,1,50.0,3,0,0.0,3,1,33.0,14,7,50.0,FF,1.0,1.08,3058,MATCH
FF,2,2,100.0,3,2,67.0,2,0,0.0,3,0,0.0,14,11,79.0,ANA,1.0,1.08,2928,MATCH
ANA,0,2,0.0,3,1,33.0,0,0,,5,3,60.0,14,5,36.0,FF,1.0,1.08,2928,MATCH
FF,3,4,75.0,5,3,60.0,1,1,100.0,4,4,100.0,25,18,72.0,NEW,2.0,1.12,5281,MATCH
NEW,1,4,25.0,8,1,12.0,5,2,40.0,10,3,30.0,12,3,25.0,FF,2.0,1.12,5281,MATCH
FF,2,4,50.0,6,3,50.0,4,1,25.0,3,3,100.0,29,19,66.0,ATHZ,2.0,1.12,5269,MATCH
ATHZ,2,4,50.0,7,2,29.0,5,0,0.0,5,2,40.0,25,12,48.0,FF,2.0,1.12,5269,MATCH
FF,0,2,0.0,4,0,0.0,1,0,0.0,3,2,67.0,11,4,36.0,DG,1.0,1.07,2700,MATCH
DG,2,2,100.0,2,2,100.0,0,0,,6,4,67.0,11,7,64.0,FF,1.0,1.07,2700,MATCH
ANA,1,2,50.0,4,1,25.0,0,0,,7,1,14.0,6,2,33.0,FF,1.0,1.07,2717,MATCH
FF,1,2,50.0,3,1,33.0,0,0,,3,3,100.0,11,9,82.0,ANA,1.0,1.07,2717,MATCH
FKL,0,2,0.0,3,0,0.0,2,0,0.0,7,3,43.0,6,2,33.0,FF,1.0,1.07,2738,MATCH
FF,2,2,100.0,3,2,67.0,0,0,,2,1,50.0,13,10,77.0,FKL,1.0,1.07,2738,MATCH
GLB,4,6,67.0,8,4,50.0,3,0,0.0,17,7,41.0,38,19,50.0,FF,3.0,1.08,2744,MATCH
FF,2,6,33.0,10,2,20.0,5,1,20.0,9,7,78.0,42,26,62.0,GLB,3.0,1.08,2744,MATCH
