Player,Agents,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,rounds_won,rounds_lost,ct_rounds_won,ct_rounds_lost,t_rounds_won,t_rounds_lost,Map,Patch
matheuzin,cypher,296,18,15,8,3,172.1,33,6,2,4,3235,NOOR,FF,5,13,5,7,0,6,BIND,
ole,sage,172,9,14,6,-5,116.2,22,0,0,0,3235,NOOR,FF,5,13,5,7,0,6,BIND,
murizzz,sova,172,11,15,3,-4,92.3,9,2,1,1,3235,NOOR,FF,5,13,5,7,0,6,BIND,
Txozin,brimstone,163,11,15,3,-4,111.7,21,3,1,2,3235,NOOR,FF,5,13,5,7,0,6,BIND,
kon4n,phoenix,140,7,17,4,-10,85.3,28,1,2,-1,3235,NOOR,FF,5,13,5,7,0,6,BIND,
v1xen,omen,383,27,8,3,19,230.5,44,1,1,0,3235,FF,NOOR,13,5,6,0,7,5,BIND,
krain,sova,238,14,10,9,4,145.9,6,1,1,0,3235,FF,NOOR,13,5,6,0,7,5,BIND,
dragonite,cypher,203,10,15,6,-5,139.6,29,1,2,-1,3235,FF,NOOR,13,5,6,0,7,5,BIND,
fzkk,raze,182,13,12,4,1,99.4,10,2,3,-1,3235,FF,NOOR,13,5,6,0,7,5,BIND,
delevingne,jett,174,12,11,3,1,93.9,6,1,5,-4,3235,FF,NOOR,13,5,6,0,7,5,BIND,
murizzz,jett,285,26,18,4,8,145.6,11,5,2,3,3235,NOOR,FF,13,11,8,4,5,7,ASCENT,
kon4n,sage,247,22,16,6,6,180.3,50,3,1,2,3235,NOOR,FF,13,11,8,4,5,7,ASCENT,
ole,sova,231,19,14,9,5,137.5,10,0,1,-1,3235,NOOR,FF,13,11,8,4,5,7,ASCENT,
Txozin,omen,172,14,18,6,-4,113.8,19,2,2,0,3235,NOOR,FF,13,11,8,4,5,7,ASCENT,
matheuzin,cypher,103,9,15,9,-6,66.1,23,2,6,-4,3235,NOOR,FF,13,11,8,4,5,7,ASCENT,
dragonite,cypher,243,20,19,3,1,140.5,25,3,1,2,3235,FF,NOOR,11,13,7,5,4,8,ASCENT,
krain,sova,228,19,16,6,3,143.8,14,1,1,0,3235,FF,NOOR,11,13,7,5,4,8,ASCENT,
v1xen,omen,211,17,16,6,1,136.2,17,3,2,1,3235,FF,NOOR,11,13,7,5,4,8,ASCENT,
delevingne,jett,152,14,18,1,-4,74.9,8,3,2,1,3235,FF,NOOR,11,13,7,5,4,8,ASCENT,
fzkk,raze,143,10,21,6,-11,97.4,7,2,6,-4,3235,FF,NOOR,11,13,7,5,4,8,ASCENT,
kon4n,raze,329,28,14,12,14,218.8,21,3,2,1,3235,NOOR,FF,14,12,7,5,5,7,SPLIT,
Txozin,omen,230,27,12,5,15,136.0,30,1,1,0,3235,NOOR,FF,14,12,7,5,5,7,SPLIT,
murizzz,jett,197,17,19,3,-2,112.4,8,6,3,3,3235,NOOR,FF,14,12,7,5,5,7,SPLIT,
ole,killjoy,152,12,16,6,-4,109.8,7,1,1,0,3235,NOOR,FF,14,12,7,5,5,7,SPLIT,
matheuzin,cypher,133,12,19,5,-7,87.2,19,5,3,2,3235,NOOR,FF,14,12,7,5,5,7,SPLIT,
delevingne,jett,240,22,19,3,3,151.2,15,4,10,-6,3235,FF,NOOR,12,14,7,5,5,7,SPLIT,
fzkk,raze,221,17,23,5,-6,149.4,12,2,2,0,3235,FF,NOOR,12,14,7,5,5,7,SPLIT,
v1xen,omen,202,17,19,9,-2,137.9,19,1,0,1,3235,FF,NOOR,12,14,7,5,5,7,SPLIT,
krain,breach,138,13,16,11,-3,87.7,18,1,1,0,3235,FF,NOOR,12,14,7,5,5,7,SPLIT,
dragonite,cypher,135,11,19,4,-8,86.7,10,2,3,-1,3235,FF,NOOR,12,14,7,5,5,7,SPLIT,
mwzera,raze,253,15,12,2,3,147.2,16,2,1,1,3214,GLB,FF,7,13,3,5,4,8,BIND,
fznnn,cypher,159,9,14,2,-5,108.9,28,0,2,-2,3214,GLB,FF,7,13,3,5,4,8,BIND,
JhoW,sage,149,9,18,6,-9,94.8,11,1,2,-1,3214,GLB,FF,7,13,3,5,4,8,BIND,
Nyang,omen,138,10,12,1,-2,91.4,40,2,2,0,3214,GLB,FF,7,13,3,5,4,8,BIND,
Jonn,phoenix,123,7,17,5,-10,72.9,3,1,7,-6,3214,GLB,FF,7,13,3,5,4,8,BIND,
delevingne,jett,246,18,10,3,8,150.4,24,4,2,2,3214,FF,GLB,13,7,8,4,5,3,BIND,
krain,sova,215,15,9,7,6,149.9,20,3,1,2,3214,FF,GLB,13,7,8,4,5,3,BIND,
v1xen,omen,211,17,7,6,10,127.8,18,1,1,0,3214,FF,GLB,13,7,8,4,5,3,BIND,
dragonite,cypher,192,13,8,5,5,131.0,30,2,0,2,3214,FF,GLB,13,7,8,4,5,3,BIND,
fzkk,raze,187,10,16,8,-6,113.6,6,4,2,2,3214,FF,GLB,13,7,8,4,5,3,BIND,
Jonn,sage,223,13,14,3,-1,139.9,26,3,4,-1,3214,GLB,FF,5,13,5,7,0,6,ASCENT,
mwzera,jett,191,12,16,1,-4,101.8,20,2,2,0,3214,GLB,FF,5,13,5,7,0,6,ASCENT,
fznnn,sova,160,9,16,5,-7,113.6,14,0,1,-1,3214,GLB,FF,5,13,5,7,0,6,ASCENT,
Nyang,omen,114,7,14,4,-7,75.6,24,1,3,-2,3214,GLB,FF,5,13,5,7,0,6,ASCENT,
JhoW,cypher,103,5,15,2,-10,75.0,15,0,2,-2,3214,GLB,FF,5,13,5,7,0,6,ASCENT,
fzkk,raze,464,29,7,2,22,247.2,11,6,1,5,3214,FF,GLB,13,5,6,0,7,5,ASCENT,
krain,sova,190,12,10,8,2,131.2,14,1,0,1,3214,FF,GLB,13,5,6,0,7,5,ASCENT,
delevingne,jett,177,12,10,2,2,120.9,24,2,3,-1,3214,FF,GLB,13,5,6,0,7,5,ASCENT,
dragonite,cypher,150,11,10,4,1,113.9,25,1,1,0,3214,FF,GLB,13,5,6,0,7,5,ASCENT,
v1xen,omen,147,11,9,4,2,86.5,29,2,1,1,3214,FF,GLB,13,5,6,0,7,5,ASCENT,
prozin,killjoy,261,23,21,8,2,182.3,8,6,5,1,3084,VIMD,FF,14,12,9,3,3,9,HAVEN,
pepa,omen,212,20,17,8,3,146.4,22,0,3,-3,3084,VIMD,FF,14,12,9,3,3,9,HAVEN,
pollo,jett,204,19,19,1,0,120.2,15,3,3,0,3084,VIMD,FF,14,12,9,3,3,9,HAVEN,
Sacy,sova,193,16,16,10,0,127.8,21,2,2,0,3084,VIMD,FF,14,12,9,3,3,9,HAVEN,
