Player,ACS,K,D,A,KD_DIFF,ADR,HS%,FK,FD,FK_FD_DIFF,match_id,Team,Opp_Team,Map,Num_maps,Patch
kon4n,239,57,47,22,10,169.9,31,7,5,2,3235,NOOR,FF,MATCH,3,1.08
murizzz,218,54,52,10,2,118.8,10,13,6,7,3235,NOOR,FF,MATCH,3,1.08
Txozin,188,52,45,14,7,121.8,24,6,4,2,3235,NOOR,FF,MATCH,3,1.08
ole,185,40,44,21,-4,121.3,11,1,2,-1,3235,NOOR,FF,MATCH,3,1.08
matheuzin,177,39,49,22,-10,102.2,26,13,11,2,3235,NOOR,FF,MATCH,3,1.08
v1xen,265,61,43,18,18,161.8,26,5,3,2,3235,FF,NOOR,MATCH,3,1.08
krain,201,46,42,26,4,122.9,12,3,3,0,3235,FF,NOOR,MATCH,3,1.08
dragonite,194,41,53,13,-12,119.7,21,6,6,0,3235,FF,NOOR,MATCH,3,1.08
delevingne,189,48,48,7,0,109.1,11,8,17,-9,3235,FF,NOOR,MATCH,3,1.08
fzkk,182,40,56,15,-16,117.8,10,6,11,-5,3235,FF,NOOR,MATCH,3,1.08
mwzera,222,27,28,3,-1,125.7,18,4,3,1,3214,GL,FF,MATCH,2,1.08
Jonn,173,20,31,8,-11,104.6,18,4,11,-7,3214,GL,FF,MATCH,2,1.08
fznnn,160,18,30,7,-12,111.1,21,0,3,-3,3214,GL,FF,MATCH,2,1.08
JhoW,126,14,33,8,-19,85.4,13,1,4,-3,3214,GL,FF,MATCH,2,1.08
Nyang,126,17,26,5,-9,83.9,31,3,5,-2,3214,GL,FF,MATCH,2,1.08
fzkk,326,39,23,10,16,176.9,9,10,3,7,3214,FF,GL,MATCH,2,1.08
delevingne,212,30,20,5,10,136.4,24,6,5,1,3214,FF,GL,MATCH,2,1.08
krain,203,27,19,15,8,141.1,17,4,1,3,3214,FF,GL,MATCH,2,1.08
v1xen,179,28,16,10,12,108.2,21,3,2,1,3214,FF,GL,MATCH,2,1.08
dragonite,171,24,18,9,6,122.9,28,3,1,2,3214,FF,GL,MATCH,2,1.08
prozin,261,23,21,8,2,182.3,8,6,5,1,3084,VIMD,FF,MATCH,1,1.08
pepa,212,20,17,8,3,146.4,22,0,3,-3,3084,VIMD,FF,MATCH,1,1.08
pollo,204,19,19,1,0,120.2,15,3,3,0,3084,VIMD,FF,MATCH,1,1.08
Sacy,193,16,16,10,0,127.8,21,2,2,0,3084,VIMD,FF,MATCH,1,1.08
Masu,137,13,18,10,-5,85.8,21,2,0,2,3084,VIMD,FF,MATCH,1,1.08
fzkk,290,26,18,4,8,189.8,18,3,2,1,3084,FF,VIMD,MATCH,1,1.08
dragonite,238,24,18,7,6,157.3,24,4,2,2,3084,FF,VIMD,MATCH,1,1.08
krain,194,17,17,8,0,118.2,17,1,0,1,3084,FF,VIMD,MATCH,1,1.08
delevingne,159,15,18,4,-3,98.7,22,3,7,-4,3084,FF,VIMD,MATCH,1,1.08
v1xen,108,8,20,7,-12,73.8,26,2,2,0,3084,FF,VIMD,MATCH,1,1.08
fzkk,289,40,22,11,18,164.8,16,5,6,-1,3085,FF,QSM,MATCH,2,1.08
delevingne,285,38,25,8,13,201.4,32,9,3,6,3085,FF,QSM,MATCH,2,1.08
krain,219,32,18,14,14,130.1,26,5,3,2,3085,FF,QSM,MATCH,2,1.08
dragonite,182,26,21,6,5,119.2,19,4,1,3,3085,FF,QSM,MATCH,2,1.08
v1xen,169,21,19,17,2,108.9,13,1,0,1,3085,FF,QSM,MATCH,2,1.08
Maverick,231,26,32,7,-6,145.6,29,6,6,0,3085,QSM,FF,MATCH,2,1.08
koé,167,22,31,0,-9,96.0,29,2,6,-4,3085,QSM,FF,MATCH,2,1.08
sunset,151,20,34,2,-14,101.2,30,2,2,0,3085,QSM,FF,MATCH,2,1.08
idk1,141,18,31,5,-13,89.2,20,3,6,-3,3085,QSM,FF,MATCH,2,1.08
hwk,141,18,30,5,-12,101.9,34,0,4,-4,3085,QSM,FF,MATCH,2,1.08
gaabxx,253,17,14,1,3,130.7,23,5,3,2,3048,N2B,FF,MATCH,1,1.08
bielthemagician,199,11,13,5,-2,147.1,30,2,0,2,3048,N2B,FF,MATCH,1,1.08
Gabriel,196,11,11,4,0,131.1,30,1,1,0,3048,N2B,FF,MATCH,1,1.08
chase,122,9,16,0,-7,82.3,38,0,0,0,3048,N2B,FF,MATCH,1,1.08
MATHR,87,4,14,2,-10,61.9,11,2,5,-3,3048,N2B,FF,MATCH,1,1.08
krain,340,23,7,5,16,180.5,16,1,0,1,3048,FF,N2B,MATCH,1,1.08
delevingne,250,16,17,2,-1,149.4,24,7,5,2,3048,FF,N2B,MATCH,1,1.08
fzkk,199,12,12,2,0,129.1,7,1,3,-2,3048,FF,N2B,MATCH,1,1.08
v1xen,133,11,8,8,3,89.5,50,0,0,0,3048,FF,N2B,MATCH,1,1.08
dragonite,80,6,8,3,-2,57.7,17,0,2,-2,3048,FF,N2B,MATCH,1,1.08
Biscoit1n,241,56,46,3,10,134.0,18,15,11,4,4702,Mix,FF,MATCH,3,1.1
tuyz,231,51,43,16,8,139.4,19,2,6,-4,4702,Mix,FF,MATCH,3,1.1
rst,203,51,41,7,10,124.4,23,5,8,-3,4702,Mix,FF,MATCH,3,1.1
txddy,181,38,46,16,-8,113.2,19,7,4,3,4702,Mix,FF,MATCH,3,1.1
Evilkyk,148,30,40,18,-10,108.3,15,2,5,-3,4702,Mix,FF,MATCH,3,1.1
fzkk,230,47,51,19,-4,144.3,13,14,13,1,4702,FF,Mix,MATCH,3,1.1
krain,201,47,41,25,6,119.9,12,6,1,5,4702,FF,Mix,MATCH,3,1.1
v1xen,181,43,46,20,-3,108.8,25,5,7,-2,4702,FF,Mix,MATCH,3,1.1
dragonite,176,40,41,15,-1,108.0,16,3,1,2,4702,FF,Mix,MATCH,3,1.1
