Player,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,match_id,Team,Opp_Team,Map,Patch
murizzz,4,0,0,0.0,0,0,0.0,0.0,0.0,42,0,1,3235,NOOR,FF,BIND,
ole,2,0,0,0.0,0,0,0.0,0.0,0.0,49,1,0,3235,NOOR,FF,BIND,
Txozin,2,0,0,0.0,0,0,0.0,0.0,0.0,52,0,1,3235,NOOR,FF,BIND,
matheuzin,2,1,1,0.0,0,0,0.0,0.0,0.0,65,0,0,3235,NOOR,FF,BIND,
kon4n,2,0,0,0.0,0,0,0.0,0.0,0.0,32,1,1,3235,NOOR,FF,BIND,
v1xen,3,2,3,0.0,0,1,0.0,0.0,0.0,112,8,1,3235,FF,NOOR,BIND,
delevingne,1,0,1,0.0,0,0,0.0,0.0,0.0,51,0,0,3235,FF,NOOR,BIND,
krain,2,1,0,0.0,0,0,0.0,0.0,0.0,59,1,1,3235,FF,NOOR,BIND,
fzkk,1,1,0,0.0,1,0,0.0,0.0,0.0,38,1,0,3235,FF,NOOR,BIND,
dragonite,3,0,0,0.0,0,0,0.0,0.0,0.0,44,0,0,3235,FF,NOOR,BIND,
murizzz,4,2,0.0,1,0,0,0.0,0.0,0.0,59,0,0,3235,NOOR,FF,ASCENT,
ole,3,2,0.0,0,0,0,0.0,0.0,0.0,61,2,1,3235,NOOR,FF,ASCENT,
Txozin,2,1,0.0,0,0,0,0.0,0.0,0.0,49,1,1,3235,NOOR,FF,ASCENT,
matheuzin,0,0,0.0,0,0,0,0.0,0.0,0.0,25,3,0,3235,NOOR,FF,ASCENT,
kon4n,5,0,0.0,0,0,0,0.0,0.0,0.0,60,0,0,3235,NOOR,FF,ASCENT,
v1xen,2,2,0.0,0,1,1,0.0,0.0,0.0,66,4,1,3235,FF,NOOR,ASCENT,
delevingne,3,1,0.0,0,0,0,0.0,0.0,0.0,33,0,0,3235,FF,NOOR,ASCENT,
krain,2,1,0.0,0,0,0,0.0,0.0,0.0,70,2,1,3235,FF,NOOR,ASCENT,
fzkk,2,0,0.0,0,0,0,0.0,0.0,0.0,33,0,0,3235,FF,NOOR,ASCENT,
dragonite,4,2,0.0,0,0,0,0.0,0.0,0.0,56,0,0,3235,FF,NOOR,ASCENT,
murizzz,4,0,0,0.0,0,0,0.0,0.0,0.0,38,1,0,3235,NOOR,FF,SPLIT,
ole,2,0,0,0.0,0,0,0.0,0.0,0.0,36,6,1,3235,NOOR,FF,SPLIT,
Txozin,6,1,1,0.0,1,0,0.0,0.0,0.0,55,1,0,3235,NOOR,FF,SPLIT,
matheuzin,2,0,0,0.0,0,0,0.0,0.0,0.0,30,1,1,3235,NOOR,FF,SPLIT,
kon4n,4,2,0,0.0,0,0,0.0,0.0,0.0,74,0,2,3235,NOOR,FF,SPLIT,
v1xen,4,1,0,0.0,0,0,0.0,0.0,0.0,54,8,0,3235,FF,NOOR,SPLIT,
delevingne,4,3,0,0.0,0,0,0.0,0.0,0.0,59,0,3,3235,FF,NOOR,SPLIT,
krain,3,0,0,0.0,1,0,0.0,0.0,0.0,35,0,0,3235,FF,NOOR,SPLIT,
fzkk,3,1,0,0.0,0,1,0.0,0.0,0.0,53,0,0,3235,FF,NOOR,SPLIT,
